tool_id,tool_name,owner,annual_usd,approved_data_class,status
FCF-AI-TOOL-01,M365 Copilot,EVP Technology Operations,250000,internal only,pilot
FCF-AI-TOOL-02,GitHub Copilot,SVP Payments Technology,560000,confidential with guardrails,approved
FCF-AI-TOOL-03,Databricks Mosaic AI,Chief Digital Officer,870000,confidential with guardrails,approved
FCF-AI-TOOL-04,Snowflake Cortex,SVP Commercial Bank CIO,1180000,confidential with guardrails,approved
FCF-AI-TOOL-05,NICE X-Sight AI,SVP Wealth Technology,1490000,confidential with guardrails,pilot
FCF-AI-TOOL-06,Salesforce Einstein,Chief Risk Officer,1800000,internal only,approved
FCF-AI-TOOL-07,ServiceNow Now Assist,Chief Data and Analytics Officer,2110000,confidential with guardrails,approved
FCF-AI-TOOL-08,SAS Viya AI,SVP Infrastructure,2420000,confidential with guardrails,approved
FCF-AI-TOOL-09,Pega GenAI Blueprint,CISO,2730000,confidential with guardrails,pilot
FCF-AI-TOOL-10,M365 Copilot,CFO,3040000,confidential with guardrails,approved
FCF-AI-TOOL-11,GitHub Copilot,SVP Retail Bank Ops,550000,internal only,approved
FCF-AI-TOOL-12,Databricks Mosaic AI,SVP Client Service,860000,confidential with guardrails,approved
FCF-AI-TOOL-13,Snowflake Cortex,Chief Model Risk Officer,1170000,confidential with guardrails,pilot
FCF-AI-TOOL-14,NICE X-Sight AI,COO,1480000,confidential with guardrails,approved
FCF-AI-TOOL-15,Salesforce Einstein,Chief Product Officer,1790000,confidential with guardrails,approved
FCF-AI-TOOL-16,ServiceNow Now Assist,Treasurer,2100000,internal only,approved
FCF-AI-TOOL-17,SAS Viya AI,SVP Consumer Lending CIO,2410000,confidential with guardrails,pilot
FCF-AI-TOOL-18,Pega GenAI Blueprint,SVP Cards,2720000,confidential with guardrails,approved
