tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,application_ref,batch_domain,scheduled_jobs,failed_jobs,late_completion_count,manual_restarts,incident_ticket_ref,source_file_id,synthetic_policy
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-07:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,APP-MER-SERVICENOW,itsm_queue_exports,28,4,3,2,SNOW-MER-TECH-IMS-001-2026-07-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-07:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,APP-MER-IDENTITY,iam_certification_jobs,42,5,3,3,SNOW-MER-TECH-IMS-001-2026-07-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-07:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,APP-MER-EHR-INT,clinical_interface_batches,64,7,5,4,SNOW-MER-TECH-IMS-001-2026-07-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-07:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,10,7,5,SNOW-MER-TECH-IMS-001-2026-07-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-07:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,8,5,4,SNOW-MER-TECH-IMS-001-2026-07-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-08:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,APP-MER-SERVICENOW,itsm_queue_exports,28,4,3,2,SNOW-MER-TECH-IMS-001-2026-08-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-08:APP-MER-IDENTITY,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,APP-MER-IDENTITY,iam_certification_jobs,42,5,3,3,SNOW-MER-TECH-IMS-001-2026-08-IDENTITY,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-08:APP-MER-EHR-INT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,APP-MER-EHR-INT,clinical_interface_batches,64,7,5,4,SNOW-MER-TECH-IMS-001-2026-08-EHR-INT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-08:APP-MER-DATALAKE-OPS,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,APP-MER-DATALAKE-OPS,cloud_ops_data_pipeline,96,10,7,5,SNOW-MER-TECH-IMS-001-2026-08-DATALAKE-OPS,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-08:APP-MER-ENDPOINT-MGMT,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,APP-MER-ENDPOINT-MGMT,endpoint_deployment_rings,74,8,5,4,SNOW-MER-TECH-IMS-001-2026-08-ENDPOINT-MGMT,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,batch:MER-TECH-IMS-001:2026-09:APP-MER-SERVICENOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,APP-MER-SERVICENOW,itsm_queue_exports,28,6,4,3,SNOW-MER-TECH-IMS-001-2026-09-SERVICENOW,DOC-MER-TECH-IMS-001-USAGE,synthetic_demo_only_not_client_truth
