tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,role_name,service_tower,location_mix,fte,annual_client_bill_rate_usd,annual_vendor_cost_usd,annual_billed_amount_usd,coverage_hours,evidence_note,source_file_id,synthetic_policy
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:01,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Service delivery executive,Governance,onshore,1,310000,210000,310000,business-hours plus major-incident escalation,"Named accountable executive for SLA, invoice, and QBR governance.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:02,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Infrastructure tower lead,Infrastructure operations,onshore,2,235000,160000,470000,business-hours plus rotation,"Owns compute, storage, backup, and network operations tower coordination.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:03,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Service desk operations manager,Enterprise service desk,onshore,2,205000,140000,410000,extended-hours oversight,"Manages L1/L2 queue health, knowledge-base quality, and escalation aging.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:04,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Security and identity operations lead,Identity operations,onshore,2,225000,150000,450000,business-hours plus incident escalation,"Owns access-request triage, privileged-account handling, and audit support.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:05,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Clinical incident coordinator,Clinical integration support,onshore,2,215000,145000,430000,business-hours plus critical escalation,Coordinates incident routing for clinical integration and EHR-connected interfaces.,DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:06,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Network and cloud operations engineer,Infrastructure operations,offshore,14,132000,76000,1848000,24x7 shared pool,"Supports run-book execution for network, cloud operations, backup, and incident queue work.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:07,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Endpoint packaging engineer,Endpoint management,offshore,10,121000,69000,1210000,follow-the-sun,"Packages patches, remediates failed endpoint deployments, and supports EUC service requests.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:08,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Identity queue analyst,Identity operations,offshore,9,118000,67000,1062000,follow-the-sun,"Processes IAM queue, access certification support, and orphan-account cleanup tasks.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:09,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Service desk L1/L2 analyst,Enterprise service desk,offshore,42,106000,61000,4452000,24x7 shared pool,Handles L1/L2 incidents and service requests across enterprise and clinical support queues.,DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:10,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Major incident support pool,Major incident management,offshore,5,139600,85000,698000,24x7 on-call rotation,"Supports severity coordination, bridge notes, and post-incident evidence packaging.",DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,resource:MER-TECH-IMS-001:11,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",Automation and report retirement analyst,Operations improvement,offshore,4,135000,82000,540000,business-hours plus scheduled batch windows,Maintains run-book automation backlog and identifies recurring manual reporting work for retirement.,DOC-MER-TECH-IMS-001-SOW,synthetic_demo_only_not_client_truth
