tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,service_tower,severity,ticket_count,sla_target_hours,avg_resolution_hours,backlog_end_count,source_file_id
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-07:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-07,2026-07-01,2026-07-31,Enterprise Service Desk and Infrastructure Operations,P1,43,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-07:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-07,2026-07-01,2026-07-31,Enterprise Service Desk and Infrastructure Operations,P2,177,8,7.4,7,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-07:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-07,2026-07-01,2026-07-31,Enterprise Service Desk and Infrastructure Operations,P3,598,24,20.6,24,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-07:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-07,2026-07-01,2026-07-31,Enterprise Service Desk and Infrastructure Operations,P4,402,72,54,16,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-08:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-08,2026-08-01,2026-08-31,Enterprise Service Desk and Infrastructure Operations,P1,44,4,3.6,2,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-08:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-08,2026-08-01,2026-08-31,Enterprise Service Desk and Infrastructure Operations,P2,181,8,7.4,7,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-08:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-08,2026-08-01,2026-08-31,Enterprise Service Desk and Infrastructure Operations,P3,612,24,20.6,24,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-08:P4,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-08,2026-08-01,2026-08-31,Enterprise Service Desk and Infrastructure Operations,P4,411,72,54,16,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-09:P1,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-09,2026-09-01,2026-09-30,Enterprise Service Desk and Infrastructure Operations,P1,45,4,5.8,5,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-09:P2,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-09,2026-09-01,2026-09-30,Enterprise Service Desk and Infrastructure Operations,P2,186,8,10.9,22,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,ticket_volume:MER-TECH-IMS-001:2026-09:P3,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-09,2026-09-01,2026-09-30,Enterprise Service Desk and Infrastructure Operations,P3,630,24,29.5,76,DOC-MER-TECH-IMS-001-SLA
