tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,invoice_id,line_type,line_description,line_amount_usd,linked_change_order_id,linked_application_ref,approval_state,source_file_id,synthetic_policy
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:001,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,INV-MER-TECH-IMS-001-202607,base_run,Monthly committed base run fee for service desk and infrastructure operations.,990000,,APP-MER-SERVICENOW,contracted_base,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:002,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,INV-MER-TECH-IMS-001-202607,recurring_after_hours_service_desk,Recurring after-hours L2 service desk coverage billed outside fixed base.,8000,CO-MER-TECH-IMS-001-01,APP-MER-SERVICENOW,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:003,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,INV-MER-TECH-IMS-001-202607,recurring_endpoint_patch_operations,Endpoint patch packaging and remediation run work billed as enhancement.,5000,CO-MER-TECH-IMS-001-02,APP-MER-ENDPOINT-MGMT,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:004,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07,2026-07-01,2026-07-31,INV-MER-TECH-IMS-001-202607,recurring_identity_access_queue,Privileged-access queue triage and orphan-account cleanup billed through change order.,3000,CO-MER-TECH-IMS-001-03,APP-MER-IDENTITY,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:005,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,INV-MER-TECH-IMS-001-202608,base_run,Monthly committed base run fee for service desk and infrastructure operations.,990000,,APP-MER-SERVICENOW,contracted_base,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:006,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,INV-MER-TECH-IMS-001-202608,recurring_after_hours_service_desk,Recurring after-hours L2 service desk coverage billed outside fixed base.,10000,CO-MER-TECH-IMS-001-01,APP-MER-SERVICENOW,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:007,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,INV-MER-TECH-IMS-001-202608,recurring_endpoint_patch_operations,Endpoint patch packaging and remediation run work billed as enhancement.,7000,CO-MER-TECH-IMS-001-02,APP-MER-ENDPOINT-MGMT,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:008,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08,2026-08-01,2026-08-31,INV-MER-TECH-IMS-001-202608,recurring_identity_access_queue,Privileged-access queue triage and orphan-account cleanup billed through change order.,5000,CO-MER-TECH-IMS-001-03,APP-MER-IDENTITY,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:009,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,INV-MER-TECH-IMS-001-202609,base_run,Monthly committed base run fee for service desk and infrastructure operations.,990000,,APP-MER-SERVICENOW,contracted_base,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
meridian-health,meridian-managed-services-depth-v1-20260907,invoice:MER-TECH-IMS-001:010,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09,2026-09-01,2026-09-30,INV-MER-TECH-IMS-001-202609,recurring_after_hours_service_desk,Recurring after-hours L2 service desk coverage billed outside fixed base.,14000,CO-MER-TECH-IMS-001-01,APP-MER-SERVICENOW,review_required,DOC-MER-TECH-IMS-001-PRICING,synthetic_demo_only_not_client_truth
