tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,period_start,period_end,metric_name,service_tower,committed_threshold_pct,actual_result_pct,ticket_volume,breach_state,credit_owed_usd,credit_claimed,credit_recovered_usd,source_file_id
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2026-07,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-07-01,2026-07-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.964,1220,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2026-08,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-08-01,2026-08-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.958,1248,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2026-09,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-09-01,2026-09-30,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.943,1286,breached,19800,false,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2026-10,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-10-01,2026-10-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.951,1262,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2026-11,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-11-01,2026-11-30,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.949,1304,breached,19800,false,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2026-12,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2026-12-01,2026-12-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.967,1275,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2027-01,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-01-01,2027-01-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.955,1296,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2027-02,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-02-01,2027-02-28,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.936,1338,breached,19800,false,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2027-03,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-03-01,2027-03-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.952,1320,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2027-04,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-04-01,2027-04-30,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.944,1364,breached,19800,false,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2027-05,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-05-01,2027-05-31,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.961,1385,met,0,,0,DOC-MER-TECH-IMS-001-SLA
meridian-health,meridian-managed-services-depth-v1-20260907,sla:MER-TECH-IMS-001:2027-06,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2027-06-01,2027-06-30,tickets resolved within SLA %,Enterprise Service Desk and Infrastructure Operations,0.95,0.939,1410,breached,19800,false,0,DOC-MER-TECH-IMS-001-SLA
