tenant,source_file,source_standard,loader_script,target_tables,object_family,expected_key_pattern,evidence_ref_fields,v3_source_row,canonical_fact_id,entity_profile_id,relationship_edge_id,legacy_bridge_dependency,active_candidate_status,safe_to_display,notes
lakeshore-industries,family-4-financial-commercial/F12_it-budget-financials.csv,tenant-specific Lakeshore budget bridge,src/scripts/lakeshore/load-cio-tower-facts.ts,source_registry;measures;question_contracts;entities;facts;measure_results,budget / run / change / value facts,Lakeshore generated entity/fact/result keys,source_registry source_file plus source rows,not proven,not proven,cio_tower.entities.entity_key only,not written by this loader,yes: Lakeshore-specific loader,active upsert if executed,yes as bridge/read-model fact with source-file caveat,Loader comment scopes to F12 and writes a subset of cio_tower; not a complete v3-native Tower build.
lakeshore-industries,supabase/migrations/20260705180000_lakeshore_cio_tower_budget_seed.sql,migration seed fixture,Supabase migration,measures;question_contracts;source_registry;entities;facts;measure_results,seeded budget facts and metric packets,literal INSERT keys in migration,source_key/source_row where inserted,not proven,not proven,cio_tower.entities.entity_key only,not applicable,yes: seed/bootstrap,active after migration in target database,"conditional: safe as bootstrap seed, not as proof of full client truth",Should be treated as seed/read-model bootstrap unless reconciled to current source evidence.
all tenants,intelligence_v7.business_records,V7 projection bridge,src/lib/tower/v7-tower-projection.ts,none persisted to cio_tower by this path,runtime current-state projection,V7 business record identifiers,V7 business record payload fields,not proven,not proven,projection entity labels only,not first-class,yes: V7 bridge,runtime active projection; candidate not explicit,"yes only as projected context, not as persisted cio_tower fact","This bridge can inform Tower current state, but it is not the generator of persisted cio_tower facts."
apex-retail,tower-standardized-v1/apex-retail/D19-personas-workforce/D19_personas-workforce.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts,standardized Tower source context,source_key/source_row lineage,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,not applicable,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
apex-retail,tower-standardized-v1/apex-retail/ai-control-tower/T00_ai-investment-super-template.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts;relationships;measure_results,AI initiative / benefit / spend / risk / evidence,source_key + source_row + generated fact/entity keys,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,cio_tower.relationships.relationship_key only,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
apex-retail,tower-standardized-v1/apex-retail/ai-control-tower/T01_initiative-registry.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts;relationships;measure_results,AI initiative / benefit / spend / risk / evidence,source_key + source_row + generated fact/entity keys,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,cio_tower.relationships.relationship_key only,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
apex-retail,tower-standardized-v1/apex-retail/ai-control-tower/T02_project-milestones.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts,standardized Tower source context,source_key/source_row lineage,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,not applicable,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
apex-retail,tower-standardized-v1/apex-retail/ai-control-tower/T03_tool-usage-monthly.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts,standardized Tower source context,source_key/source_row lineage,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,not applicable,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
apex-retail,tower-standardized-v1/apex-retail/ai-control-tower/T04_agent-outcomes.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts,standardized Tower source context,source_key/source_row lineage,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,not applicable,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
apex-retail,tower-standardized-v1/apex-retail/ai-control-tower/T05_persona-productivity.csv,tower-standardized-v1,scripts/tower/load-cio-tower-standardized-v1.mjs,source_registry;entities;facts,standardized Tower source context,source_key/source_row lineage,source_key;source_row;source_file;source_system;source_fact_keys where materialized,not proven,not proven,not proven,not applicable,yes: Tower standardized source package/read-model,active read model after loader; no candidate flag in cio_tower schema,yes as Tower read-model fact with source-file caveat,"Source-backed to Tower standardized package, but not proven reconciled to standard-2026-07-v3 canonical row IDs."
