gov_id,initiative_id,model_count,model_risk_tier,hitl,bias_monitoring,drift_monitoring,reg_regime,responsible_ai_gate_status,source_file,source_row,value_source
LAKESHORE-AIGOV-0001,LAKESHORE-INIT-0001,3,high,required,needed,needed,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,2,tenant_file
LAKESHORE-AIGOV-0002,LAKESHORE-INIT-0002,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,3,tenant_file
LAKESHORE-AIGOV-0003,LAKESHORE-INIT-0003,4,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,4,tenant_file
LAKESHORE-AIGOV-0004,LAKESHORE-INIT-0004,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,5,tenant_file
LAKESHORE-AIGOV-0005,LAKESHORE-INIT-0005,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,6,tenant_file
LAKESHORE-AIGOV-0006,LAKESHORE-INIT-0006,5,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,7,tenant_file
LAKESHORE-AIGOV-0007,LAKESHORE-INIT-0007,3,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,8,tenant_file
LAKESHORE-AIGOV-0008,LAKESHORE-INIT-0008,4,medium,defined,active,active,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,9,tenant_file
LAKESHORE-AIGOV-0009,LAKESHORE-INIT-0009,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,10,tenant_file
LAKESHORE-AIGOV-0010,LAKESHORE-INIT-0010,3,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,11,tenant_file
LAKESHORE-AIGOV-0011,LAKESHORE-INIT-0011,4,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,12,tenant_file
LAKESHORE-AIGOV-0012,LAKESHORE-INIT-0012,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,13,tenant_file
LAKESHORE-AIGOV-0013,LAKESHORE-INIT-0013,2,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,14,tenant_file
LAKESHORE-AIGOV-0014,LAKESHORE-INIT-0014,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,15,tenant_file
LAKESHORE-AIGOV-0015,LAKESHORE-INIT-0015,4,medium,defined,active,active,industry and enterprise AI policy,blocked,family-7-outcome-intelligence/O06_ai-governance.csv,16,tenant_file
LAKESHORE-AIGOV-0016,LAKESHORE-INIT-0016,3,high,required,active,active,industry and enterprise AI policy,approved_with_conditions,family-7-outcome-intelligence/O06_ai-governance.csv,17,tenant_file
