tenant_key,dataset_version,contract_id,vendor_id,vendor_name,period_month,sku_or_service,entitled_quantity,active_quantity,utilization_rate,monthly_cost_usd,unused_or_underused_quantity,optimization_signal,source_system,source_system_examples,source_record_id,source_file_report,extraction_grain,refresh_frequency,review_status
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-07,Data Cloud Enterprise,28500,20697,0.726,657938,7803,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-07-DATA-CLOUD-ENTERPRISE,CTR-090_usage_entitlement_2025-07.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-07,Vantage Service Suite Premium Support,10800,9006,0.834,755813,1794,monitor,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-07-SERVICE-CLOUD-PREMIUM-SUPPORT,CTR-090_usage_entitlement_2025-07.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-07,Marketing Cloud Automation,4200,2639,0.628,569125,1561,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-07-MARKETING-CLOUD-AUTOMATION,CTR-090_usage_entitlement_2025-07.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-07,Vantage Integrate API/Event Pack,950,703,0.74,670625,247,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-07-VANTAGE-INTEGRATE-API-EVENT-PACK,CTR-090_usage_entitlement_2025-07.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-08,Data Cloud Enterprise,28500,20784,0.729,660656,7716,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-08-DATA-CLOUD-ENTERPRISE,CTR-090_usage_entitlement_2025-08.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-08,Vantage Service Suite Premium Support,10800,9043,0.837,758531,1757,monitor,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-08-SERVICE-CLOUD-PREMIUM-SUPPORT,CTR-090_usage_entitlement_2025-08.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-08,Marketing Cloud Automation,4200,2650,0.631,571844,1550,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-08-MARKETING-CLOUD-AUTOMATION,CTR-090_usage_entitlement_2025-08.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-08,Vantage Integrate API/Event Pack,950,706,0.743,673344,244,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-08-VANTAGE-INTEGRATE-API-EVENT-PACK,CTR-090_usage_entitlement_2025-08.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-09,Data Cloud Enterprise,28500,20871,0.732,663375,7629,reclaim_or_rebalance,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-09-DATA-CLOUD-ENTERPRISE,CTR-090_usage_entitlement_2025-09.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
skyharbor_global,v4-golden-contract-evidence,CTR-090,VEN-VANTAGE,Vantage,2025-09,Vantage Service Suite Premium Support,10800,9081,0.841,762156,1719,monitor,Admin usage export,Vantage Setup; Vantage Usage Analytics; Vantage Integrate Anypoint usage export,USAGE-CTR-090-2025-09-SERVICE-CLOUD-PREMIUM-SUPPORT,CTR-090_usage_entitlement_2025-09.csv,monthly by SKU service or cloud commitment,Monthly,synthetic_demo_reviewed
