tenant_key,fact_id,evidence_id,fact_type,interview_group,priority_theme,business_priority,fact_text,decision_supported,confidence,active_candidate_status
meridian-health,MER-SA07-FACT-0001,MER-SA07-INT-EVID-0001,executive_interview_observation,CEO / Enterprise Strategy,strategy,Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0002,MER-SA07-INT-EVID-0002,executive_interview_observation,CEO / Enterprise Strategy,operating model,Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0003,MER-SA07-INT-EVID-0003,executive_interview_observation,CEO / Enterprise Strategy,vendor,Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0004,MER-SA07-INT-EVID-0004,executive_interview_observation,CEO / Enterprise Strategy,platform,Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0005,MER-SA07-INT-EVID-0005,executive_interview_observation,CEO / Enterprise Strategy,data,End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0006,MER-SA07-INT-EVID-0006,executive_interview_observation,CEO / Enterprise Strategy,modernization,Payment integrity and leakage reduction,"CEO / Enterprise Strategy says Payment integrity and leakage reduction is promising, but modernization is not decision-grade until SAS analytics estate evidence closes: Provider entity resolution not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0007,MER-SA07-INT-EVID-0007,executive_interview_observation,CEO / Enterprise Strategy,AI readiness,Automated close and reporting,"CEO / Enterprise Strategy says Automated close and reporting is promising, but AI readiness is not decision-grade until Tableau reporting estate evidence closes: Close workflow integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0008,MER-SA07-INT-EVID-0008,executive_interview_observation,CEO / Enterprise Strategy,risk,Unified clinical + claims lakehouse,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but risk is not decision-grade until Claims administration platform evidence closes: AWS/Databricks foundation not ready. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0009,MER-SA07-INT-EVID-0009,executive_interview_observation,CEO / Enterprise Strategy,metrics,Governed data foundation for AI / LLM automation,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but metrics is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0010,MER-SA07-INT-EVID-0010,executive_interview_observation,CEO / Enterprise Strategy,value,Call center optimization,"CEO / Enterprise Strategy says Call center optimization is promising, but value is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0011,MER-SA07-INT-EVID-0011,executive_interview_observation,CEO / Enterprise Strategy,sourcing,Provider quality and performance,"CEO / Enterprise Strategy says Provider quality and performance is promising, but sourcing is not decision-grade until Epic Caboodle evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0012,MER-SA07-INT-EVID-0012,executive_interview_observation,CEO / Enterprise Strategy,evidence,End-to-end cost transparency,"CEO / Enterprise Strategy says End-to-end cost transparency is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0013,MER-SA07-INT-EVID-0013,executive_interview_observation,CFO / Finance & Value,strategy,Governed data foundation for AI / LLM automation,"CFO / Finance & Value says Governed data foundation for AI / LLM automation is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No formal data governance. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0014,MER-SA07-INT-EVID-0014,executive_interview_observation,CFO / Finance & Value,operating model,Call center optimization,"CFO / Finance & Value says Call center optimization is promising, but operating model is not decision-grade until CRM / member case management evidence closes: Real-time integration not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0015,MER-SA07-INT-EVID-0015,executive_interview_observation,CFO / Finance & Value,vendor,Provider quality and performance,"CFO / Finance & Value says Provider quality and performance is promising, but vendor is not decision-grade until Tableau reporting estate evidence closes: Provider contract linkage not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0016,MER-SA07-INT-EVID-0016,executive_interview_observation,CFO / Finance & Value,platform,End-to-end cost transparency,"CFO / Finance & Value says End-to-end cost transparency is promising, but platform is not decision-grade until SQL Server reporting marts evidence closes: Margin semantic model not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0017,MER-SA07-INT-EVID-0017,executive_interview_observation,CFO / Finance & Value,data,Payment integrity and leakage reduction,"CFO / Finance & Value says Payment integrity and leakage reduction is promising, but data is not decision-grade until Claims administration platform evidence closes: Rules and model lineage not governed. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0018,MER-SA07-INT-EVID-0018,executive_interview_observation,CFO / Finance & Value,modernization,Automated close and reporting,"CFO / Finance & Value says Automated close and reporting is promising, but modernization is not decision-grade until Power BI reporting estate evidence closes: Certified finance semantic layer not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0019,MER-SA07-INT-EVID-0019,executive_interview_observation,CFO / Finance & Value,AI readiness,Unified clinical + claims lakehouse,"CFO / Finance & Value says Unified clinical + claims lakehouse is promising, but AI readiness is not decision-grade until Epic Caboodle evidence closes: Claims and pharmacy harmonization not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0020,MER-SA07-INT-EVID-0020,executive_interview_observation,CFO / Finance & Value,risk,Governed data foundation for AI / LLM automation,"CFO / Finance & Value says Governed data foundation for AI / LLM automation is promising, but risk is not decision-grade until Databricks on AWS evidence closes: Data quality rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0021,MER-SA07-INT-EVID-0021,executive_interview_observation,CFO / Finance & Value,metrics,Call center optimization,"CFO / Finance & Value says Call center optimization is promising, but metrics is not decision-grade until Contact center transcript and telephony platform evidence closes: Transcript governance not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0022,MER-SA07-INT-EVID-0022,executive_interview_observation,CFO / Finance & Value,value,Provider quality and performance,"CFO / Finance & Value says Provider quality and performance is promising, but value is not decision-grade until Provider contract repository evidence closes: Attribution ownership not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0023,MER-SA07-INT-EVID-0023,executive_interview_observation,CFO / Finance & Value,sourcing,End-to-end cost transparency,"CFO / Finance & Value says End-to-end cost transparency is promising, but sourcing is not decision-grade until General ledger and close reporting evidence closes: Cost allocation rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0024,MER-SA07-INT-EVID-0024,executive_interview_observation,CFO / Finance & Value,evidence,Payment integrity and leakage reduction,"CFO / Finance & Value says Payment integrity and leakage reduction is promising, but evidence is not decision-grade until Provider contract repository evidence closes: Recovery realization tracking not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0025,MER-SA07-INT-EVID-0025,executive_interview_observation,CIO / Enterprise Technology,strategy,Call center optimization,"CIO / Enterprise Technology says Call center optimization is promising, but strategy is not decision-grade until Contact center transcript and telephony platform evidence closes: Transcript governance not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0026,MER-SA07-INT-EVID-0026,executive_interview_observation,CIO / Enterprise Technology,operating model,Provider quality and performance,"CIO / Enterprise Technology says Provider quality and performance is promising, but operating model is not decision-grade until Epic Clarity evidence closes: Attribution ownership not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0027,MER-SA07-INT-EVID-0027,executive_interview_observation,CIO / Enterprise Technology,vendor,End-to-end cost transparency,"CIO / Enterprise Technology says End-to-end cost transparency is promising, but vendor is not decision-grade until General ledger and close reporting evidence closes: Cost allocation rules not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0028,MER-SA07-INT-EVID-0028,executive_interview_observation,CIO / Enterprise Technology,platform,Payment integrity and leakage reduction,"CIO / Enterprise Technology says Payment integrity and leakage reduction is promising, but platform is not decision-grade until Provider contract repository evidence closes: Recovery realization tracking not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0029,MER-SA07-INT-EVID-0029,executive_interview_observation,CIO / Enterprise Technology,data,Automated close and reporting,"CIO / Enterprise Technology says Automated close and reporting is promising, but data is not decision-grade until General ledger and close reporting evidence closes: Manual reporting maintenance load. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0030,MER-SA07-INT-EVID-0030,executive_interview_observation,CIO / Enterprise Technology,modernization,Unified clinical + claims lakehouse,"CIO / Enterprise Technology says Unified clinical + claims lakehouse is promising, but modernization is not decision-grade until Epic Clarity evidence closes: No patient/member identity spine loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0031,MER-SA07-INT-EVID-0031,executive_interview_observation,CIO / Enterprise Technology,AI readiness,Governed data foundation for AI / LLM automation,"CIO / Enterprise Technology says Governed data foundation for AI / LLM automation is promising, but AI readiness is not decision-grade until SAS analytics estate evidence closes: No AI audit trail evidence. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0032,MER-SA07-INT-EVID-0032,executive_interview_observation,CIO / Enterprise Technology,risk,Call center optimization,"CIO / Enterprise Technology says Call center optimization is promising, but risk is not decision-grade until Power BI reporting estate evidence closes: Member identity linkage not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Call center optimization phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0033,MER-SA07-INT-EVID-0033,executive_interview_observation,CIO / Enterprise Technology,metrics,Provider quality and performance,"CIO / Enterprise Technology says Provider quality and performance is promising, but metrics is not decision-grade until Power BI reporting estate evidence closes: Measure logic fragmented across BI tools. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0034,MER-SA07-INT-EVID-0034,executive_interview_observation,CIO / Enterprise Technology,value,End-to-end cost transparency,"CIO / Enterprise Technology says End-to-end cost transparency is promising, but value is not decision-grade until Provider contract repository evidence closes: Claims and GL calendar alignment not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0035,MER-SA07-INT-EVID-0035,executive_interview_observation,CIO / Enterprise Technology,sourcing,Payment integrity and leakage reduction,"CIO / Enterprise Technology says Payment integrity and leakage reduction is promising, but sourcing is not decision-grade until SQL Server reporting marts evidence closes: Investigation workflow evidence not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0036,MER-SA07-INT-EVID-0036,executive_interview_observation,CIO / Enterprise Technology,evidence,Automated close and reporting,"CIO / Enterprise Technology says Automated close and reporting is promising, but evidence is not decision-grade until SQL Server reporting marts evidence closes: Metric governance not formalized. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0037,MER-SA07-INT-EVID-0037,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",strategy,Provider quality and performance,"CTO / Infrastructure, Cloud & Platform says Provider quality and performance is promising, but strategy is not decision-grade until Epic Caboodle evidence closes: Measure logic fragmented across BI tools. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Provider quality and performance phase-gate and evidence-readiness decision,medium,active
meridian-health,MER-SA07-FACT-0038,MER-SA07-INT-EVID-0038,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",operating model,End-to-end cost transparency,"CTO / Infrastructure, Cloud & Platform says End-to-end cost transparency is promising, but operating model is not decision-grade until Provider contract repository evidence closes: Claims and GL calendar alignment not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",End-to-end cost transparency phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0039,MER-SA07-INT-EVID-0039,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",vendor,Payment integrity and leakage reduction,"CTO / Infrastructure, Cloud & Platform says Payment integrity and leakage reduction is promising, but vendor is not decision-grade until SQL Server reporting marts evidence closes: Investigation workflow evidence not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Payment integrity and leakage reduction phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0040,MER-SA07-INT-EVID-0040,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",platform,Automated close and reporting,"CTO / Infrastructure, Cloud & Platform says Automated close and reporting is promising, but platform is not decision-grade until SQL Server reporting marts evidence closes: Metric governance not formalized. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Automated close and reporting phase-gate and evidence-readiness decision,high,active
meridian-health,MER-SA07-FACT-0041,MER-SA07-INT-EVID-0041,executive_interview_observation,"CTO / Infrastructure, Cloud & Platform",data,Unified clinical + claims lakehouse,"CTO / Infrastructure, Cloud & Platform says Unified clinical + claims lakehouse is promising, but data is not decision-grade until Databricks on AWS evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",Unified clinical + claims lakehouse phase-gate and evidence-readiness decision,medium,active
