tenant_key,evidence_id,interview_group,relationship_status,confidence,relationship_id,relationship_type,source_entity,target_entity,relationship_evidence
meridian-health,MER-SA07-INT-EVID-0001,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0001-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,Epic Clarity,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0001,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0001-SYSTEM-DATA,system_to_data_asset,Epic Clarity,EMR clinical,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready
meridian-health,MER-SA07-INT-EVID-0001,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0001-USECASE-EVIDENCE,use_case_to_evidence_needed,Unified clinical + claims lakehouse,No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,Unified clinical + claims lakehouse phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0001,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0001-METRIC-OWNER,metric_to_owner,baseline_required,CEO,What are the top strategic priorities this year?
meridian-health,MER-SA07-INT-EVID-0001,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0001-RISK-CONTROL,risk_to_control,No certified medallion architecture,control evidence needed,No certified medallion architecture
meridian-health,MER-SA07-INT-EVID-0001,CEO / Enterprise Strategy,candidate_until_validated,medium,MER-SA07-REL-0001-INITIATIVE-SPONSOR,initiative_to_sponsor,Unified clinical + claims lakehouse,CEO,"CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0002,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0002-FUNCTION-SYSTEM,function_to_system,CEO / Enterprise Strategy,SQL Server reporting marts,"CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet."
meridian-health,MER-SA07-INT-EVID-0002,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0002-SYSTEM-DATA,system_to_data_asset,SQL Server reporting marts,coding,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded
meridian-health,MER-SA07-INT-EVID-0002,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0002-USECASE-EVIDENCE,use_case_to_evidence_needed,Governed data foundation for AI / LLM automation,No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision
meridian-health,MER-SA07-INT-EVID-0002,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0002-METRIC-OWNER,metric_to_owner,baseline_required,CEO,Where does the current operating model slow decisions?
meridian-health,MER-SA07-INT-EVID-0002,CEO / Enterprise Strategy,candidate_until_validated,high,MER-SA07-REL-0002-RISK-CONTROL,risk_to_control,No certified semantic layer,control evidence needed,No certified semantic layer
