tenant_key,interview_group,row_count,theme_count,source_adapter_id,status
meridian-health,CEO / Enterprise Strategy,12,12,SA07,Pass
meridian-health,CFO / Finance & Value,13,13,SA07,Pass
meridian-health,CIO / Enterprise Technology,13,13,SA07,Pass
meridian-health,"CTO / Infrastructure, Cloud & Platform",12,12,SA07,Pass
meridian-health,CDAO / Data & Analytics,12,12,SA07,Pass
meridian-health,Chief Experience Officer / Member Experience,13,13,SA07,Pass
meridian-health,COO / Operations,12,12,SA07,Pass
meridian-health,Chief Medical / Clinical Operations,12,12,SA07,Pass
meridian-health,Health Plan Operations / Claims & Eligibility,12,12,SA07,Pass
meridian-health,Contact Center / Member Service Operations,13,13,SA07,Pass
meridian-health,Privacy / Compliance / Legal,12,12,SA07,Pass
meridian-health,CISO / Security,13,13,SA07,Pass
meridian-health,Enterprise Architecture,12,12,SA07,Pass
meridian-health,Application Owners / Business Applications,12,12,SA07,Pass
meridian-health,Service Management / IT Operations,12,12,SA07,Pass
meridian-health,Procurement / Vendor Management,12,12,SA07,Pass
meridian-health,HR / Workforce / Change Management,12,12,SA07,Pass
meridian-health,Program / Transformation Office,12,12,SA07,Pass
