tenant_key,dimension,interview_rows,mapped_rows,mapped_evidence_count,status
meridian-health,01_business_functions,221,221,216,Pass
meridian-health,02_org_ownership,221,221,216,Pass
meridian-health,03_workforce_roles,221,221,216,Pass
meridian-health,04_applications_systems,221,221,216,Pass
meridian-health,05_data_assets_integrations,221,221,216,Pass
meridian-health,07_vendors_contracts,221,221,216,Pass
meridian-health,08_it_budget_spend_value,221,221,216,Pass
meridian-health,09_programs_initiatives,221,221,216,Pass
meridian-health,10_ai_automation_use_cases,221,221,216,Pass
meridian-health,11_risks_controls,221,221,216,Pass
meridian-health,12_relationships,221,221,216,Pass
meridian-health,13_evidence_sources,221,221,216,Pass
meridian-health,14_metrics_outcomes,221,221,216,Pass
meridian-health,17_managed_services_scope,221,221,216,Pass
meridian-health,18_operational_process_evidence,221,221,216,Pass
