tenant_key,dimension,question,respondent_role,respondent_persona,answer,confidence,evidence_source,follow_up_needed,mapped_dimension,mapped_fields,relationship_candidates_created,known_gaps
meridian-health,08_it_budget_spend_value,What should AbarVa know about Executive Office for it budget spend value?,CMO,CMO responsible for Enterprise Strategy context,"Executive Office depends on Executive Office Workflow Platform, Executive Office Analytics Mart, Executive Office Reporting Workspace and Executive Office Operational Dataset, Executive Office Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as AbarVa executive profile interview and FY26 enterprise strategy workshop, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01; MERIDIAN-HEALTH-MH-ENTERPRISE-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; Oracle provides Executive Office Workflow Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Provider Operations for it budget spend value?,Health Plan COO,Health Plan COO responsible for Clinical Operations context,"Provider Operations depends on Epic Hyperspace, Epic Clarity, Epic Caboodle and Provider Operations Operational Dataset, Provider Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Epic application inventory and Clinical operations workshop notes, but active truth requires owner attestation and source validation.",Medium,MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01; MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Epic Hyperspace supports Provider Operations; Epic Clarity consumes Provider Operations Operational Dataset; Workday provides Epic Hyperspace,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Claims Operations for it budget spend value?,VP Contact Center,VP Contact Center responsible for Health Plan Operations context,"Claims Operations depends on Claims Administration Platform, Claims Payment Rules Engine, Claims Inquiry CRM Adapter and Claims Operations Operational Dataset, Claims Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Claims platform extract and Claims analytics SME interview, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-CLAIMS-OPS-EV01; MERIDIAN-HEALTH-MH-CLAIMS-OPS-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Claims Administration Platform supports Claims Operations; Claims Payment Rules Engine consumes Claims Operations Operational Dataset; Databricks provides Claims Administration Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Eligibility and Benefits for it budget spend value?,Procurement Lead,Procurement Lead responsible for Health Plan Operations context,"Eligibility and Benefits depends on Eligibility and Benefits Workflow Platform, Eligibility and Benefits Analytics Mart, Eligibility and Benefits Reporting Workspace and Eligibility Benefits Operational Dataset, Eligibility Benefits Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Eligibility file inventory and Benefits configuration extract, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-ELIGIBILITY-EV01; MERIDIAN-HEALTH-MH-ELIGIBILITY-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Eligibility and Benefits Workflow Platform supports Eligibility and Benefits; Eligibility and Benefits Analytics Mart consumes Eligibility Benefits Operational Dataset; AWS provides Eligibility and Benefits Workflow Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Prior Authorization and UM for it budget spend value?,ServiceNow / CMDB Owner,ServiceNow / CMDB Owner responsible for Utilization Management context,"Prior Authorization and UM depends on Prior Authorization and UM Workflow Platform, Prior Authorization and UM Analytics Mart, Prior Authorization and UM Reporting Workspace and Prior Authorization UM Operational Dataset, Prior Authorization UM Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Prior auth workflow export and UM clinical review sample, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-PRIOR-AUTH-EV01; MERIDIAN-HEALTH-MH-PRIOR-AUTH-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Prior Authorization and UM Workflow Platform supports Prior Authorization and UM; Prior Authorization and UM Analytics Mart consumes Prior Authorization UM Operational Dataset; Tableau provides Prior Authorization and UM Workflow Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Contact Center and Member Service for it budget spend value?,CIO,CIO responsible for Member Experience context,"Contact Center and Member Service depends on Genesys Cloud Contact Center, Salesforce Health Cloud CRM, Call Transcript Lake Landing Zone and Contact Center Member Service Operational Dataset, Contact Center Member Service Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Call transcript sample pack and CRM case extract, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-CONTACT-CENTER-EV01; MERIDIAN-HEALTH-MH-CONTACT-CENTER-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Genesys Cloud Contact Center supports Contact Center and Member Service; Salesforce Health Cloud CRM consumes Contact Center Member Service Operational Dataset; ServiceNow provides Genesys Cloud Contact Center,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Revenue Cycle Operations for it budget spend value?,CDAO,CDAO responsible for Revenue Cycle context,"Revenue Cycle Operations depends on Revenue Cycle Operations Workflow Platform, Revenue Cycle Operations Analytics Mart, Revenue Cycle Operations Reporting Workspace and Revenue Cycle Operations Operational Dataset, Revenue Cycle Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as RCM process map and Denials dashboard inventory, but active truth requires owner attestation and source validation.",Medium,MERIDIAN-HEALTH-MH-REVENUE-CYCLE-EV01; MERIDIAN-HEALTH-MH-REVENUE-CYCLE-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Revenue Cycle Operations Workflow Platform supports Revenue Cycle Operations; Revenue Cycle Operations Analytics Mart consumes Revenue Cycle Operations Operational Dataset; Informatica provides Revenue Cycle Operations Workflow Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Finance Analytics for it budget spend value?,CFO,CFO responsible for Finance and Actuarial context,"Finance Analytics depends on Oracle ERP Finance, SQL Server Finance Mart, Netezza Finance Subject Area and Finance Mart GL AP AR Subject Area, Vendor Spend and Contract Analytics Dataset. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Oracle ERP finance extract and Finance mart lineage workshop, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-FINANCE-ANALYTICS-EV01; MERIDIAN-HEALTH-MH-FINANCE-ANALYTICS-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Oracle ERP Finance supports Finance Analytics; SQL Server Finance Mart consumes Finance Mart GL AP AR Subject Area; Tableau provides Oracle ERP Finance,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Workforce Analytics for it budget spend value?,COO,COO responsible for Human Resources context,"Workforce Analytics depends on Workforce Analytics Workflow Platform, Workforce Analytics Analytics Mart, Workforce Analytics Reporting Workspace and Workforce Analytics Operational Dataset, Workforce Analytics Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Workday HCM extract and Workforce planning workbook, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-HR-WORKFORCE-EV01; MERIDIAN-HEALTH-MH-HR-WORKFORCE-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Workforce Analytics Workflow Platform supports Workforce Analytics; Workforce Analytics Analytics Mart consumes Workforce Analytics Operational Dataset; Salesforce provides Workforce Analytics Workflow Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Clinical Quality Analytics for it budget spend value?,CMO,CMO responsible for Quality and Provider Performance context,"Clinical Quality Analytics depends on Clinical Quality Analytics Workflow Platform, Clinical Quality Analytics Analytics Mart, Clinical Quality Analytics Reporting Workspace and Clinical Quality Analytics Operational Dataset, Clinical Quality Analytics Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Quality measure inventory and HEDIS/STAR reporting workbook, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-CLINICAL-QUALITY-EV01; MERIDIAN-HEALTH-MH-CLINICAL-QUALITY-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Clinical Quality Analytics Workflow Platform supports Clinical Quality Analytics; Clinical Quality Analytics Analytics Mart consumes Clinical Quality Analytics Operational Dataset; Optum Managed Services provides Clinical Quality Analytics Workflow Platform,Source extract and owner approval required before active promotion.
meridian-health,08_it_budget_spend_value,What should AbarVa know about Claims and Payment Analytics for it budget spend value?,Health Plan COO,Health Plan COO responsible for Claims Analytics context,"Claims and Payment Analytics depends on Claims and Payment Analytics Workflow Platform, Claims and Payment Analytics Analytics Mart, Claims and Payment Analytics Reporting Workspace and Claims Payment Analytics Operational Dataset, Claims Payment Analytics Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Claims mart inventory and Payment integrity analytic sample, but active truth requires owner attestation and source validation.",High,MERIDIAN-HEALTH-MH-CLAIMS-ANALYTICS-EV01; MERIDIAN-HEALTH-MH-CLAIMS-ANALYTICS-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Claims and Payment Analytics Workflow Platform supports Claims and Payment Analytics; Claims and Payment Analytics Analytics Mart consumes Claims Payment Analytics Operational Dataset; Databricks provides Claims and Payment Analytics Workflow Platform,Source extract and owner approval required before active promotion.
