tenant_key,dimension,question,respondent_role,respondent_persona,answer,confidence,evidence_source,follow_up_needed,mapped_dimension,mapped_fields,relationship_candidates_created,known_gaps
meridian-health,14_metrics_outcomes,What should AbarVa know about Executive Office for metrics outcomes?,VP Contact Center,VP Contact Center responsible for Enterprise Strategy context,"metrics outcomes: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01; MERIDIAN-HEALTH-MH-ENTERPRISE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; Oracle provides Executive Office Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Provider Operations for metrics outcomes?,Procurement Lead,Procurement Lead responsible for Clinical Operations context,"metrics outcomes: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01; MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Epic Hyperspace supports Provider Operations; Epic Clarity consumes Provider Operations Operational Dataset; Workday provides Epic Hyperspace,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Claims Operations for metrics outcomes?,ServiceNow / CMDB Owner,ServiceNow / CMDB Owner responsible for Health Plan Operations context,"metrics outcomes: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,MERIDIAN-HEALTH-MH-CLAIMS-OPS-EV01; MERIDIAN-HEALTH-MH-CLAIMS-OPS-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Claims Administration Platform supports Claims Operations; Claims Payment Rules Engine consumes Claims Operations Operational Dataset; Databricks provides Claims Administration Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Eligibility and Benefits for metrics outcomes?,CIO,CIO responsible for Health Plan Operations context,"metrics outcomes: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,MERIDIAN-HEALTH-MH-ELIGIBILITY-EV01; MERIDIAN-HEALTH-MH-ELIGIBILITY-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Eligibility and Benefits Workflow Platform supports Eligibility and Benefits; Eligibility and Benefits Analytics Mart consumes Eligibility Benefits Operational Dataset; AWS provides Eligibility and Benefits Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Prior Authorization and UM for metrics outcomes?,CDAO,CDAO responsible for Utilization Management context,"metrics outcomes: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",Medium,MERIDIAN-HEALTH-MH-PRIOR-AUTH-EV01; MERIDIAN-HEALTH-MH-PRIOR-AUTH-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Prior Authorization and UM Workflow Platform supports Prior Authorization and UM; Prior Authorization and UM Analytics Mart consumes Prior Authorization UM Operational Dataset; Tableau provides Prior Authorization and UM Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Contact Center and Member Service for metrics outcomes?,CFO,CFO responsible for Member Experience context,"metrics outcomes: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,MERIDIAN-HEALTH-MH-CONTACT-CENTER-EV01; MERIDIAN-HEALTH-MH-CONTACT-CENTER-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Genesys Cloud Contact Center supports Contact Center and Member Service; Salesforce Health Cloud CRM consumes Contact Center Member Service Operational Dataset; ServiceNow provides Genesys Cloud Contact Center,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Revenue Cycle Operations for metrics outcomes?,COO,COO responsible for Revenue Cycle context,"metrics outcomes: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,MERIDIAN-HEALTH-MH-REVENUE-CYCLE-EV01; MERIDIAN-HEALTH-MH-REVENUE-CYCLE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Revenue Cycle Operations Workflow Platform supports Revenue Cycle Operations; Revenue Cycle Operations Analytics Mart consumes Revenue Cycle Operations Operational Dataset; Informatica provides Revenue Cycle Operations Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Finance Analytics for metrics outcomes?,CMO,CMO responsible for Finance and Actuarial context,metrics outcomes: Month-end close dashboards slow down because 38 priority reports refresh from five SQL Server finance schemas during the same overnight load window. Evidence cited: Oracle ERP Finance GL/AP/AR extract as of 2026-06 synthetic close cycle.. The respondent would validate slow close-window dashboards and confirm vendor master harmonization before AbarVa treats this as active context.,High,MERIDIAN-HEALTH-MH-FINANCE-ANALYTICS-EV01; MERIDIAN-HEALTH-MH-FINANCE-ANALYTICS-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Oracle ERP Finance supports Finance Analytics; SQL Server Finance Mart consumes Finance Mart GL AP AR Subject Area; Tableau provides Oracle ERP Finance,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Workforce Analytics for metrics outcomes?,Health Plan COO,Health Plan COO responsible for Human Resources context,"metrics outcomes: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,MERIDIAN-HEALTH-MH-HR-WORKFORCE-EV01; MERIDIAN-HEALTH-MH-HR-WORKFORCE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Workforce Analytics Workflow Platform supports Workforce Analytics; Workforce Analytics Analytics Mart consumes Workforce Analytics Operational Dataset; Salesforce provides Workforce Analytics Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
meridian-health,14_metrics_outcomes,What should AbarVa know about Clinical Quality Analytics for metrics outcomes?,VP Contact Center,VP Contact Center responsible for Quality and Provider Performance context,"metrics outcomes: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",Medium,MERIDIAN-HEALTH-MH-CLINICAL-QUALITY-EV01; MERIDIAN-HEALTH-MH-CLINICAL-QUALITY-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Clinical Quality Analytics Workflow Platform supports Clinical Quality Analytics; Clinical Quality Analytics Analytics Mart consumes Clinical Quality Analytics Operational Dataset; Optum Managed Services provides Clinical Quality Analytics Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
