tenant_key,ai_asset_id,ai_asset_name,asset_type,business_area,business_function,owner_role,tool_or_model,parent_system_id,stage,status,monthly_users_or_cases,monthly_users,risk_tier,regulated_workflow,approved_data_scope,approval_status,model_risk_status,measured_value_usd,evidence_id,evidence_status,next_gate,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
meridian-health,MER-AI-ASSET-001,Databricks AWS clinical + claims lakehouse foundation,,Enterprise data,,,Databricks ML/LLM workflow,,mobilize,,700,,tier_1_high,,,,,16740000,,review_required,PHI/model governance approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,2,tenant_file,
meridian-health,MER-AI-ASSET-002,Unified semantic layer for automation-ready data products,,Data governance,,,AWS Bedrock / Claude,,design,,1120,,tier_3,,,,,11340000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,3,tenant_file,
meridian-health,MER-AI-ASSET-003,Prior authorization automation evidence cockpit,,Utilization management,,,Epic or vendor AI,,pilot,,1540,,tier_3,,,,,21960000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,4,tenant_file,
meridian-health,MER-AI-ASSET-004,Call center agent assist and next-best-action,,Member experience,,,M365/ServiceNow AI,,pilot,,1960,,tier_2,,,,,30600000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,5,tenant_file,
meridian-health,MER-AI-ASSET-005,HEDIS/STAR provider quality performance mart,,Clinical quality,,,Databricks ML/LLM workflow,,build,,2380,,tier_3,,,,,9360000,,review_required,PHI/model governance approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,6,tenant_file,
meridian-health,MER-AI-ASSET-006,Cost-of-care and margin transparency by population,,Finance,,,AWS Bedrock / Claude,,design,,2800,,tier_1_high,,,,,20520000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,7,tenant_file,
meridian-health,MER-AI-ASSET-007,Payment integrity leakage reduction analytics,,Claims integrity,,,Epic or vendor AI,,pilot,,3220,,tier_2,,,,,19800000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,8,tenant_file,
meridian-health,MER-AI-ASSET-008,Automated close and management reporting pipelines,,Finance operations,,,M365/ServiceNow AI,,mobilize,,3640,,tier_3,,,,,13950000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,9,tenant_file,
meridian-health,MER-AI-ASSET-009,Ambient documentation scale with safety review,,Clinical productivity,,,Databricks ML/LLM workflow,,scale_gate,,4060,,tier_3,,,,,8460000,,review_required,PHI/model governance approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,10,tenant_file,
meridian-health,MER-AI-ASSET-010,Epic to lakehouse FHIR/HL7 modernization,,Interoperability,,,AWS Bedrock / Claude,,build,,4480,,tier_2,,,,,9720000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,11,tenant_file,
meridian-health,MER-AI-ASSET-011,Provider network contract analytics,,Provider network,,,Epic or vendor AI,,design,,4900,,tier_1_high,,,,,9720000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,12,tenant_file,
meridian-health,MER-AI-ASSET-012,Responsible AI and PHI model governance operating model,,Governance,,,M365/ServiceNow AI,,mobilize,,5320,,tier_3,,,,,8550000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,13,tenant_file,
meridian-health,MER-AI-ASSET-013,M365 Copilot non-clinical adoption,,Productivity,,,Databricks ML/LLM workflow,,scale,,5740,,tier_2,,,,,2520000,,review_required,PHI/model governance approval,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,14,tenant_file,
meridian-health,MER-AI-ASSET-014,ServiceNow Now Assist IT operations,,IT operations,,,AWS Bedrock / Claude,,pilot,,6160,,tier_3,,,,,2430000,,source_backed,scale readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,15,tenant_file,
