integration_id,name,from_system_id,to_system_id,integration_type,frequency,criticality,notes
INT-00001,Customer-Salesforce-Engine-0046 to Crew-Infosys-Service-0726 via API,APP-00046,APP-00726,API,Hourly,Critical,daily_volume=3431069; failures_month=7; modernization=Migrate
INT-00002,Component-Microsoft-Manager-0503 to Identity-SAP-Hub-0104 via Streaming,APP-00503,APP-00104,Streaming,Real-time,Low,daily_volume=2022411; failures_month=96; modernization=Replatform
INT-00003,Network-Infosys-Hub-0332 to Disruption-Sabre AirVision-Suite-0041 via Real-time,APP-00332,APP-00041,Real-time,Daily,High,daily_volume=5293254; failures_month=69; modernization=Replace
INT-00004,Identity-Teradata-Service-0786 to Digital-Workday-Manager-0699 via Batch,APP-00786,APP-00699,Batch,Daily,Low,daily_volume=7493579; failures_month=53; modernization=Invest
INT-00005,HR-Hexaware-Platform-0020 to Mainframe-Snowflake-Suite-0444 via Batch,APP-00020,APP-00444,Batch,Event,Critical,daily_volume=5964353; failures_month=34; modernization=Retire
INT-00006,Revenue-SAP-Engine-0647 to Vulnerability-Microsoft-Suite-0854 via ETL,APP-00647,APP-00854,ETL,Real-time,High,daily_volume=7573498; failures_month=7; modernization=Replace
INT-00007,Irregular-Teradata-Hub-0013 to Baggage-Amadeus-Hub-0689 via Event,APP-00013,APP-00689,Event,Daily,Critical,daily_volume=7361779; failures_month=65; modernization=Retain
INT-00008,Disruption-Microsoft-Hub-0123 to Self-Service-Lufthansa Systems-Suite-0052 via Streaming,APP-00123,APP-00052,Streaming,Event,High,daily_volume=1748163; failures_month=15; modernization=Replace
INT-00009,Payroll-Oracle-Manager-0122 to Flight-Microsoft-Platform-0034 via API,APP-00122,APP-00034,API,Weekly,Low,daily_volume=7466979; failures_month=37; modernization=Retain
INT-00010,Identity-Sabre AirVision-Service-0228 to Airworthiness-Workday-Suite-0718 via Batch,APP-00228,APP-00718,Batch,Real-time,High,daily_volume=3533143; failures_month=96; modernization=Replace
INT-00011,Payroll-Salesforce-Manager-0867 to Storage-Adobe-Engine-0662 via Real-time,APP-00867,APP-00662,Real-time,Daily,Critical,daily_volume=4528828; failures_month=89; modernization=Migrate
INT-00012,Mainframe-IBM-Platform-0330 to Network-TCS-Hub-0798 via Batch,APP-00330,APP-00798,Batch,Hourly,Medium,daily_volume=6222420; failures_month=96; modernization=Replace
INT-00013,Weight-Microsoft-Suite-0039 to Weight-Oracle-Engine-0894 via File Transfer,APP-00039,APP-00894,File Transfer,Hourly,Low,daily_volume=7042961; failures_month=50; modernization=Retain
INT-00014,Revenue-Salesforce-Platform-0196 to Customer-ServiceNow-Service-0678 via CDC,APP-00196,APP-00678,CDC,Event,Critical,daily_volume=5514706; failures_month=114; modernization=Replace
INT-00015,Self-Service-Jeppesen-Engine-0456 to Revenue-Salesforce-Manager-0342 via ELT,APP-00456,APP-00342,ELT,Weekly,Low,daily_volume=7472594; failures_month=20; modernization=Invest
INT-00016,Cloud-Amadeus-Platform-0323 to Cargo-ServiceNow-Service-0592 via ELT,APP-00323,APP-00592,ELT,Event,High,daily_volume=6043041; failures_month=91; modernization=Replace
INT-00017,Observability-SAP-Suite-0709 to Business-Snowflake-Manager-0748 via Event,APP-00709,APP-00748,Event,Hourly,Critical,daily_volume=124680; failures_month=54; modernization=Replace
INT-00018,Investor-Custom-Service-0567 to Maintenance-IBM-Service-0071 via Streaming,APP-00567,APP-00071,Streaming,Event,Medium,daily_volume=3857040; failures_month=31; modernization=Retire
