tenant_key,business_case_id,initiative_name,business_value_type,projected_annual_value_low_usd,finance_status,proof_needed,next_action
meridian-health,BC-MER-001,Enterprise AI platform foundation,Foundation,0,sponsor_claimed,Link this foundation to funded use cases that have measured outcomes.,Link to funded use cases with measured outcomes.
meridian-health,BC-MER-002,Digital front door personalization,Grow revenue,50055476,finance_challenged,"Show conversion, retention, channel shift, and net financial impact against baseline.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-003,ServiceNow operations AI rollout,Reduce cost,51180318,cfo_approved_target,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-004,Epic ambulatory access optimization,Create capacity,47820856,not_submitted,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-006,Contact center AI assist,Reduce cost,34548723,sponsor_claimed,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-007,Workday finance close AI assistant,Reduce cost,28603129,finance_challenged,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-008,Clinical documentation ambient pilot,Create capacity,35432528,cfo_approved_target,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-009,Copilot secure productivity rollout,Reduce cost,25791024,not_submitted,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-011,Security operations automation,Reduce cost,22898572,sponsor_claimed,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-012,ServiceNow knowledge article generation 1,Reduce cost,10071492,finance_challenged,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-013,claims intake document AI 1,Reduce cost,18852930,cfo_approved_target,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",Capture monthly actuals and request Finance validation.
meridian-health,BC-MER-014,clinical documentation queue summarization 1,Create capacity,21795161,not_submitted,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",Capture monthly actuals and request Finance validation.
