tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,data_asset_id,data_asset_name,data_owner,system_of_record,lineage,consumers,quality_score,governance_status
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-2,Client servicing data product,v4_synthetic_pack,Chief Data & Analytics Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-001,Customer gold record (deposits+cards+lending+wealth),Chief Data & Analytics Officer,Core Banking,Core Banking -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,56,Certified
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-3,Payments data product,v4_synthetic_pack,BSA/AML Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-002,Transaction monitoring feature store,BSA/AML Officer,Payments Hub,Payments Hub -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,61,Steward assigned
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-4,Advisor productivity data product,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-003,Fraud real-time feature store,Chief Risk Officer,Wealth CRM,Wealth CRM -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,64,Needs lineage review
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-5,Risk management data product,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-004,Credit risk modeling dataset,Chief Risk Officer,Risk Analytics,Risk Analytics -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,59,Certified
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-6,Credit workflow data product,v4_synthetic_pack,Chief Financial Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-005,Regulatory finance mart,Chief Financial Officer,Loan Origination,Loan Origination -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,67,Steward assigned
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-7,Liquidity management data product,v4_synthetic_pack,Head of Customer Experience,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-006,Contact center interaction corpus,Head of Customer Experience,Treasury,Treasury -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,52,Needs lineage review
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-8,Client servicing data product,v4_synthetic_pack,Chief Operating Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-007,Payments operations event store,Chief Operating Officer,Core Banking,Core Banking -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,58,Certified
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-9,Payments data product,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-008,Model risk inventory & evidence store,Chief Risk Officer,Payments Hub,Payments Hub -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,55,Steward assigned
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-10,Advisor productivity data product,v4_synthetic_pack,Head of Wealth Management,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-009,Wealth advisory analytics dataset,Head of Wealth Management,Wealth CRM,Wealth CRM -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,60,Needs lineage review
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-11,Risk management data product,v4_synthetic_pack,Head of Consumer Banking,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FC-DATA-010,Marketing & engagement dataset,Head of Consumer Banking,Risk Analytics,Risk Analytics -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,57,Certified
first-capital,Financial Services Demo,v6.0,data_asset_integration,first-capital-financial-data_asset_integration-12,Credit workflow data product,v4_synthetic_pack,Chief Data & Analytics Officer,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FIRSTCAPITAL-DATA-0011,Customer gold record (deposits+cards+lending+wealth),Chief Data & Analytics Officer,Loan Origination,Loan Origination -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,56,Steward assigned
