requestId,tenantKey,workstreamId,workstreamName,requestedFrom,whatIsMissing,whyItMatters,coverageState,requestStatus,dateRequested,dateReceived,notes
meridian-health-ER-001,meridian-health,WS01,Enterprise Strategy and Operating Model,CEO strategy; COO; CIO; enterprise transformation,partial population,"Confirm business model, capability labels, strategic priorities, and which generated profiles match client language.",partial,open,,,
meridian-health-ER-002,meridian-health,WS02,"Organization, Workforce, and Decision Rights",HR; COO; CIO leadership; business operations,partial population,"Confirm owners, decision rights, role counts, business-line segmentation, and accountable reviewers.",partial,open,,,
meridian-health-ER-003,meridian-health,WS03,"Applications, Infrastructure, and Architecture",enterprise architecture; application owners; IT operations; CMDB owners,partial population,"Confirm current-state systems, hosting, owners, lifecycle, integrations, and whether generated capability profiles include the right systems.",partial,open,,,
meridian-health-ER-004,meridian-health,WS04,"Data, Integration, and Analytics",CDAO; data engineering; integration teams; BI owners; AI platform owners,partial population,"Confirm source systems, data domains, refresh frequency, semantic layer readiness, AI platform state, and lineage gaps.",partial,open,,,
meridian-health-ER-005,meridian-health,WS05,"Vendors, Contracts, and Procurement",procurement; vendor management; legal; contract owners,partial population,"Confirm vendor/contract ownership, supported systems/functions, renewal terms, risk, spend basis, and Source readiness.",partial,open,,,
meridian-health-ER-006,meridian-health,WS06,"Finance, Spend, and Value",CFO; FP&A; AP; procurement finance; IT finance,partial population,"Confirm source-of-record, calculation basis, finance attestation, KPI baselines, and blocked value claims.",partial,open,,,
meridian-health-ER-007,meridian-health,WS07,"Programs, Portfolio, and Change",PMO; transformation office; program sponsors; change management,partial population,"Confirm objectives, sponsors, phase, funding, dependencies, benefit evidence, and whether a Move is planning-ready.",partial,open,,,
meridian-health-ER-008,meridian-health,WS08,"Risk, Security, Controls, and Compliance",CISO; risk; audit; compliance; privacy/legal,partial population,"Confirm control ownership, blocked claims, risk severity, policy constraints, and evidence required before production use.",partial,open,,,
meridian-health-ER-009,meridian-health,WS09,"Operations, KPIs, and Process Evidence",COO; process owners; service management; business operations,partial population,"Confirm KPI definitions, baselines, process ownership, operational evidence, and whether issues are fair/current.",partial,open,,,
meridian-health-ER-010,meridian-health,WS10,"Interviews, Questionnaires, and Executive Signals",sponsor; discovery lead; executive SMEs; functional SMEs,partial population,"Confirm interview-only signals, caveats, evidence requests, and what cannot become deterministic truth yet.",partial,open,,,
