tenantKey,claimId,claimType,claim,conflictState,blockedNarrative,unblockCondition,status
meridian-health,MER-DUP-002,duplicate-truth-candidate,Canonical dimension 01_business_functions.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-005,duplicate-truth-candidate,Canonical dimension 04_applications_systems.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-006,duplicate-truth-candidate,Canonical dimension 05_data_assets_integrations.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-008,duplicate-truth-candidate,Canonical dimension 07_vendors_contracts.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-009,duplicate-truth-candidate,Canonical dimension 08_it_budget_spend_value.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-012,duplicate-truth-candidate,Canonical dimension 11_risks_controls.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-013,duplicate-truth-candidate,Canonical dimension 12_relationships.csv exists in 2 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-DUP-015,duplicate-truth-candidate,Canonical dimension 14_metrics_outcomes.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
meridian-health,MER-SCHEMA-026,contract-column-gap,00_enterprise_profile.csv is missing 8 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-027,contract-column-gap,01_business_functions.csv is missing 13 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-028,contract-column-gap,02_org_ownership.csv is missing 12 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-029,contract-column-gap,03_workforce_roles.csv is missing 12 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-030,contract-column-gap,04_applications_systems.csv is missing 17 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-031,contract-column-gap,05_data_assets_integrations.csv is missing 15 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-032,contract-column-gap,06_infrastructure_platforms.csv is missing 13 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-033,contract-column-gap,07_vendors_contracts.csv is missing 16 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-035,contract-column-gap,08_it_budget_spend_value.csv is missing 11 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-036,contract-column-gap,09_programs_initiatives.csv is missing 15 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-037,contract-column-gap,10_ai_automation_use_cases.csv is missing 12 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-038,contract-column-gap,11_risks_controls.csv is missing 13 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-039,contract-column-gap,13_evidence_sources.csv is missing 10 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-040,contract-column-gap,14_metrics_outcomes.csv is missing 11 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-041,contract-column-gap,15_industry_context_patterns.csv is missing 9 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-042,contract-column-gap,16_expert_lenses.csv is missing 9 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-044,contract-column-gap,17_managed_services_scope.csv is missing 12 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-SCHEMA-045,contract-column-gap,18_operational_process_evidence.csv is missing 12 declared column(s),SCHEMA_GAP,Do not report the missing attributes as zero or as known.,source extract that carries the missing columns,open
meridian-health,MER-UNREG-046,unregistered-artifact-in-active-root,SA02_IT_Finance_Budget_Spend_Extract.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
meridian-health,MER-UNREG-047,unregistered-artifact-in-active-root,SA04_Program_Portfolio_Extract.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
meridian-health,MER-UNREG-048,unregistered-artifact-in-active-root,SA08_AI_Benefits_Realization_Usage_Ledger.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
meridian-health,MER-UNREG-049,unregistered-artifact-in-active-root,SA09_AI_Tool_Usage_Feed.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
meridian-health,MER-UNREG-050,unregistered-artifact-in-active-root,SA10_AI_Value_Interview_Evidence.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
meridian-health,MER-UNREG-051,unregistered-artifact-in-active-root,SA11_AI_KPI_Operational_Outcome_Feed.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
