"layer","component","current_repo_anchor","status","notes"
"Layer 1 Client intake","Active tenant input registry","datasets/tenant-inputs/tenant-input-registry.json","implemented","Active inputs resolve from activeTenants canonicalInputRoot."
"Layer 1 Client intake","Pilot Tower workbook","docs/templates/tower/client-intake/AbarVa_Tower_Client_Data_Intake_v1.xlsx","added","Nineteen-sheet workbook with independent owner/source tabs."
"Layer 2 Source adapters","V3 CSV to Tower facts","src/lib/cio-tower/mart-projection/facts-from-v3.ts","implemented bridge","Reads active current source files into CioTowerFactRow rows."
"Layer 2 Source adapters","Operational Tower tables to facts","src/lib/cio-tower/mart-projection/facts-from-tower.ts","implemented bridge","Requires DB access and tower_* source tables."
"Layer 3 Canonical Tower records","Tower fact spine","src/lib/cio-tower/mart-projection/facts-schema.ts","implemented bridge","Typed CioTowerFactRow mirrors cio_tower.facts."
"Layer 3 Canonical Tower records","Declared tool identity crosswalk","src/lib/cio-tower/mart-projection/tool-identity-crosswalk.ts","implemented bridge","Prevents name-only joins where aliases are known."
"Layer 4 Product projection","Tower mart assembler","src/lib/cio-tower/mart-projection/assemble-mart.ts","implemented","Projects facts into cio_tower.mart_* read models."
"Layer 4 Product projection","Tower dashboard reader","src/lib/cio-tower/tower-mart-view-model.ts","implemented","Reads cio_tower.mart_* for Command Center."
"Layer 4 Product projection","Tower page","src/app/(maestro)/tower/page.tsx","implemented","Serves Command Center from mart view model."
"Layer 4 Product projection","Tower aVa chat","src/lib/cio-tower/answer.ts","gap","Still uses older measure_results/V7 fallback context and needs mart re-grounding."
