tenantKey,layer,artifactGroup,path,present,fileCount,csvFileCount,dataRowCount,truthEligibility,refreshableLocally,requiredGate,smeValidationRequired,status
apex-retail,Layer 1 — Client Intake,registry-declared active input package,datasets/tenant-inputs/active/apex-retail/current,yes,23,23,2801,active-declared-source-package,no — active root is a hard gate,active-root-replacement,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 1 — Client Intake,adjacent standard pack (parallel copy of the same dimensions),datasets/tenant-inputs/apex-retail/standard-2026-07-v3,no,0,0,0,duplicate-truth-candidate,no — classify and reconcile first,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 1 — Client Intake,governed intake draft package,datasets/tenant-inputs/apex-retail/v2026-08-governed-intake,no,0,0,0,draft-not-active,yes,none for drafts; registry activation is gated,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 1 — Client Intake,interview and questionnaire discovery channel,datasets/tenant-inputs/apex-retail/interviews,no,0,0,0,source-signal-not-deterministic-truth,yes — as draft copies inside the governed package,none for drafts,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 1 — Client Intake,candidate pack,datasets/tenant-inputs/candidates/apex-retail,yes,2,2,343,not-active,no — classify only,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 2 — Source Adapters,generated adapter output,datasets/tenant-inputs/generated/apex-retail,no,0,0,0,disposable-build-output,"yes — dry-run only, no active write",none for dry-run,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 3 — Canonical Model,derived canonical context artifacts,datasets/tenant-inputs/apex-retail/derived,yes,1,0,0,derived-output-rebuildable,yes — as draft summaries only,canonical-store-write,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
apex-retail,Layer 4 — Products,approved narrative/product content,datasets/tenant-inputs/apex-retail/approved-content,yes,1,0,0,product-projection,no — readiness reporting only,product-projection-refresh,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
first-capital-financial,Layer 1 — Client Intake,registry-declared active input package,datasets/tenant-inputs/active/first-capital-financial/current,yes,23,23,1749,active-declared-source-package,no — active root is a hard gate,active-root-replacement,yes,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
first-capital-financial,Layer 1 — Client Intake,adjacent standard pack (parallel copy of the same dimensions),datasets/tenant-inputs/first-capital-financial/standard-2026-07-v3,no,0,0,0,duplicate-truth-candidate,no — classify and reconcile first,retirement-manifest,not-before-reconciliation,draft_local_offline_only_not_active_truth_no_registry_no_load_no_retrieval_no_product_use
