tenantKey,workstreamId,workstreamName,declaredAdapterFamily,implementedMappingProfiles,adapterState,sourceFilesAvailable,sourceFileCount,outputsProduced,gapNote
apex-retail,WS01,Enterprise Strategy and Operating Model,strategy-and-operating-model,enterprise-profile-v3/v1; industry-context-patterns/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/00_enterprise_profile.csv; datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv; datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv; datasets/tenant-inputs/active/apex-retail/current/15_industry_context_patterns.csv,4,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS02,"Organization, Workforce, and Decision Rights",organization-and-workforce,organization-ownership/v1; organization-workforce-roles/v1; organization-business-functions/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/02_org_ownership.csv; datasets/tenant-inputs/active/apex-retail/current/03_workforce_roles.csv; datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv,4,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS03,"Applications, Infrastructure, and Architecture",application-cmdb-and-architecture,applications-systems-v3/v1; infrastructure-platforms/v1; evidence-sources-v3/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv; datasets/tenant-inputs/active/apex-retail/current/06_infrastructure_platforms.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv; datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,4,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS04,"Data, Integration, and Analytics",data-catalog-integration-and-lineage,data-assets-integrations/v1; infrastructure-platforms/v1; ai-automation-use-cases/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/05_data_assets_integrations.csv; datasets/tenant-inputs/active/apex-retail/current/06_infrastructure_platforms.csv; datasets/tenant-inputs/active/apex-retail/current/10_ai_automation_use_cases.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv; datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,5,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS05,"Vendors, Contracts, and Procurement",vendor-clm-and-procurement,vendor-contracts/v1; managed-services-scope/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/07_vendors_contracts.csv; datasets/tenant-inputs/active/apex-retail/current/08_spend_value.csv; datasets/tenant-inputs/active/apex-retail/current/11_risks_controls.csv; datasets/tenant-inputs/active/apex-retail/current/17_service_scope_managed_services.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv; datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,6,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS06,"Finance, Spend, and Value",finance-ap-gl-and-fpa,spend-value/v1; metrics-outcomes/v1; vendor-contracts/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/08_spend_value.csv; datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv; datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv; datasets/tenant-inputs/active/apex-retail/current/07_vendors_contracts.csv; datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,5,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS07,"Programs, Portfolio, and Change",pmo-portfolio-and-benefits,programs-initiatives/v1; ai-automation-use-cases/v1; metrics-outcomes/v1; risks-controls/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv; datasets/tenant-inputs/active/apex-retail/current/10_ai_automation_use_cases.csv; datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv; datasets/tenant-inputs/active/apex-retail/current/11_risks_controls.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv,5,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS08,"Risk, Security, Controls, and Compliance",grc-security-and-service-management,risks-controls/v1; operational-process-evidence/v1; metrics-outcomes/v1; applications-systems-v3/v1; evidence-sources-v3/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/11_risks_controls.csv; datasets/tenant-inputs/active/apex-retail/current/18_operational_process_evidence.csv; datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv; datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv; datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,5,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS09,"Operations, KPIs, and Process Evidence",kpi-and-operational-telemetry,operational-process-evidence/v1; metrics-outcomes/v1; managed-services-scope/v1; organization-business-functions/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/18_operational_process_evidence.csv; datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv; datasets/tenant-inputs/active/apex-retail/current/17_service_scope_managed_services.csv; datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv,5,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
apex-retail,WS10,"Interviews, Questionnaires, and Executive Signals",interview-governance-and-evidence-requests,evidence-sources-v3/v1; expert-lenses/v1,partially-implemented,datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv; datasets/tenant-inputs/active/apex-retail/current/16_expert_lenses.csv; datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv,3,"none — dry-run only, no adapter was executed",Mapping profile exists; field satisfaction is reported per profile in the dry-run rows.
