gateId,tenantKey,action,layer,artefactOrPath,scopeToday,commandToRun,expectedOutput,rollbackReadbackProof,approvalRequired,executedInThisRun
GATE-01,apex-retail,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/apex-retail/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-01,first-capital-financial,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/first-capital-financial/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-01,healthcare-demo-new,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/healthcare-demo-new/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-01,lakeshore-holdings,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/lakeshore-holdings/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-01,lakeshore-industries,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/lakeshore-industries/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-01,meridian-health,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/meridian-health/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-01,skyharbor-air,Activate the governed intake package as the registry active root,Layer 1,datasets/tenant-inputs/tenant-input-registry.json,active root today: datasets/tenant-inputs/active/skyharbor-air/current,manual edit of tenant-input-registry.json + validation run,registry canonicalInputRoot repointed to the governed package,restore prior registry commit; prior active root is untouched on disk,"Anand/Codex, per tenant",no
GATE-02,apex-retail,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,23 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
GATE-02,first-capital-financial,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,23 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
GATE-02,healthcare-demo-new,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,24 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
GATE-02,lakeshore-holdings,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,23 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
GATE-02,lakeshore-industries,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,23 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
GATE-02,meridian-health,Replace or alias the active tenant input root,Layer 1,datasets/tenant-inputs/active/<tenant>/current,25 files in the active root,package promotion step (not implemented in this script),active root serves the governed package contents,prior root retained until retirement manifest passes,"Anand/Codex, per tenant",no
