tenantKey,mappingProfile,sourceClass,profileVersion,requiredFields,bestMatchingSourceFile,requiredFieldsSatisfied,requiredFieldsMissing,missingFieldNames,optionalFieldsSatisfied,dryRunResult,executed
apex-retail,organization-business-functions/v1,organization_functions,2026-08-14.organization-workforce-pr1,3,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,3,0,,12,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,organization-ownership/v1,organization_functions,2026-08-14.organization-workforce-pr1,3,datasets/tenant-inputs/active/apex-retail/current/02_org_ownership.csv,3,0,,11,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,organization-workforce-roles/v1,organization_functions,2026-08-14.organization-workforce-pr1,4,datasets/tenant-inputs/active/apex-retail/current/03_workforce_roles.csv,4,0,,10,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,vendor-contracts/v1,vendors_contracts,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/apex-retail/current/07_vendors_contracts.csv,3,0,,15,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,spend-value/v1,spend_value,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/apex-retail/current/08_spend_value.csv,3,0,,10,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,managed-services-scope/v1,service_scope_managed_services,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/apex-retail/current/17_service_scope_managed_services.csv,3,0,,12,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,metrics-outcomes/v1,metrics_outcomes,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv,3,0,,12,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,data-assets-integrations/v1,data_assets_integrations,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/apex-retail/current/05_data_assets_integrations.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,infrastructure-platforms/v1,infrastructure_platforms,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/apex-retail/current/06_infrastructure_platforms.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,programs-initiatives/v1,programs_priorities,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,ai-automation-use-cases/v1,ai_automation_use_cases,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/apex-retail/current/10_ai_automation_use_cases.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,risks-controls/v1,risks_controls,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/apex-retail/current/11_risks_controls.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,operational-process-evidence/v1,operational_process_evidence,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/apex-retail/current/18_operational_process_evidence.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,enterprise-profile-v3/v1,enterprise_profile,2026-08-14.v3-contract-pr1,3,datasets/tenant-inputs/active/apex-retail/current/00_enterprise_profile.csv,3,0,,6,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,applications-systems-v3/v1,applications_systems,2026-08-14.v3-contract-pr1,3,datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,3,0,,8,would-run,"no — field-satisfaction check only, no transform, no write"
apex-retail,evidence-sources-v3/v1,evidence_registry,2026-08-14.v3-contract-pr1,2,datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,2,0,,5,would-run,"no — field-satisfaction check only, no transform, no write"
