evidence_id,claim,source_program,evidence_type,source_document,confidence_level,status,date_collected,owner,business_function,notes
ev:fcfi:001,Digital account open rate is 31% — 24pp below competitor median of 55%,fcfi-digital-2026,Benchmark comparison,Competitor digital banking benchmarks (Cornerstone Advisors 2025),High,Active,2026-01-15,person:fcfi:vincent-morales,Retail Banking,"Primary driver of digital program investment; Cornerstone 2025 benchmark published Q4 2025"
ev:fcfi:002,Mobile app store rating 3.8/5.0 on iOS and Android combined,fcfi-digital-2026,Measurement,App store reviews — iOS App Store + Google Play (April 2026),High,Active,2026-04-20,person:fcfi:vincent-morales,Retail Banking,"1,240 reviews average; 38% 1-2 star citing slow performance and login errors"
ev:fcfi:003,Net Promoter Score for branch interaction is +42 vs industry average +35,fcfi-digital-2026,Survey,Medallia NPS survey data Q1 2026 (n=2,847 responses),High,Active,2026-04-01,person:fcfi:robert-landon,Retail Banking,"Branch NPS is a strength; digital NPS is −8 (unmeasured before CDO hire)"
ev:fcfi:004,Consumer digital adoption rate is 68% — 11pp below peer median of 79%,fcfi-digital-2026,Benchmark comparison,BAI Digital Banking Performance Metrics 2025; internal digital activity measurement,High,Active,2026-02-01,person:fcfi:vincent-morales,Retail Banking,"68% measured as unique monthly digital logins / total active consumer accounts"
ev:fcfi:005,CDO and CIO submitted conflicting architecture blueprints for digital banking infrastructure,fcfi-digital-2026,Internal document,Architecture committee submission memo 2026-03-14 (Karen Nakamura + Vincent Morales),High,Active,2026-03-14,person:fcfi:james-forsythe,IT,"Two 40-page documents with incompatible recommendations; CEO involvement required"
ev:fcfi:006,FiServ Cleartouch core (1998 vintage) cannot expose required REST APIs for real-time account opening,fcfi-core-2026,Technical assessment,FiServ API capability assessment — conducted by Deloitte Q4 2025,High,Active,2026-01-10,person:fcfi:karen-nakamura,IT,"Deloitte assessment confirms FiServ Cleartouch API limitations; estimated $8M custom middleware cost to partially bridge; not recommended"
ev:fcfi:007,Core banking vendor evaluation: Temenos total cost estimate $54M; Finxact estimate $48M; both 3.5-4 year timelines,fcfi-core-2026,Vendor proposal,Vendor RFP responses Q1 2026 — Temenos and Finxact,Medium,Active,2026-03-30,person:fcfi:karen-nakamura,IT,"Estimates preliminary; Temenos lower risk (track record); Finxact lower cost (newer tech); Gartner reference checks in progress"
ev:fcfi:008,OCC November 2025 exam cited 2 MRAs and 1 MRAC for BSA/AML deficiencies,fcfi-aml-2026,Regulatory finding,OCC Examination Report November 2025 (confidential),High,Active,2025-12-01,person:fcfi:patricia-holbrook,Compliance,"Shared with Board Risk Committee; remediation plan submitted to OCC January 2026; progress reviews quarterly"
ev:fcfi:009,CDD program completeness was 68% at November 2025 exam; improved to 74% by Q1 2026,fcfi-aml-2026,Internal measurement,Actimize CDD completeness dashboard; compliance team manual review,High,Active,2026-04-01,person:fcfi:patricia-holbrook,Compliance,"6pp improvement in 5 months; on track for 85% by Q2 2026 and 95% by Q4 2026"
ev:fcfi:010,SAR false-positive rate is 31% — consuming significant investigator capacity,fcfi-aml-2026,Internal measurement,Actimize alert disposition log FY2025,High,Active,2026-02-15,person:fcfi:patricia-holbrook,Compliance,"31% of alerts escalated to SAR ultimately filed; industry average 18-22%; tuning project underway with NICE Actimize"
ev:fcfi:011,Wealth AUM grew $220M in FY2025 vs $300M target — $80M shortfall,fcfi-wealth-2026,Internal performance,Wealth management P&L FY2025 (Advent Geneva extract),High,Active,2026-02-10,person:fcfi:diana-stern,Wealth Management,"$60M attributed to net outflows from platform-dissatisfied clients per Diana Stern; $20M gap unexplained"
ev:fcfi:012,Wealth portal adoption is 42% — 23pp below Broadridge benchmark of 65%,fcfi-wealth-2026,Benchmark comparison,Broadridge Wealth Digital Benchmark 2025; internal Orion portal analytics,High,Active,2026-01-20,person:fcfi:diana-stern,Wealth Management,"Broadridge benchmark n=85 wealth management firms; FCF at bottom quartile"
ev:fcfi:013,Wealth platform integration gap: Advent Geneva and Orion do not sync performance data in real-time,fcfi-wealth-2026,Technical assessment,Technology integration assessment — Diana Stern + IT team Q4 2025,High,Active,2025-12-15,person:fcfi:diana-stern,Wealth Management,"Manual overnight batch; advisors citing client complaints about stale data; 2 HNW client complaints in writing"
ev:fcfi:014,6 unconnected data warehouses exist across the enterprise — no enterprise data dictionary,fcfi-data-gov-2026,Internal assessment,Data landscape assessment — Informatica discovery scan + manual inventory Q1 2026,High,Active,2026-03-01,person:fcfi:karen-nakamura,Finance,"Data warehouses: Axiom (finance), Cleartouch (core), Actimize (BSA), Advent Geneva (wealth), Databricks pilot (analytics), MortgageCadence (mortgage)"
ev:fcfi:015,Manual regulatory reporting required for 4 of 8 key regulatory reports,fcfi-data-gov-2026,Internal assessment,Finance team reporting inventory Q4 2025,High,Active,2025-11-01,person:fcfi:charlotte-reid,Finance,"Manual reports: DFAST (partial), FFIEC 031 call report items, CRA LMI lending summary, interest rate risk ALCO report; each requires 3-5 FTE-days per quarter"
ev:fcfi:016,NIM compressed from 4.26% to 4.12% YoY — primary driver of ROAA decline,fcfi-core-2026,Financial measurement,Q4 2025 earnings call supplemental + FDIC call report,High,Active,2026-01-31,person:fcfi:charlotte-reid,Enterprise,"CD repricing at market rates and deposit mix shift toward higher-cost funding driving compression"
