Benefit_ID,Initiative_ID,Linked_Metric_ID,Benefit_Type,Baseline,Target,Forecast,Realized_to_Date,Unit,Measurement_Method,Benefit_Owner,Realization_Status
APEXRETAIL-BEN-0001,APEXRETAIL-INIT-0001,APEXRETAIL-MET-0001,run_cost,100,120,112,30,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
APEXRETAIL-BEN-0002,APEXRETAIL-INIT-0002,APEXRETAIL-MET-0002,productivity,101,121,113,31,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0003,APEXRETAIL-INIT-0003,APEXRETAIL-MET-0003,productivity,102,122,114,32,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0004,APEXRETAIL-INIT-0004,APEXRETAIL-MET-0004,run_cost,103,123,115,33,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0005,APEXRETAIL-INIT-0005,APEXRETAIL-MET-0005,productivity,104,124,116,34,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0006,APEXRETAIL-INIT-0006,APEXRETAIL-MET-0006,productivity,105,125,117,35,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0007,APEXRETAIL-INIT-0007,APEXRETAIL-MET-0007,run_cost,106,126,118,36,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0008,APEXRETAIL-INIT-0008,APEXRETAIL-MET-0008,productivity,107,127,119,37,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
APEXRETAIL-BEN-0009,APEXRETAIL-INIT-0009,APEXRETAIL-MET-0009,productivity,108,128,120,38,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0010,APEXRETAIL-INIT-0010,APEXRETAIL-MET-0010,run_cost,109,129,121,39,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0011,APEXRETAIL-INIT-0011,APEXRETAIL-MET-0011,productivity,110,130,122,40,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0012,APEXRETAIL-INIT-0012,APEXRETAIL-MET-0012,productivity,111,131,123,41,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0013,APEXRETAIL-INIT-0013,APEXRETAIL-MET-0013,run_cost,112,132,124,42,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0014,APEXRETAIL-INIT-0014,APEXRETAIL-MET-0014,productivity,113,133,125,43,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0015,APEXRETAIL-INIT-0015,APEXRETAIL-MET-0015,productivity,114,134,126,44,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
APEXRETAIL-BEN-0016,APEXRETAIL-INIT-0016,APEXRETAIL-MET-0016,run_cost,115,135,127,45,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0017,APEXRETAIL-INIT-0017,APEXRETAIL-MET-0017,productivity,116,136,128,46,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0018,APEXRETAIL-INIT-0018,APEXRETAIL-MET-0018,productivity,117,137,129,47,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0019,APEXRETAIL-INIT-0019,APEXRETAIL-MET-0019,run_cost,118,138,130,48,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0020,APEXRETAIL-INIT-0020,APEXRETAIL-MET-0020,productivity,119,139,131,49,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0021,APEXRETAIL-INIT-0021,APEXRETAIL-MET-0021,productivity,120,140,132,50,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
APEXRETAIL-BEN-0022,APEXRETAIL-INIT-0022,APEXRETAIL-MET-0022,run_cost,121,141,133,51,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
