Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
APEXRETAIL-AIGOV-0001,APEXRETAIL-INIT-0001,1,high,required,needed,needed,industry and enterprise AI policy,blocked
APEXRETAIL-AIGOV-0002,APEXRETAIL-INIT-0002,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0003,APEXRETAIL-INIT-0003,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0004,APEXRETAIL-INIT-0004,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0005,APEXRETAIL-INIT-0005,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0006,APEXRETAIL-INIT-0006,6,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0007,APEXRETAIL-INIT-0007,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0008,APEXRETAIL-INIT-0008,2,medium,defined,active,active,industry and enterprise AI policy,blocked
APEXRETAIL-AIGOV-0009,APEXRETAIL-INIT-0009,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0010,APEXRETAIL-INIT-0010,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0011,APEXRETAIL-INIT-0011,5,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0012,APEXRETAIL-INIT-0012,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0013,APEXRETAIL-INIT-0013,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0014,APEXRETAIL-INIT-0014,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0015,APEXRETAIL-INIT-0015,3,medium,defined,active,active,industry and enterprise AI policy,blocked
APEXRETAIL-AIGOV-0016,APEXRETAIL-INIT-0016,4,high,required,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0017,APEXRETAIL-INIT-0017,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0018,APEXRETAIL-INIT-0018,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0019,APEXRETAIL-INIT-0019,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0020,APEXRETAIL-INIT-0020,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0021,APEXRETAIL-INIT-0021,3,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
APEXRETAIL-AIGOV-0022,APEXRETAIL-INIT-0022,4,medium,required,active,active,industry and enterprise AI policy,blocked
APEXRETAIL-AIGOV-0023,APEXRETAIL-INIT-0023,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
