tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,persona_id,persona_name,business_area,population_count,ai_relevance,work_context
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-001,Branch banker / relationship manager,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-001,Branch banker / relationship manager,Consumer Banking,16800,High,"Onboarding, deposits, cross-sell, KYC, customer 360, next-best-action"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-002,Contact center agent,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-002,Contact center agent,Customer Care,8900,High,"Servicing, disputes, fraud calls, intent detection, knowledge assist"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-003,Commercial lending officer,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-003,Commercial lending officer,Commercial Banking,2100,High,"Credit memos, spreading, covenant tracking, origination, pricing"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-004,Credit underwriter,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-004,Credit underwriter,Risk,1800,High,"Underwriting, risk rating, exception handling, policy adherence"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-005,Fraud analyst,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-005,Fraud analyst,Financial Crimes,1450,High,"Alert triage, case investigation, fraud scoring, dispute resolution"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-006,AML investigator,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-006,AML investigator,Financial Crimes,1650,High,"Transaction monitoring, SAR narrative, sanctions, KYC refresh"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-007,Wealth advisor,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-007,Wealth advisor,Wealth Management,2400,High,"Portfolio review, planning, proposals, client meeting prep"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-008,Payments operations analyst,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-008,Payments operations analyst,Operations,2200,High,"Exception handling, reconciliation, returns, ISO 20022 repair"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-009,Software engineer,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-009,Software engineer,Technology,5400,High,"Core/cards/channels delivery, code assist, test generation"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-010,Data engineer,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-010,Data engineer,Data Platform,420,High,"Lakehouse pipelines, lineage, data quality, feature engineering"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-011,Financial analyst / controller,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-011,Financial analyst / controller,Finance,1900,Medium,"Close, reconciliation, variance, regulatory reporting, FP&A"
first-capital-financial,First Capital Financial,v6.0,workforce_persona,FC-PER-012,Model risk validator,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,FC-PER-012,Model risk validator,Risk,240,High,"SR 11-7 validation, model documentation, challenger models, monitoring"
