signal_id,title,description,programs_affected,severity,signal_type,status,owner,detected_date,resolution_target,resolution_status,notes
sig:fcfi:001,Core Banking Dependency Blocks Digital Transformation,Digital Banking Transformation (fcfi-digital-2026) is architecturally blocked from implementing real-time account opening and payment modernization until core banking vendor is selected (fcfi-core-2026). CDO has designed for API-first architecture that only the new core can support. Current FiServ Cleartouch cannot expose the APIs required.,fcfi-digital-2026 | fcfi-core-2026,HIGH,Dependency / Sequencing Conflict,Open,person:fcfi:james-forsythe,2026-02-15,2026-09-30 (core vendor selection),Active monitoring,"CEO must arbitrate: accelerate core selection timeline or constrain digital program scope to legacy-compatible features. Both PMs have escalated. Board Technology Committee briefed."
sig:fcfi:002,AML/KYC Remediation Requires Data Platform Not Yet Built,AML program (fcfi-aml-2026) requires enhanced transaction monitoring tuning using governed customer behavioral data. Data Governance program (fcfi-data-gov-2026) has not yet built the required data layer. Actimize model is running on unvalidated, ungovernanced data — a finding OCC is tracking.,fcfi-aml-2026 | fcfi-data-gov-2026,HIGH,Dependency / Regulatory Risk,Open,person:fcfi:marcus-osei,2026-02-28,2026-09-30,Active monitoring,"If data governance deliverable slips, AML model validation (a specific OCC MRA) cannot close by Q4 2026 target. OCC has been informed; expects integrated plan by Q2 2026."
sig:fcfi:003,Single-Sponsor Conflict: Patricia Holbrook is Both AML Sponsor and Lead,fcfi-aml-2026 is the highest-priority regulatory program. Patricia Holbrook is listed as both executive sponsor and program lead — a governance gap. With no independent oversight above the program, there is no escalation path if she is incorrect about remediation scope or pace.,fcfi-aml-2026,HIGH,Governance Gap,Open,person:fcfi:james-forsythe,2026-03-10,2026-04-30,Awaiting decision,"CEO acknowledged; option under discussion: appoint Marcus Osei as sponsor with Patricia as lead. EY external validation provides partial mitigant."
sig:fcfi:004,Wealth Platform Consolidation Budget Likely Understated,Wealth program fcfi-wealth-2026 has a $7.8M budget based on preliminary estimates. Diana Stern engaged a consultant who identified $12–15M as a realistic range for comparable implementations. Charlotte Reid has not approved a revised budget. If the program advances to P2 without budget alignment the gate will fail.,fcfi-wealth-2026,MEDIUM,Budget / Scope Conflict,Open,person:fcfi:diana-stern,2026-03-25,2026-05-31,Pending CFO review,"Diana Stern to present revised business case to Charlotte Reid by 2026-05-31. If approved at $12M, total enterprise program spend rises by $4.2M — requiring Board Finance Committee approval."
sig:fcfi:005,CRE Concentration Approaching OCC Guidance Threshold,CRE portfolio growth at 3.1% p.a. with current trajectory reaches OCC's 300% of capital guidance threshold in ~12 months. Thomas Yuen's commercial plan has $840M target for FY2026 CRE. At that level, concentration reaches 241% — still below 300% but above 250% which triggers enhanced MIS reporting requirements.,fcfi-core-2026 | fcfi-data-gov-2026,MEDIUM,Regulatory Risk / Credit Concentration,Open,person:fcfi:marcus-osei,2026-01-31,Ongoing monitoring,Active monitoring,"CRO has imposed informal CRE growth cap at $850M; Thomas Yuen not fully aligned. OCC examiner discussed at November exam. Management plan submitted."
sig:fcfi:006,CDO-CIO Architecture Conflict Threatens Digital Program Timeline,Vincent Morales (CDO) and Karen Nakamura (CIO) have submitted conflicting architectural blueprints for the digital banking infrastructure. CDO favors cloud-native composable architecture (Temenos Infinity + FDX APIs). CIO prefers integrated-stack approach (Jack Henry Banno) with lower implementation risk. Both claim their approach is faster. CEO has not arbitrated. P3 Design gate is stalled.,fcfi-digital-2026 | fcfi-core-2026,MEDIUM,Organizational / Architecture Conflict,Open,person:fcfi:james-forsythe,2026-03-01,2026-05-15,Escalated,"CEO must decide or appoint an independent technical arbiter. Laura Jensen (Board Technology Committee) has offered to facilitate. 6-week delay already accrued."
sig:fcfi:007,Branch Network Optimization Plan Conflicts with Digital Adoption Targets,Robert Landon's branch optimization plan closes 6 branches in FY2026 primarily in markets where digital adoption is lowest (rural Virginia + eastern NC). Digital program assumes branch-assisted digital enrollment as primary channel to hit 78% adoption target. Closing low-digital branches removes the enrollment channel in those markets.,fcfi-digital-2026,MEDIUM,Strategy Conflict,Open,person:fcfi:robert-landon,2026-02-10,2026-06-30,In discussion,"Landon argues branch closure economics ($2.8M NPV) are independent of digital targets. CDO argues digital adoption targets must be revised down if branches close before digital enrollment scales. No resolution."
sig:fcfi:008,Shared Technology Resources Across 4 Programs,Karen Nakamura and Vincent Morales share a technology delivery team of 42 FTEs + 18 contractors. Four programs (digital, core, data governance, AML) all have Q3 2026 milestones. Resource plan shows 112% utilization in Q2 2026 without priority arbitration. Overtime budget exhausted.,fcfi-digital-2026 | fcfi-core-2026 | fcfi-data-gov-2026 | fcfi-aml-2026,MEDIUM,Resource Conflict,Open,person:fcfi:karen-nakamura,2026-04-01,2026-04-30,Pending PMO review,"PMO has modeled 3 sequencing scenarios. CIO presenting to CEO April 30. Most likely outcome: AML gets priority given regulatory mandate; core and digital slip by one quarter."
sig:fcfi:009,Wealth AUM Growth Below Target Despite Favorable Market,Wealth AUM grew $220M in FY2025 vs $300M target — a $80M miss. Diana Stern attributes $60M of the miss to net outflows from platform-dissatisfied clients (NNM $142M vs $200M target). The remaining $20M gap is unexplained. Two advisor departures and poor portal adoption are documented contributing factors.,fcfi-wealth-2026,LOW,Performance / Attribution Gap,Open,person:fcfi:diana-stern,2026-02-28,2026-06-30,Under analysis,"CFO has flagged that if AUM growth misses again in FY2026 it will affect noninterest income line significantly. Platform program is partial solution; advisor retention program also needed."
sig:fcfi:010,Data Governance Blocked by Core Banking Vendor Uncertainty,fcfi-data-gov-2026 architecture depends on knowing the core banking vendor's data model. Informatica MDM design and Databricks pipeline architecture will differ significantly between Temenos and Finxact data structures. Karen Nakamura has paused data governance detailed design until core vendor is selected.,fcfi-data-gov-2026 | fcfi-core-2026,LOW,Dependency / Sequencing Conflict,Open,person:fcfi:karen-nakamura,2026-04-10,2026-09-30,Active monitoring,"Two quarters of data governance work suspended pending core decision. AML and regulatory reporting timelines impacted downstream. Charlotte Reid concerned about cascading delays."
sig:fcfi:011,Capital Deployment Tension: Investment vs. Return to Shareholders,Total FY2026 committed technology/regulatory investment: $46.5M across 5 programs. Charlotte Reid's capital model assumed $38M for FY2026. Dividend payout ratio already at 53.8% (above target 50%). Board has not approved incremental $8.5M. If investment proceeds without Board approval investor confidence risk is elevated.,fcfi-digital-2026 | fcfi-core-2026 | fcfi-aml-2026 | fcfi-wealth-2026 | fcfi-data-gov-2026,LOW,Capital Allocation Conflict,Open,person:fcfi:charlotte-reid,2026-04-15,2026-05-31,Board review pending,"CFO presenting unified investment plan to Board Finance Committee 2026-05-31. Scenarios include: phased investment (delay core by 6mo), equity issuance (dilutive), and debt issuance for capital programs."
