tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,evidence_type,evidence_location,evidence_owner
meridian-health,MER-V3-0001,MER-HS,Unified clinical + claims lakehouse synthetic evidence bundle,Unified clinical + claims lakehouse synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0240,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0002,MER-HS,Governed data foundation for AI / LLM automation synthetic evidence bundle,Governed data foundation for AI / LLM automation synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0241,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0003,MER-HS,Call center optimization synthetic evidence bundle,Call center optimization synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0242,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0004,MER-HS,Provider quality and performance synthetic evidence bundle,Provider quality and performance synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0243,active,medium,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0005,MER-HS,End-to-end cost transparency synthetic evidence bundle,End-to-end cost transparency synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0244,candidate,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0006,MER-HS,Payment integrity and leakage reduction synthetic evidence bundle,Payment integrity and leakage reduction synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0245,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0007,MER-HS,Automated close and reporting synthetic evidence bundle,Automated close and reporting synthetic evidence bundle,13_evidence_sources,MER-V3-EVID-0246,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/meridian-health-v6-v7-current-state-v1,AbarVa synthetic data steward
meridian-health,MER-V3-0030,MER-HS,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,13_evidence_sources,MER-V3-EVID-0280,candidate,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
meridian-health,MER-V3-0031,MER-HS,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,Boundary: AWS Databricks aspiration is not proof that the platform foundation is complete.,13_evidence_sources,MER-V3-EVID-0281,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
meridian-health,MER-V3-0032,MER-HS,Boundary: No certified medallion architecture is loaded.,Boundary: No certified medallion architecture is loaded.,13_evidence_sources,MER-V3-EVID-0282,active,medium,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
