tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,capability,owner,criticality,lifecycle_status,vendor_id,integrations,data_dependencies
meridian-health,MER-V3-0001,MER-HS,Epic Hyperspace,Epic Hyperspace,06_infrastructure_platforms,MER-V3-EVID-0040,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_ehr,Clinical Platforms,critical,current_core,MER-VEN-EPIC,Epic Bridges; Clarity; Caboodle,encounters; orders; results; clinical workflows
meridian-health,MER-V3-0002,MER-HS,Epic Clarity,Epic Clarity,06_infrastructure_platforms,MER-V3-EVID-0041,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_reporting_repository,Epic Analytics,critical,current_core,MER-VEN-EPIC,SQL Server extracts; Caboodle; Tableau,clinical reporting; encounter data; quality extracts
meridian-health,MER-V3-0003,MER-HS,Epic Caboodle,Epic Caboodle,06_infrastructure_platforms,MER-V3-EVID-0042,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,clinical_warehouse,Epic Analytics,high,current_core,MER-VEN-EPIC,Clarity ETL; Cogito; BI tools,curated Epic clinical model; quality reporting
meridian-health,MER-V3-0004,MER-HS,On-prem SQL Server reporting marts,On-prem SQL Server reporting marts,06_infrastructure_platforms,MER-V3-EVID-0043,active,medium,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,legacy_reporting_marts,Enterprise Data Warehouse,critical,fragmented_current_state,MER-VEN-MICROSOFT,SSIS; SQL Agent; Tableau extracts; Power BI gateway; SAS feeds,departmental marts; duplicated business rules; extract chains
meridian-health,MER-V3-0005,MER-HS,Tableau reporting estate,Tableau reporting estate,06_infrastructure_platforms,MER-V3-EVID-0044,candidate,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,business_intelligence,BI and Analytics,high,current_reporting,MER-VEN-TABLEAU,SQL Server marts; Caboodle extracts,dashboards; extracts; local metric definitions
meridian-health,MER-V3-0006,MER-HS,SAS analytics estate,SAS analytics estate,06_infrastructure_platforms,MER-V3-EVID-0045,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,advanced_analytics_legacy,Analytics,medium,current_reporting,MER-VEN-SAS,SQL Server marts; flat files,analytics programs; payment integrity models; statistical extracts
meridian-health,MER-V3-0007,MER-HS,Power BI reporting estate,Power BI reporting estate,06_infrastructure_platforms,MER-V3-EVID-0046,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,business_intelligence,BI and Analytics,high,current_reporting,MER-VEN-MICROSOFT,SQL Server gateway; Excel; semantic models,dashboards; finance reporting; semantic models
meridian-health,MER-V3-0008,MER-HS,Claims administration platform,Claims administration platform,06_infrastructure_platforms,MER-V3-EVID-0047,active,medium,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claims,Health Plan Operations,critical,current_core,MER-VEN-CLAIMS,EDI; claims extracts; payment integrity feeds,medical claims; adjudication; claim edits
meridian-health,MER-V3-0009,MER-HS,Pharmacy claims platform,Pharmacy claims platform,06_infrastructure_platforms,MER-V3-EVID-0048,active,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,pharmacy_claims,Pharmacy Operations,high,current_core,MER-VEN-PBM,NCPDP feeds; claims warehouse extracts,pharmacy claims; formulary; medication adherence
meridian-health,MER-V3-0010,MER-HS,CRM / member case management,CRM / member case management,06_infrastructure_platforms,MER-V3-EVID-0049,candidate,high,synthetic_v3_context_generation,user_provided_current_state_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,crm,Member Services,high,current_core,MER-VEN-CRM,contact center; claims status; member profile,member/provider cases; service history
