initiative_id,value_basis,committed_value_usd,realized_value_ytd_usd,confidence,measurement_method,finance_attested,evidence_id
SHA-INIT-001,avoidable disruption cost,270000000,91800000,high,control group,true,EVID-SHA-0001
SHA-INIT-002,labor productivity,180000000,21600000,medium,before_after,false,EVID-SHA-0002
SHA-INIT-003,revenue uplift,210000000,0,low,telemetry estimate,false,EVID-SHA-0003
SHA-INIT-004,risk reduction,310000000,0,blocked,finance model,false,EVID-SHA-0004
SHA-INIT-005,cloud cost avoidance,122000000,41480000,high,not measured,true,EVID-SHA-0005
SHA-INIT-006,avoidable disruption cost,140000000,16800000,medium,control group,false,EVID-SHA-0006
SHA-INIT-007,labor productivity,86000000,0,low,before_after,false,EVID-SHA-0007
SHA-INIT-008,revenue uplift,150000000,0,blocked,telemetry estimate,false,EVID-SHA-0008
SHA-INIT-009,risk reduction,92000000,31280000,high,finance model,true,EVID-SHA-0001
SHA-INIT-010,cloud cost avoidance,74000000,8880000,medium,not measured,false,EVID-SHA-0002
SHA-INIT-100,avoidable disruption cost,18000000,0,low,control group,false,EVID-SHA-0003
SHA-INIT-101,labor productivity,30000000,0,blocked,before_after,false,EVID-SHA-0004
SHA-INIT-102,revenue uplift,42000000,14280000,high,telemetry estimate,true,EVID-SHA-0005
SHA-INIT-103,risk reduction,54000000,6480000,medium,finance model,false,EVID-SHA-0006
SHA-INIT-104,cloud cost avoidance,66000000,0,low,not measured,false,EVID-SHA-0007
SHA-INIT-105,avoidable disruption cost,78000000,0,blocked,control group,false,EVID-SHA-0008
SHA-INIT-106,labor productivity,90000000,30600000,high,before_after,true,EVID-SHA-0001
SHA-INIT-107,revenue uplift,102000000,12240000,medium,telemetry estimate,false,EVID-SHA-0002
SHA-INIT-108,risk reduction,114000000,0,low,finance model,false,EVID-SHA-0003
SHA-INIT-109,cloud cost avoidance,126000000,0,blocked,not measured,false,EVID-SHA-0004
SHA-INIT-110,avoidable disruption cost,138000000,46920000,high,control group,true,EVID-SHA-0005
SHA-INIT-111,labor productivity,150000000,18000000,medium,before_after,false,EVID-SHA-0006
SHA-INIT-112,revenue uplift,162000000,0,low,telemetry estimate,false,EVID-SHA-0007
SHA-INIT-113,risk reduction,174000000,0,blocked,finance model,false,EVID-SHA-0008
SHA-INIT-114,cloud cost avoidance,186000000,63240000,high,not measured,true,EVID-SHA-0001
SHA-INIT-115,avoidable disruption cost,18000000,2160000,medium,control group,false,EVID-SHA-0002
SHA-INIT-116,labor productivity,30000000,0,low,before_after,false,EVID-SHA-0003
SHA-INIT-117,revenue uplift,42000000,0,blocked,telemetry estimate,false,EVID-SHA-0004
SHA-INIT-118,risk reduction,54000000,18360000,high,finance model,true,EVID-SHA-0005
SHA-INIT-119,cloud cost avoidance,66000000,7920000,medium,not measured,false,EVID-SHA-0006
