evidence_id,source_id,source_path,source_type,locator,claim_supported,freshness_status,trust_status
EVID-SHA-0001,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,Annual report §Operating scale,budget,stale_review,review_required
EVID-SHA-0002,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,Annual report §Revenue and segment performance,value,current,usable
EVID-SHA-0003,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,Investor day §Digital and loyalty growth,risk,current,usable
EVID-SHA-0004,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,Architecture deck slide 7,adoption,current,usable
EVID-SHA-0005,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,EDW deck slide 11,architecture,current,usable
EVID-SHA-0006,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,Roadmap page 4,governance,current,usable
EVID-SHA-0007,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,Mainframe options page 9,budget,current,usable
EVID-SHA-0008,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,Monthly refresh workbook control sheet,value,current,usable
EVID-SHA-0100,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 1,risk,stale_review,usable
EVID-SHA-0101,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 2,adoption,current,review_required
EVID-SHA-0102,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 3,architecture,current,usable
EVID-SHA-0103,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 4,governance,current,usable
EVID-SHA-0104,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 5,budget,current,usable
EVID-SHA-0105,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 6,value,current,usable
EVID-SHA-0106,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 7,risk,current,usable
EVID-SHA-0107,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 8,adoption,current,usable
EVID-SHA-0108,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 9,architecture,stale_review,usable
EVID-SHA-0109,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 10,governance,current,usable
EVID-SHA-0110,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 11,budget,current,review_required
EVID-SHA-0111,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 12,value,current,usable
EVID-SHA-0112,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 13,risk,current,usable
EVID-SHA-0113,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 14,adoption,current,usable
EVID-SHA-0114,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 15,architecture,current,usable
EVID-SHA-0115,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 16,governance,current,usable
EVID-SHA-0116,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 17,budget,stale_review,usable
EVID-SHA-0117,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 18,value,current,usable
EVID-SHA-0118,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 19,risk,current,usable
EVID-SHA-0119,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 20,adoption,current,review_required
EVID-SHA-0120,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 21,architecture,current,usable
EVID-SHA-0121,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 22,governance,current,usable
EVID-SHA-0122,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 23,budget,current,usable
EVID-SHA-0123,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 24,value,current,usable
EVID-SHA-0124,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 25,risk,stale_review,usable
EVID-SHA-0125,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 26,adoption,current,usable
EVID-SHA-0126,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 27,architecture,current,usable
EVID-SHA-0127,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 28,governance,current,usable
EVID-SHA-0128,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 29,budget,current,review_required
EVID-SHA-0129,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 30,value,current,usable
EVID-SHA-0130,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 31,risk,current,usable
EVID-SHA-0131,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 32,adoption,current,usable
EVID-SHA-0132,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 33,architecture,stale_review,usable
EVID-SHA-0133,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 34,governance,current,usable
EVID-SHA-0134,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 35,budget,current,usable
EVID-SHA-0135,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 36,value,current,usable
EVID-SHA-0136,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 37,risk,current,usable
EVID-SHA-0137,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 38,adoption,current,review_required
EVID-SHA-0138,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 39,architecture,current,usable
EVID-SHA-0139,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 40,governance,current,usable
EVID-SHA-0140,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 41,budget,stale_review,usable
EVID-SHA-0141,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 42,value,current,usable
EVID-SHA-0142,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 43,risk,current,usable
EVID-SHA-0143,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 44,adoption,current,usable
EVID-SHA-0144,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 45,architecture,current,usable
EVID-SHA-0145,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 46,governance,current,usable
EVID-SHA-0146,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 47,budget,current,review_required
EVID-SHA-0147,SRC-AICT,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,monthly_refresh,synthetic locator 48,value,current,usable
EVID-SHA-0148,SRC-AR-2025,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,annual_report,synthetic locator 49,risk,stale_review,usable
EVID-SHA-0149,SRC-Q1-2026,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,quarterly_earnings,synthetic locator 50,adoption,current,usable
EVID-SHA-0150,SRC-ID-2026,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,investor_day_deck,synthetic locator 51,architecture,current,usable
EVID-SHA-0151,SRC-CIO-ARCH,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,architecture_deck,synthetic locator 52,governance,current,usable
EVID-SHA-0152,SRC-EDW,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,edw_deck,synthetic locator 53,budget,current,usable
EVID-SHA-0153,SRC-IROPS,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,program_roadmap,synthetic locator 54,value,current,usable
EVID-SHA-0154,SRC-MF,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,modernization_options,synthetic locator 55,risk,current,usable
