capability_id,capability_name,value_stream,business_owner,maturity,ai_relevance,primary_systems,known_gap
MER-CAP-001,Longitudinal patient/member 360,Care and cost insight,Chief Data Officer,emerging,critical,Epic; claims core; pharmacy; Databricks AWS,Clinical and claims identifiers are not harmonized
MER-CAP-002,Prior authorization automation foundation,Utilization management,Chief Health Plan Officer,fragmented,critical,Claims core; UM platform; policy repository,Policy evidence and clinical record retrieval are manual
MER-CAP-003,Call center next-best-action,Member experience,Chief Customer Experience Officer,pilot,critical,Genesys; Salesforce; claims; CRM; transcripts,Real-time context missing across claims and care history
MER-CAP-004,HEDIS and STAR provider performance,Clinical quality,Chief Quality Officer,maturing,high,Epic; claims; provider network; quality warehouse,Attribution and measure closure lag
MER-CAP-005,Cost-of-care and margin by population,Finance and VBC,CFO,fragmented,critical,Claims; capitation; contracts; GL; Databricks,GL and claims economics not joined at decision grain
MER-CAP-006,Payment integrity and leakage detection,Claims integrity,VP Payment Integrity,emerging,high,Claims core; provider network; analytics,FWA patterns are episodic and not operationalized
MER-CAP-007,Automated close and financial reporting,Finance operations,Controller,fragmented,medium,ERP; claims accruals; provider contracts; Tableau,Manual reconciliation remains high
MER-CAP-008,Clinical documentation ambient AI,Clinical productivity,Chief Medical Officer,pilot,high,Epic; Abridge; Nuance DAX; Suki,Specialty coverage and documentation quality gates
MER-CAP-009,Data product governance and semantic layer,Enterprise data,Chief Data Officer,nascent,critical,Databricks; Unity Catalog; BI tools,No certified semantic layer for cross-domain KPIs
MER-CAP-010,FHIR and interoperability operations,Regulatory interoperability,Chief Compliance Officer,maturing,high,FHIR gateway; EDI; HIE; Epic,FHIR API and claims pipeline controls separate
