initiative_id,milestone_id,milestone_name,due_date,status,blocker_or_condition
APX-INIT-001,APX-INIT-001-MS-1,charter,2026-07-08,complete,
APX-INIT-001,APX-INIT-001-MS-2,data_ready,2026-08-09,complete,
APX-INIT-001,APX-INIT-001-MS-3,control_ready,2026-09-10,at_risk,identity and item-location data quality
APX-INIT-001,APX-INIT-001-MS-4,pilot_exit,2026-10-11,not_started,
APX-INIT-001,APX-INIT-001-MS-5,scale_decision,2026-11-12,not_started,
APX-INIT-002,APX-INIT-002-MS-1,charter,2026-08-09,complete,
APX-INIT-002,APX-INIT-002-MS-2,data_ready,2026-09-10,complete,
APX-INIT-002,APX-INIT-002-MS-3,control_ready,2026-10-11,at_risk,forecast explainability by category
APX-INIT-002,APX-INIT-002-MS-4,pilot_exit,2026-11-12,not_started,
APX-INIT-002,APX-INIT-002-MS-5,scale_decision,2026-07-13,not_started,
APX-INIT-003,APX-INIT-003-MS-1,charter,2026-09-10,complete,
APX-INIT-003,APX-INIT-003-MS-2,data_ready,2026-10-11,complete,
APX-INIT-003,APX-INIT-003-MS-3,control_ready,2026-11-12,at_risk,labor-rule integration and manager adoption
APX-INIT-003,APX-INIT-003-MS-4,pilot_exit,2026-07-13,not_started,
APX-INIT-003,APX-INIT-003-MS-5,scale_decision,2026-08-14,not_started,
APX-INIT-004,APX-INIT-004-MS-1,charter,2026-10-11,complete,
APX-INIT-004,APX-INIT-004-MS-2,data_ready,2026-11-12,complete,
APX-INIT-004,APX-INIT-004-MS-3,control_ready,2026-07-13,at_risk,camera/POS evidence linkage
APX-INIT-004,APX-INIT-004-MS-4,pilot_exit,2026-08-14,not_started,
APX-INIT-004,APX-INIT-004-MS-5,scale_decision,2026-09-15,not_started,
APX-INIT-005,APX-INIT-005-MS-1,charter,2026-11-12,complete,
APX-INIT-005,APX-INIT-005-MS-2,data_ready,2026-07-13,complete,
APX-INIT-005,APX-INIT-005-MS-3,control_ready,2026-08-14,at_risk,consent and customer identity gaps
APX-INIT-005,APX-INIT-005-MS-4,pilot_exit,2026-09-15,not_started,
APX-INIT-005,APX-INIT-005-MS-5,scale_decision,2026-10-16,not_started,
APX-INIT-006,APX-INIT-006-MS-1,charter,2026-07-13,complete,
APX-INIT-006,APX-INIT-006-MS-2,data_ready,2026-08-14,complete,
APX-INIT-006,APX-INIT-006-MS-3,control_ready,2026-09-15,at_risk,incrementality proof missing
APX-INIT-006,APX-INIT-006-MS-4,pilot_exit,2026-10-16,not_started,
APX-INIT-006,APX-INIT-006-MS-5,scale_decision,2026-11-17,not_started,
APX-INIT-007,APX-INIT-007-MS-1,charter,2026-08-14,complete,
APX-INIT-007,APX-INIT-007-MS-2,data_ready,2026-09-15,complete,
APX-INIT-007,APX-INIT-007-MS-3,control_ready,2026-10-16,at_risk,store inventory accuracy
APX-INIT-007,APX-INIT-007-MS-4,pilot_exit,2026-11-17,not_started,
APX-INIT-007,APX-INIT-007-MS-5,scale_decision,2026-07-18,not_started,
APX-INIT-008,APX-INIT-008-MS-1,charter,2026-09-15,complete,
APX-INIT-008,APX-INIT-008-MS-2,data_ready,2026-10-16,complete,
APX-INIT-008,APX-INIT-008-MS-3,control_ready,2026-11-17,at_risk,fairness and customer friction review
APX-INIT-008,APX-INIT-008-MS-4,pilot_exit,2026-07-18,not_started,
APX-INIT-008,APX-INIT-008-MS-5,scale_decision,2026-08-19,not_started,
APX-INIT-009,APX-INIT-009-MS-1,charter,2026-10-16,complete,
APX-INIT-009,APX-INIT-009-MS-2,data_ready,2026-11-17,complete,
APX-INIT-009,APX-INIT-009-MS-3,control_ready,2026-07-18,at_risk,vendor funding lineage
APX-INIT-009,APX-INIT-009-MS-4,pilot_exit,2026-08-19,not_started,
APX-INIT-009,APX-INIT-009-MS-5,scale_decision,2026-09-20,not_started,
APX-INIT-010,APX-INIT-010-MS-1,charter,2026-11-17,complete,
APX-INIT-010,APX-INIT-010-MS-2,data_ready,2026-07-18,complete,
APX-INIT-010,APX-INIT-010-MS-3,control_ready,2026-08-19,at_risk,knowledge base quality
APX-INIT-010,APX-INIT-010-MS-4,pilot_exit,2026-09-20,not_started,
APX-INIT-010,APX-INIT-010-MS-5,scale_decision,2026-10-21,not_started,
APX-INIT-011,APX-INIT-011-MS-1,charter,2026-07-18,complete,
APX-INIT-011,APX-INIT-011-MS-2,data_ready,2026-08-19,complete,
APX-INIT-011,APX-INIT-011-MS-3,control_ready,2026-09-20,at_risk,planner workflow fit
APX-INIT-011,APX-INIT-011-MS-4,pilot_exit,2026-10-21,not_started,
APX-INIT-011,APX-INIT-011-MS-5,scale_decision,2026-11-22,not_started,
APX-INIT-012,APX-INIT-012-MS-1,charter,2026-08-19,complete,
APX-INIT-012,APX-INIT-012-MS-2,data_ready,2026-09-20,complete,
APX-INIT-012,APX-INIT-012-MS-3,control_ready,2026-10-21,at_risk,mobile device and policy readiness
APX-INIT-012,APX-INIT-012-MS-4,pilot_exit,2026-11-22,not_started,
APX-INIT-012,APX-INIT-012-MS-5,scale_decision,2026-07-23,not_started,
APX-INIT-013,APX-INIT-013-MS-1,charter,2026-09-20,complete,
APX-INIT-013,APX-INIT-013-MS-2,data_ready,2026-10-21,complete,
APX-INIT-013,APX-INIT-013-MS-3,control_ready,2026-11-22,at_risk,carrier API latency
APX-INIT-013,APX-INIT-013-MS-4,pilot_exit,2026-07-23,not_started,
APX-INIT-013,APX-INIT-013-MS-5,scale_decision,2026-08-24,not_started,
APX-INIT-014,APX-INIT-014-MS-1,charter,2026-10-21,complete,
APX-INIT-014,APX-INIT-014-MS-2,data_ready,2026-11-22,complete,
APX-INIT-014,APX-INIT-014-MS-3,control_ready,2026-07-23,at_risk,measurement by product team incomplete
APX-INIT-014,APX-INIT-014-MS-4,pilot_exit,2026-08-24,not_started,
APX-INIT-014,APX-INIT-014-MS-5,scale_decision,2026-09-25,not_started,
