team_or_product,deployment_frequency_before,deployment_frequency_after,lead_time_before_days,lead_time_after_days,change_failure_before_pct,change_failure_after_pct,mttr_before_hours,mttr_after_hours
Data and AI,2/month,4/month,28,16,18,10,12,6
Merchandising,3/month,5/month,27,15,19,11,13,7
Store Operations,4/month,6/month,26,14,20,12,14,8
Loss Prevention,5/month,7/month,25,13,21,13,15,9
Digital Commerce,2/month,8/month,24,12,22,10,16,10
Marketing,3/month,9/month,23,16,23,11,17,6
Omnichannel Fulfillment,4/month,4/month,22,15,18,12,18,7
Risk,5/month,5/month,21,14,19,13,19,8
Finance,2/month,6/month,28,13,20,10,20,9
IT Operations,3/month,7/month,27,12,21,11,21,10
Merchandising,4/month,8/month,26,16,22,12,22,6
Store Operations,5/month,9/month,25,15,23,13,23,7
