initiative_id,vendor_or_tool,ytd_spend_usd,annual_budget_usd,contract_value_usd,renewal_date,unit_economic_note
APX-INIT-001,Microsoft,1200000,3000000,9000000,2026-08-20,identity and item-location data quality
APX-INIT-002,Databricks,1620000,3760000,11400000,2026-09-20,forecast explainability by category
APX-INIT-003,Salesforce,2040000,4520000,13800000,2026-10-20,labor-rule integration and manager adoption
APX-INIT-004,Adobe,2460000,5280000,16200000,2026-11-20,camera/POS evidence linkage
APX-INIT-005,ServiceNow,2880000,6040000,18600000,2026-12-20,consent and customer identity gaps
APX-INIT-006,AWS,3300000,6800000,21000000,2026-08-20,incrementality proof missing
APX-INIT-007,Oracle,3720000,7560000,23400000,2026-09-20,store inventory accuracy
APX-INIT-008,Microsoft,4140000,8320000,25800000,2026-10-20,fairness and customer friction review
APX-INIT-009,Databricks,4560000,9080000,28200000,2026-11-20,vendor funding lineage
APX-INIT-010,Salesforce,4980000,9840000,30600000,2026-12-20,knowledge base quality
APX-INIT-011,Adobe,5400000,10600000,33000000,2026-08-20,planner workflow fit
APX-INIT-012,ServiceNow,5820000,11360000,35400000,2026-09-20,mobile device and policy readiness
APX-INIT-013,AWS,6240000,12120000,37800000,2026-10-20,carrier API latency
APX-INIT-014,Oracle,6660000,12880000,40200000,2026-11-20,measurement by product team incomplete
