agent_id,agent_name,business_process,work_items_resolved,deflection_pct,exception_rate_pct,human_escalation_pct,approval_status,risk_note
APX-AGENT-001,Retail lakehouse and customer inventory graph agent/workflow,Data and AI,700,10,4.2,26.0,review_required,identity and item-location data quality
APX-AGENT-002,AI demand forecasting and replenishment agent/workflow,Merchandising,1010,12,4.7,25.0,approved_pilot,forecast explainability by category
APX-AGENT-003,Store labor scheduling optimization agent/workflow,Store Operations,1320,14,5.2,24.0,approved_pilot,labor-rule integration and manager adoption
APX-AGENT-004,Shrink anomaly detection agent/workflow,Loss Prevention,1630,16,5.7,23.0,approved_pilot,camera/POS evidence linkage
APX-AGENT-005,Search and personalization AI agent/workflow,Digital Commerce,1940,18,6.2,22.0,approved_pilot,consent and customer identity gaps
APX-AGENT-006,Retail media measurement clean room agent/workflow,Marketing,2250,20,6.7,21.0,review_required,incrementality proof missing
APX-AGENT-007,BOPIS exception prediction agent/workflow,Omnichannel Fulfillment,2560,22,7.2,20.0,approved_pilot,store inventory accuracy
APX-AGENT-008,Returns fraud triage agent/workflow,Risk,2870,24,7.7,19.0,approved_pilot,fairness and customer friction review
APX-AGENT-009,Finance margin bridge automation agent/workflow,Finance,3180,26,8.2,18.0,approved_pilot,vendor funding lineage
APX-AGENT-010,ServiceNow store support agent agent/workflow,IT Operations,3490,28,8.7,17.0,approved_pilot,knowledge base quality
APX-AGENT-011,Assortment localization copilot agent/workflow,Merchandising,3800,30,9.2,16.0,review_required,planner workflow fit
APX-AGENT-012,Store associate task assistant agent/workflow,Store Operations,4110,32,9.7,15.0,approved_pilot,mobile device and policy readiness
APX-AGENT-013,Supply chain ETA and carrier exception AI agent/workflow,Supply Chain,4420,34,10.2,14.0,approved_pilot,carrier API latency
APX-AGENT-014,AI code productivity program agent/workflow,Technology,4730,36,10.7,13.0,approved_pilot,measurement by product team incomplete
