team_id,team_name,executive_owner,domain,fte_count
TEAM-FCF-CORE,Core Banking Platforms,EVP Technology Operations,core banking,55
TEAM-FCF-PAYMENTS,Payments and Treasury Services,SVP Payments Technology,payments,74
TEAM-FCF-DIGITAL,Digital Banking and Client Experience,Chief Digital Officer,digital,93
TEAM-FCF-COMMLEND,Commercial Lending Technology,SVP Commercial Bank CIO,lending,112
TEAM-FCF-WEALTH,Wealth and Private Bank Technology,SVP Wealth Technology,wealth,131
TEAM-FCF-RISK,"Risk, Compliance and Financial Crimes",Chief Risk Officer,risk,150
TEAM-FCF-DATA,Enterprise Data and AI,Chief Data and Analytics Officer,data,59
TEAM-FCF-CLOUD,Cloud Platform Engineering,SVP Infrastructure,cloud,78
TEAM-FCF-CYBER,Cybersecurity and IAM,CISO,security,97
TEAM-FCF-ERP,Finance ERP and Procurement Systems,CFO,erp,116
TEAM-FCF-BRANCH,Branch and ATM Technology,SVP Retail Bank Ops,branch,135
TEAM-FCF-CONTACT,Contact Center and Servicing,SVP Client Service,servicing,154
TEAM-FCF-MRM,Model Risk and Validation,Chief Model Risk Officer,model risk,63
TEAM-FCF-OPS,Deposit and Loan Operations,COO,operations,82
TEAM-FCF-OPENBANK,Open Banking and API Products,Chief Product Officer,api,101
TEAM-FCF-TREASURY,Corporate Treasury Technology,Treasurer,treasury,120
TEAM-FCF-MORTGAGE,Mortgage and Consumer Lending,SVP Consumer Lending CIO,mortgage,139
TEAM-FCF-CARDS,Cards and Rewards Technology,SVP Cards,cards,158
TEAM-FCF-DEVEX,Engineering Productivity Office,CIO,devex,67
TEAM-FCF-ITSM,"ITSM, Observability and SRE",VP Technology Service Mgmt,itsm,86
TEAM-FCF-REG,Regulatory Remediation PMO,Chief Compliance Officer,regulatory,105
TEAM-FCF-VENDOR,Vendor and Sourcing Technology,Chief Procurement Officer,procurement,124
