role_id,team_id,title,fte_type,location,critical_skill
TEAM-FCF-CORE-ROLE-001,TEAM-FCF-CORE,Senior Engineer,employee,New York,core banking
TEAM-FCF-CORE-ROLE-002,TEAM-FCF-CORE,Principal Engineer,employee,Dallas,core banking
TEAM-FCF-CORE-ROLE-003,TEAM-FCF-CORE,Product Manager,employee,Chicago,core banking
TEAM-FCF-CORE-ROLE-004,TEAM-FCF-CORE,Scrum Master,employee,Remote,core banking
TEAM-FCF-CORE-ROLE-005,TEAM-FCF-CORE,Business Analyst,employee,Charlotte,core banking
TEAM-FCF-CORE-ROLE-006,TEAM-FCF-CORE,SRE,employee,New York,core banking
TEAM-FCF-CORE-ROLE-007,TEAM-FCF-CORE,Security Analyst,system_integrator,Dallas,core banking
TEAM-FCF-CORE-ROLE-008,TEAM-FCF-CORE,Data Engineer,employee,Chicago,core banking
TEAM-FCF-CORE-ROLE-009,TEAM-FCF-CORE,QA Engineer,employee,Remote,core banking
TEAM-FCF-CORE-ROLE-010,TEAM-FCF-CORE,Engineer,employee,Charlotte,core banking
TEAM-FCF-CORE-ROLE-011,TEAM-FCF-CORE,Senior Engineer,contractor,New York,core banking
TEAM-FCF-CORE-ROLE-012,TEAM-FCF-CORE,Principal Engineer,employee,Dallas,core banking
TEAM-FCF-CORE-ROLE-013,TEAM-FCF-CORE,Product Manager,employee,Chicago,core banking
TEAM-FCF-CORE-ROLE-014,TEAM-FCF-CORE,Scrum Master,system_integrator,Remote,core banking
TEAM-FCF-CORE-ROLE-015,TEAM-FCF-CORE,Business Analyst,employee,Charlotte,core banking
TEAM-FCF-CORE-ROLE-016,TEAM-FCF-CORE,SRE,employee,New York,core banking
TEAM-FCF-CORE-ROLE-017,TEAM-FCF-CORE,Security Analyst,employee,Dallas,core banking
TEAM-FCF-CORE-ROLE-018,TEAM-FCF-CORE,Data Engineer,employee,Chicago,core banking
TEAM-FCF-CORE-ROLE-019,TEAM-FCF-CORE,QA Engineer,employee,Remote,core banking
