initiative_id,milestone_id,milestone_name,milestone_type,target_date,actual_date,status,gate_criteria,gate_approver_role,blocker,evidence_artifact
FCF-INIT-001,M01-0,Business case approved,gate,2025-09-30,2025-09-28,complete,Sponsor approval + total cost of change estimate,SVP Payments Technology,,FCF-BC-FEDNOW-2025.pdf
FCF-INIT-001,M01-1,Core API integration live,delivery,2025-12-31,2026-01-14,complete,FedNow message types 20/16/28 validated; 99.95% uptime 30-day soak,SVP Payments Technology,,FCF-FEDNOW-SOAK-JAN26.log
FCF-INIT-001,M01-2,Sanctions screening wired,gate,2026-03-31,,at_risk,OFAC + FinCEN feed integrated; false-positive rate <0.8%; OCC sign-off,Chief Compliance Officer,OFAC feed latency spike: 340ms vs 150ms SLA; vendor Accelitas remediating,
FCF-INIT-001,M01-3,24x7 ops readiness,gate,2026-06-30,,not_started,NOC runbook approved; on-call rota staffed; war-game exercise passed,COO,"NOC staffing gap: 3 FTE required; 1 hired, 2 open",
FCF-INIT-001,M01-4,Volume target: 35% instant pay share,outcome,2027-06-30,,not_started,FedNow/RTP ≥35% of total payment volume; commercial and consumer clients onboarded,SVP Payments Technology,,
FCF-INIT-002,M02-0,Business case approved,gate,2025-10-15,2025-10-12,complete,Risk sponsor sign-off; SR 11-7 pre-assessment complete,Chief Risk Officer,,FCF-BC-AML-TRIAGE-2025.pdf
FCF-INIT-002,M02-1,Model development complete,delivery,2026-01-31,2026-02-10,complete,Model trained on 18-month alert history; precision ≥72% on holdout,Chief Model Risk Officer,,FCF-MRM-AML-TRIAGE-DEV.pdf
FCF-INIT-002,M02-2,SR 11-7 validation evidence,gate,2026-04-30,,blocked,MRM validation complete; bias test pass; OCC pre-exam walkthrough done; back-test report filed,Chief Model Risk Officer,MRM team backlog: 12 models ahead in queue; earliest slot July 2026,
FCF-INIT-002,M02-3,Pilot: 50 analyst seats,delivery,2026-07-31,,not_started,50 AML analysts using triage scores; false-positive rate ≤70%; caseload delta measured,Chief Risk Officer,Blocked on M02-2,
FCF-INIT-002,M02-4,Scale: all 420 AML analysts,outcome,2026-12-31,,not_started,False-positive rate ≤65%; SAR filing cycle ≤22 days; FinCEN no objection letter,Chief Risk Officer,,
FCF-INIT-003,M03-0,OCC MRA remediation plan filed,gate,2025-12-31,2026-01-08,complete,Remediation plan accepted by OCC; data lineage gap addressed in plan,CIO,,FCF-OCC-REMEDIATION-PLAN-JAN26.pdf
