initiative_id,benefit_category,committed_roi_usd,projected_roi_usd,realized_ytd_usd,realization_pct,evidence_quality,evidence_source,last_evidence_date,realizaton_status,next_review_date,notes
FCF-INIT-001,payment_revenue,42000000,42000000,840000,2,low,payments volume report,2026-05-31,far_behind,2026-09-30,2% instant pay share vs 35% target; revenue dependent on volume milestone
FCF-INIT-002,compliance_efficiency,21000000,21000000,1260000,6,medium,case management metrics,2026-05-31,blocked,2026-10-31,Blocked on SR 11-7; pilot data shows directional improvement but not verifiable at scale
FCF-INIT-003,infrastructure_cost_avoidance,0,0,0,0,none,,,on_hold,2026-12-31,HOLD — no benefit case until RFP scoping complete
FCF-INIT-004,fraud_loss_avoidance,28600000,75000000,26120000,91,high,fraud operations verified report,2026-05-31,on_track,2026-09-30,$26.1M YTD on $28.6M committed; ACH+wire expansion will push toward $75M target
FCF-INIT-005,new_account_revenue,18400000,18400000,920000,5,low,digital funnel analytics,2026-05-31,behind,2026-09-30,Abandonment 58% vs 28% target; KYC friction reduction in progress
FCF-INIT-006,revenue_acceleration,12200000,12200000,244000,2,low,pilot time study,2026-04-30,piloting,2026-07-31,8-analyst pilot showing 2-day cycle improvement; scale benefit not yet realized
FCF-INIT-007,throughput_improvement,600000,600000,0,0,none,,,kill_pending,,KILL — no value verified; camera infrastructure $420K decommission cost
FCF-INIT-008,contact_center_efficiency,800000,800000,0,0,none,,,kill_pending,,KILL — AHT unchanged; coaching-risk incidents; $800K sunk cost + vendor term fee
FCF-INIT-009,advisor_productivity,1700000,1700000,0,0,none,,,kill_pending,,KILL — FINRA supervision gap unresolved; client-note data path unauthorized
FCF-INIT-010,developer_productivity,4400000,9200000,3080000,70,high,GitHub Copilot telemetry + time study,2026-05-31,on_track,2026-09-30,Developer seats delivering 28% velocity improvement; expansion to 3K seats will accelerate
FCF-INIT-010,operations_productivity,4800000,4800000,480000,10,low,manager survey,2026-03-31,behind,2026-09-30,Ops seats not yet deployed; 180 seats in progress; Finance DLP review blocking GL use cases
FCF-INIT-011,underwriting_efficiency,7400000,7400000,740000,10,medium,underwriter time study,2026-04-30,piloting,2026-08-31,4-day cycle reduction proven in pilot; MRM validation required before full deploy
FCF-INIT-012,model_risk_efficiency,4100000,4100000,820000,20,medium,MRM cycle time report,2026-05-31,on_track,2026-09-30,Review cycle 14 days vs 18 baseline; 4-day savings on 47 models; target 6 days by Q3
