tenant_key,signal_id,record_id,service_or_process,service_area,ticket_or_event_type,metric_name,period,monthly_volume,value,threshold,status,severity_mix,mttr_hours,backlog_count,automation_candidate,root_cause_theme,incidents_p1_p2,incidents_total,change_failure_rate_pct,availability_pct,owner_role,evidence_id,source_file,source_row,value_source,notes
apex-retail,APX-OPS-001,,POS availability,,,availability_pct,2026-05,not_loaded,92,95,attention,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP Store Technology,APX-EVID-001,family-5-execution-operations/F14_operations-service-management.csv,2,tenant_file,
apex-retail,APX-OPS-002,,Ecommerce checkout,,,latency_ms,2026-05,not_loaded,93,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,SVP Digital Engineering,APX-EVID-002,family-5-execution-operations/F14_operations-service-management.csv,3,tenant_file,
apex-retail,APX-OPS-003,,OMS order flow,,,backlog,2026-05,not_loaded,94,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP Merch Tech,APX-EVID-003,family-5-execution-operations/F14_operations-service-management.csv,4,tenant_file,
apex-retail,APX-OPS-004,,Warehouse pick,,,defect_rate,2026-05,not_loaded,95,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP Supply Chain Tech,APX-EVID-004,family-5-execution-operations/F14_operations-service-management.csv,5,tenant_file,
apex-retail,APX-OPS-005,,Store support,,,sla_pct,2026-05,not_loaded,96,95,attention,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP Customer Platforms,APX-EVID-005,family-5-execution-operations/F14_operations-service-management.csv,6,tenant_file,
apex-retail,APX-OPS-006,,Shrink investigation,,,exception_count,2026-05,not_loaded,97,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP ERP,APX-EVID-006,family-5-execution-operations/F14_operations-service-management.csv,7,tenant_file,
apex-retail,APX-OPS-007,,POS availability,,,availability_pct,2026-05,not_loaded,98,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,Chief Data Officer,APX-EVID-007,family-5-execution-operations/F14_operations-service-management.csv,8,tenant_file,
apex-retail,APX-OPS-008,,Ecommerce checkout,,,latency_ms,2026-05,not_loaded,99,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP Cloud Platform,APX-EVID-008,family-5-execution-operations/F14_operations-service-management.csv,9,tenant_file,
apex-retail,APX-OPS-009,,OMS order flow,,,backlog,2026-05,not_loaded,92,95,attention,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,CISO,APX-EVID-009,family-5-execution-operations/F14_operations-service-management.csv,10,tenant_file,
apex-retail,APX-OPS-010,,Warehouse pick,,,defect_rate,2026-05,not_loaded,93,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP IT Operations,APX-EVID-010,family-5-execution-operations/F14_operations-service-management.csv,11,tenant_file,
apex-retail,APX-OPS-011,,Store support,,,sla_pct,2026-05,not_loaded,94,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,VP Store Technology,APX-EVID-011,family-5-execution-operations/F14_operations-service-management.csv,12,tenant_file,
apex-retail,APX-OPS-012,,Shrink investigation,,,exception_count,2026-05,not_loaded,95,95,normal,,not_loaded,not_loaded,,,not_loaded,not_loaded,not_loaded,not_loaded,SVP Digital Engineering,APX-EVID-012,family-5-execution-operations/F14_operations-service-management.csv,13,tenant_file,
