tenantKey,path,rootRole,truthEligibility,fileType,dataRows,columnCount,sha256,sourceSystemDeclared,sourceOwnerDeclared,extractDateDeclared,certificationState,classification,approvedForLoading
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/00_enterprise_profile.csv,registry-declared active input package,active-declared-source-package,csv,1,28,6b6e2f1c322f5ca3c6aa10176991fdd51d76504ee9bd3e1649e62c3ac2ee4fcc,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,registry-declared active input package,active-declared-source-package,csv,22,23,4eb746f34bb39e2558ce0bf4325194a683b2bd17041543f798d0650725bc0a72,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,registry-declared active input package,active-declared-source-package,csv,38,22,668b03b40018116f89627c32fdb632a0145c6aa23c5f60804eda10640127a5e7,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,registry-declared active input package,active-declared-source-package,csv,38,22,7fad22e00bce255f6eb4de3ae14d516f771fa562c3a260264ca87364032dfb54,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/04_applications_systems.csv,registry-declared active input package,active-declared-source-package,csv,503,33,a1fd9bd753c5ebb2ab1513cbfbb6ea1acd778e21af81c2284b979958e6d1a492,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/04_applications_systems.xlsx,registry-declared active input package,active-declared-source-package,xlsx,,0,18003bfa4efebf0d43093e13d0bfb292ed9c0bfc1cb4e2fcc8db4e87081d5e47,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,registry-declared active input package,active-declared-source-package,csv,499,26,b6c90c3932412d3cca3b659a5bb06820100b651772ce816bc5a11efcc2696841,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.xlsx,registry-declared active input package,active-declared-source-package,xlsx,,0,c61a4e24e255864f9f6b27ccf08c90d06cefb6394d86ca163c5571420b9ab87e,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,registry-declared active input package,active-declared-source-package,csv,33,29,41720576926df8536910d33f95c2d523e8f7c7ae267828a1612ac6a222c60185,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
skyharbor-air,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.xlsx,registry-declared active input package,active-declared-source-package,xlsx,,0,ef34a8f2c016ebb8f92fae100005a6d00e5fcbfa200913a9f5664f11e6935b45,not_declared_in_file,not_declared_in_file,not_declared_in_file,not_attested,synthetic_demo_planning_grade,no
