tenantKey,claimId,claimType,claim,conflictState,blockedNarrative,unblockCondition,status
skyharbor-air,SKY-DUP-001,duplicate-truth-candidate,Canonical dimension 00_enterprise_profile.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-002,duplicate-truth-candidate,Canonical dimension 01_business_functions.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-003,duplicate-truth-candidate,Canonical dimension 02_org_ownership.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-004,duplicate-truth-candidate,Canonical dimension 03_workforce_roles.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-005,duplicate-truth-candidate,Canonical dimension 04_applications_systems.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-006,duplicate-truth-candidate,Canonical dimension 05_data_assets_integrations.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-007,duplicate-truth-candidate,Canonical dimension 06_infrastructure_platforms.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-008,duplicate-truth-candidate,Canonical dimension 07_vendors_contracts.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-009,duplicate-truth-candidate,Canonical dimension 08_spend_value.csv exists in 2 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-010,duplicate-truth-candidate,Canonical dimension 09_programs_initiatives.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-011,duplicate-truth-candidate,Canonical dimension 10_ai_automation_use_cases.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-012,duplicate-truth-candidate,Canonical dimension 11_risks_controls.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-013,duplicate-truth-candidate,Canonical dimension 12_relationships.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-014,duplicate-truth-candidate,Canonical dimension 13_evidence_sources.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-015,duplicate-truth-candidate,Canonical dimension 14_metrics_outcomes.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-016,duplicate-truth-candidate,Canonical dimension 15_industry_context_patterns.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-017,duplicate-truth-candidate,Canonical dimension 16_expert_lenses.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-018,duplicate-truth-candidate,Canonical dimension 17_service_scope_managed_services.csv exists in 2 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-019,duplicate-truth-candidate,Canonical dimension 18_operational_process_evidence.csv exists in 3 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-DUP-024,duplicate-truth-candidate,Canonical dimension executive_interviews.csv exists in 2 roots,DIVERGENT_COPY,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",open
skyharbor-air,SKY-UNREG-025,unregistered-artifact-in-active-root,04_applications_systems.xlsx sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
skyharbor-air,SKY-UNREG-026,unregistered-artifact-in-active-root,05_data_assets_integrations.xlsx sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
skyharbor-air,SKY-UNREG-027,unregistered-artifact-in-active-root,06_infrastructure_platforms.xlsx sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
skyharbor-air,SKY-UNREG-028,unregistered-artifact-in-active-root,09_programs_initiatives.xlsx sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
skyharbor-air,SKY-UNREG-029,unregistered-artifact-in-active-root,19_data_analytics_platform_maturity.csv sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
skyharbor-air,SKY-UNREG-030,unregistered-artifact-in-active-root,19_data_analytics_platform_maturity.xlsx sits in the active input root but is not in the template contract,UNREGISTERED,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,open
