dimension_key,dimension_file,dimension_label,column_count,row_count,sort_order,entity_spine_required
v7_00_portfolio_entity_registry,V7_00_portfolio_entity_registry.csv,Portfolio Entity Registry,36,8,0,source
v7_01_enterprise_profile,V7_01_enterprise_profile.csv,Enterprise Profile,42,8,1,yes
v7_02_business_functions,V7_02_business_functions.csv,Business Functions,35,96,2,yes
v7_03_org_ownership,V7_03_org_ownership.csv,Org Ownership,27,116,3,yes
v7_04_workforce_personas,V7_04_workforce_personas.csv,Workforce Personas,27,82,4,yes
v7_05_applications_systems,V7_05_applications_systems.csv,Applications Systems,41,150,5,yes
v7_06_data_assets_integrations,V7_06_data_assets_integrations.csv,Data Assets Integrations,28,80,6,yes
v7_07_vendors_contracts,V7_07_vendors_contracts.csv,Vendors Contracts,27,96,7,yes
v7_08_spend_value,V7_08_spend_value.csv,Spend Value,27,48,8,yes
v7_09_programs_initiatives_business_priorities,V7_09_programs_initiatives_business_priorities.csv,Programs Initiatives Business Priorities,25,27,9,yes
v7_10_ai_initiatives,V7_10_ai_initiatives.csv,Ai Initiatives,25,27,10,yes
v7_11_operations_risk_controls,V7_11_operations_risk_controls.csv,Operations Risk Controls,25,48,11,yes
v7_12_relationships_graph_edges,V7_12_relationships_graph_edges.csv,Relationships Graph Edges,29,522,12,yes
v7_13_source_evidence_registry,V7_13_source_evidence_registry.csv,Source Evidence Registry,26,48,13,yes
v7_14_metric_definitions,V7_14_metric_definitions.csv,Metric Definitions,25,384,14,yes
v7_18_function_system_data_vendor_bridge,V7_18_function_system_data_vendor_bridge.csv,Function System Data Vendor Bridge,28,595,15,yes
v7_15_industry_market_knowledge_patterns,V7_15_industry_market_knowledge_patterns.csv,Industry Market Knowledge Patterns,16,5,16,yes
v7_16_expert_lenses,V7_16_expert_lenses.csv,Expert Lenses,16,5,17,yes
v7_17_client_rate_card_cost_basis,V7_17_client_rate_card_cost_basis.csv,Client Rate Card Cost Basis,24,18,18,yes
v7_19_service_tower_managed_services_scope,V7_19_service_tower_managed_services_scope.csv,Service Tower Managed Services Scope,24,48,19,yes
v7_20_chunk_retrieval_registry,V7_20_chunk_retrieval_registry.csv,Chunk Retrieval Registry,30,376,20,yes
v7_21_graph_registry_relationship_dictionary,V7_21_graph_registry_relationship_dictionary.csv,Graph Registry Relationship Dictionary,17,6,21,yes
v7_22_operational_evidence_process_intelligence,V7_22_operational_evidence_process_intelligence.csv,Operational Evidence Process Intelligence,24,80,22,yes
v7_23_external_benchmark_market_corpus,V7_23_external_benchmark_market_corpus.csv,External Benchmark Market Corpus,18,5,23,yes
v7_24_infrastructure_cloud_estate,V7_24_infrastructure_cloud_estate.csv,Infrastructure Cloud Estate,24,96,24,yes
