incident_id,system_id,severity,opened_at,closed_at,root_cause
INC-00001,APP-0365,P2,2026-05-28,2026-05-28,integration
INC-00002,APP-0304,P3,2026-02-15,2026-02-15,data quality
INC-00003,APP-0558,P3,2026-05-17,2026-05-17,mainframe batch
INC-00004,APP-0363,P2,2026-04-03,2026-04-03,human error
INC-00005,APP-0047,P2,2026-03-23,2026-03-23,mainframe batch
INC-00006,APP-0171,P4,2026-01-23,2026-01-23,unknown
INC-00007,APP-0370,P4,2026-04-08,2026-04-08,change
INC-00008,APP-0203,P1,2026-02-05,2026-02-05,mainframe batch
INC-00009,APP-0043,P3,2026-02-25,2026-02-25,capacity
INC-00010,APP-0515,P3,2026-03-11,2026-03-11,vendor outage
INC-00011,APP-0101,P4,2026-05-16,2026-05-16,human error
INC-00012,APP-0430,P3,2026-03-20,2026-03-20,vendor outage
INC-00013,APP-0395,P3,2026-05-25,2026-05-25,vendor outage
INC-00014,APP-0571,P2,2026-05-08,2026-05-08,capacity
INC-00015,APP-0183,P3,2026-03-19,2026-03-19,integration
INC-00016,APP-0506,P2,2026-03-04,2026-03-04,human error
INC-00017,APP-0448,P2,2026-05-06,2026-05-06,integration
INC-00018,APP-0317,P2,2026-04-26,2026-04-26,change
INC-00019,APP-0580,P4,2026-05-07,2026-05-07,data quality
INC-00020,APP-0190,P4,2026-05-02,2026-05-02,mainframe batch
INC-00021,APP-0076,P2,2026-02-15,2026-02-15,unknown
INC-00022,APP-0456,P3,2026-02-25,2026-02-25,human error
INC-00023,APP-0095,P2,2026-04-20,2026-04-20,capacity
INC-00024,APP-0285,P2,2026-01-20,2026-01-20,integration
INC-00025,APP-0585,P2,2026-01-16,2026-01-16,unknown
INC-00026,APP-0054,P2,2026-01-15,2026-01-15,human error
INC-00027,APP-0578,P1,2026-02-23,2026-02-23,human error
INC-00028,APP-0144,P2,2026-03-17,2026-03-17,capacity
INC-00029,APP-0083,P4,2026-02-03,2026-02-03,human error
INC-00030,APP-0164,P2,2026-01-24,2026-01-24,human error
INC-00031,APP-0192,P3,2026-05-06,2026-05-06,unknown
INC-00032,APP-0529,P2,2026-05-07,2026-05-07,data quality
INC-00033,APP-0474,P1,2026-02-13,2026-02-13,data quality
INC-00034,APP-0382,P3,2026-04-15,2026-04-15,mainframe batch
INC-00035,APP-0278,P2,2026-03-09,2026-03-09,capacity
INC-00036,APP-0217,P3,2026-04-20,2026-04-20,vendor outage
INC-00037,APP-0036,P1,2026-01-19,2026-01-19,data quality
INC-00038,APP-0445,P3,2026-01-02,2026-01-02,change
INC-00039,APP-0235,P2,2026-04-17,2026-04-17,vendor outage
INC-00040,APP-0278,P3,2026-01-14,2026-01-14,vendor outage
INC-00041,APP-0464,P1,2026-05-09,2026-05-09,human error
INC-00042,APP-0495,P3,2026-03-12,2026-03-12,integration
INC-00043,APP-0330,P1,2026-05-08,2026-05-08,unknown
INC-00044,APP-0221,P3,2026-03-24,2026-03-24,mainframe batch
INC-00045,APP-0352,P3,2026-02-19,2026-02-19,capacity
INC-00046,APP-0291,P3,2026-03-08,2026-03-08,data quality
INC-00047,APP-0562,P4,2026-04-02,2026-04-02,vendor outage
INC-00048,APP-0337,P4,2026-05-27,2026-05-27,change
INC-00049,APP-0411,P1,2026-05-18,2026-05-18,data quality
INC-00050,APP-0155,P1,2026-02-24,2026-02-24,mainframe batch
INC-00051,APP-0177,P2,2026-05-01,2026-05-01,integration
