vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id
MER-VEN-001,Epic,clinical_ai_or_ehr,Chief Medical Officer,1200000,2026-07-05,high,enterprise subscription,renewal before evidence gate,MER-EVID-001
MER-VEN-002,Databricks,clinical_ai_or_ehr,Chief Health Plan Officer,2275000,2026-08-06,high,per user / per provider,normal,MER-EVID-002
MER-VEN-003,AWS,clinical_ai_or_ehr,Chief Digital & Information Officer,3350000,2026-09-07,high,usage plus platform,normal,MER-EVID-003
MER-VEN-004,Microsoft/Nuance,clinical_ai_or_ehr,CFO,4425000,2026-10-08,high,enterprise subscription,normal,MER-EVID-004
MER-VEN-005,Abridge,clinical_ai_or_ehr,Chief Operating Officer,5500000,2026-11-09,high,per user / per provider,overlapping capability,MER-EVID-005
MER-VEN-006,Suki,clinical_ai_or_ehr,Chief Nursing Officer,6575000,2026-12-10,high,usage plus platform,renewal before evidence gate,MER-EVID-006
MER-VEN-007,Genesys,payer_platform_or_integration,Chief Compliance Officer,7650000,2026-07-11,high,enterprise subscription,normal,MER-EVID-007
MER-VEN-008,Salesforce,payer_platform_or_integration,Chief Customer Experience Officer,8725000,2026-08-12,high,per user / per provider,normal,MER-EVID-008
MER-VEN-009,Change Healthcare,payer_platform_or_integration,Chief Medical Officer,9800000,2026-09-13,high,usage plus platform,overlapping capability,MER-EVID-009
MER-VEN-010,Optum,payer_platform_or_integration,Chief Health Plan Officer,10875000,2026-10-14,high,enterprise subscription,normal,MER-EVID-010
MER-VEN-011,HealthEdge,payer_platform_or_integration,Chief Digital & Information Officer,11950000,2026-11-15,high,per user / per provider,renewal before evidence gate,MER-EVID-011
MER-VEN-012,TriZetto,payer_platform_or_integration,CFO,13025000,2026-12-16,high,usage plus platform,normal,MER-EVID-012
MER-VEN-013,MuleSoft,payer_platform_or_integration,Chief Operating Officer,14100000,2026-07-17,high,enterprise subscription,overlapping capability,MER-EVID-001
MER-VEN-014,Informatica,data_and_analytics,Chief Nursing Officer,15175000,2026-08-18,high,per user / per provider,normal,MER-EVID-002
MER-VEN-015,Tableau,data_and_analytics,Chief Compliance Officer,16250000,2026-09-19,high,usage plus platform,normal,MER-EVID-003
MER-VEN-016,SAS,data_and_analytics,Chief Customer Experience Officer,17325000,2026-10-20,high,enterprise subscription,renewal before evidence gate,MER-EVID-004
MER-VEN-017,Collibra,data_and_analytics,Chief Medical Officer,18400000,2026-11-21,high,per user / per provider,overlapping capability,MER-EVID-005
MER-VEN-018,ServiceNow,data_and_analytics,Chief Health Plan Officer,19475000,2026-12-22,high,usage plus platform,normal,MER-EVID-006
MER-VEN-019,Okta,security,Chief Digital & Information Officer,20550000,2026-07-23,medium,enterprise subscription,normal,MER-EVID-007
MER-VEN-020,CrowdStrike,security,CFO,21625000,2026-08-24,medium,per user / per provider,normal,MER-EVID-008
MER-VEN-021,Zscaler,security,Chief Operating Officer,22700000,2026-09-05,medium,usage plus platform,renewal before evidence gate,MER-EVID-009
MER-VEN-022,Workday,security,Chief Nursing Officer,23775000,2026-10-06,medium,enterprise subscription,normal,MER-EVID-010
MER-VEN-023,Oracle,corporate_finance_operations,Chief Compliance Officer,24850000,2026-11-07,medium,per user / per provider,normal,MER-EVID-011
MER-VEN-024,BlackLine,corporate_finance_operations,Chief Customer Experience Officer,25925000,2026-12-08,medium,usage plus platform,normal,MER-EVID-012
MER-VEN-025,Coupa,corporate_finance_operations,Chief Medical Officer,27000000,2026-07-09,medium,enterprise subscription,overlapping capability,MER-EVID-001
MER-VEN-026,Kyriba,corporate_finance_operations,Chief Health Plan Officer,28075000,2026-08-10,medium,per user / per provider,renewal before evidence gate,MER-EVID-002
MER-VEN-027,NICE,corporate_finance_operations,Chief Digital & Information Officer,29150000,2026-09-11,medium,usage plus platform,normal,MER-EVID-003
MER-VEN-028,Verint,corporate_finance_operations,CFO,30225000,2026-10-12,medium,enterprise subscription,normal,MER-EVID-004
MER-VEN-029,Availity,corporate_finance_operations,Chief Operating Officer,31300000,2026-11-13,medium,per user / per provider,overlapping capability,MER-EVID-005
MER-VEN-030,MHK,corporate_finance_operations,Chief Nursing Officer,32375000,2026-12-14,medium,usage plus platform,normal,MER-EVID-006
MER-VEN-031,InterQual,corporate_finance_operations,Chief Compliance Officer,33450000,2026-07-15,medium,enterprise subscription,renewal before evidence gate,MER-EVID-007
MER-VEN-032,Innovaccer,corporate_finance_operations,Chief Customer Experience Officer,34525000,2026-08-16,medium,per user / per provider,normal,MER-EVID-008
MER-VEN-033,Health Catalyst,corporate_finance_operations,Chief Medical Officer,35600000,2026-09-17,medium,usage plus platform,overlapping capability,MER-EVID-009
MER-VEN-034,BigID,corporate_finance_operations,Chief Health Plan Officer,36675000,2026-10-18,medium,enterprise subscription,normal,MER-EVID-010
