tenant_key,line_id,budget_area,function_or_platform,owner_role,owner_team_id,spend_type,budget_fy26_usd,run_budget_fy26_usd,change_budget_fy26_usd,ai_data_budget_fy26_usd,capex_budget_fy26_usd,opex_budget_fy26_usd,labor_pct,vendor_pct,cloud_infra_pct,budget_pressure,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
apex-retail,APX-BUD-001,,Store Systems and POS,VP Store Technology,,,201600000,130200000,71400000,650000,70560000,131040000,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,2,tenant_file,AI value proof required for FY27 funding
apex-retail,APX-BUD-002,,Digital Commerce Engineering,SVP Digital Engineering,,,249600000,161200000,88400000,1070000,104832000,144768000,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,3,tenant_file,Baseline portfolio funding
apex-retail,APX-BUD-003,,Merchandising and Planning Systems,VP Merch Tech,,,132480000,85560000,46920000,1490000,46368000,86112000,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,4,tenant_file,Baseline portfolio funding
apex-retail,APX-BUD-004,,Supply Chain Platforms,VP Supply Chain Tech,,,165120000,106640000,58480000,1910000,69350400,95769600,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,5,tenant_file,AI value proof required for FY27 funding
apex-retail,APX-BUD-005,,Customer Data and Loyalty Platforms,VP Customer Platforms,,,119040000,76880000,42160000,2330000,33331200,85708800,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,6,tenant_file,Baseline portfolio funding
apex-retail,APX-BUD-006,,ERP and Corporate Systems,VP ERP,,,111360000,71920000,39440000,2750000,38976000,72384000,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,7,tenant_file,Baseline portfolio funding
apex-retail,APX-BUD-007,,"Data, Analytics and AI",Chief Data Officer,,,176640000,114080000,62560000,3170000,74188800,102451200,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,8,tenant_file,AI value proof required for FY27 funding
apex-retail,APX-BUD-008,,Cloud Platform and SRE,VP Cloud Platform,,,159360000,102920000,56440000,3590000,44620800,114739200,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,9,tenant_file,Baseline portfolio funding
apex-retail,APX-BUD-009,,Cybersecurity,CISO,,,107520000,69440000,38080000,4010000,19353600,88166400,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,10,tenant_file,Baseline portfolio funding
apex-retail,APX-BUD-010,,Service Management and End User Tech,VP IT Operations,,,94080000,60760000,33320000,4430000,16934400,77145600,,,,,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,11,tenant_file,AI value proof required for FY27 funding
