vendor_id,vendor_name,category,owned_by,business_owner,technology_owner,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,renewal_risk_rating,evidence_id,legacy_notes,source_file,source_row,value_source
APX-VND-001,Salesforce,commerce,,COO,Store Systems and POS,1200000,2026-07-15,,,,high,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,2,tenant_file
APX-VND-002,Oracle,erp,,Chief Digital Officer,Digital Commerce Engineering,2040000,2026-08-15,,,,low,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,3,tenant_file
APX-VND-003,Manhattan,supply_chain,,Chief Merchandising Officer,Merchandising and Planning Systems,2880000,2026-09-15,,,,low,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,4,tenant_file
APX-VND-004,IBM,data_ai,,Chief Supply Chain Officer,Supply Chain Platforms,3720000,2026-10-15,,,,medium,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,5,tenant_file
APX-VND-005,Toshiba,security,,Chief Marketing Officer,Customer Data and Loyalty Platforms,4560000,2026-11-15,,,,low,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,6,tenant_file
APX-VND-006,Adobe,services,,CFO,ERP and Corporate Systems,5400000,2026-12-15,,,,high,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,7,tenant_file
APX-VND-007,Blue Yonder,commerce,,Chief Risk Officer,"Data, Analytics and AI",6240000,2026-07-15,,,,medium,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,8,tenant_file
APX-VND-008,SAP,erp,,CIO,Cloud Platform and SRE,7080000,2026-08-15,,,,low,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,9,tenant_file
APX-VND-009,Databricks,supply_chain,,CHRO,Cybersecurity,7920000,2026-09-15,,,,low,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,10,tenant_file
APX-VND-010,Snowflake,data_ai,,Chief Procurement Officer,Service Management and End User Tech,8760000,2026-10-15,,,,medium,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,11,tenant_file
APX-VND-011,ServiceNow,security,,Chief Real Estate Officer,Store Systems and POS,9600000,2026-11-15,,,,high,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,12,tenant_file
APX-VND-012,Microsoft,services,,SVP Private Brands,Digital Commerce Engineering,10440000,2026-12-15,,,,low,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,13,tenant_file
APX-VND-013,AWS,commerce,,COO,Merchandising and Planning Systems,11280000,2026-07-15,,,,medium,APX-EVID-013,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,14,tenant_file
APX-VND-014,Google,erp,,Chief Digital Officer,Supply Chain Platforms,12120000,2026-08-15,,,,low,APX-EVID-014,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,15,tenant_file
APX-VND-015,NVIDIA,supply_chain,,Chief Merchandising Officer,Customer Data and Loyalty Platforms,12960000,2026-09-15,,,,low,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,16,tenant_file
APX-VND-016,UKG,data_ai,,Chief Supply Chain Officer,ERP and Corporate Systems,13800000,2026-10-15,,,,high,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,17,tenant_file
APX-VND-017,Workday,security,,Chief Marketing Officer,"Data, Analytics and AI",14640000,2026-11-15,,,,low,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,18,tenant_file
APX-VND-018,CrowdStrike,services,,CFO,Cloud Platform and SRE,15480000,2026-12-15,,,,low,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,19,tenant_file
APX-VND-019,Datadog,commerce,,Chief Risk Officer,Cybersecurity,16320000,2026-07-15,,,,medium,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,20,tenant_file
APX-VND-020,MuleSoft,erp,,CIO,Service Management and End User Tech,17160000,2026-08-15,,,,low,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,21,tenant_file
APX-VND-021,Klaviyo,supply_chain,,CHRO,Store Systems and POS,18000000,2026-09-15,,,,high,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,22,tenant_file
APX-VND-022,Braze,data_ai,,Chief Procurement Officer,Digital Commerce Engineering,18840000,2026-10-15,,,,medium,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,23,tenant_file
APX-VND-023,NCR,security,,Chief Real Estate Officer,Merchandising and Planning Systems,19680000,2026-11-15,,,,low,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,24,tenant_file
APX-VND-024,Zebra,services,,SVP Private Brands,Supply Chain Platforms,20520000,2026-12-15,,,,low,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,25,tenant_file
APX-VND-025,Okta,commerce,,COO,Customer Data and Loyalty Platforms,21360000,2026-07-15,,,,medium,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,26,tenant_file
APX-VND-026,Fortinet,erp,,Chief Digital Officer,ERP and Corporate Systems,22200000,2026-08-15,,,,high,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,27,tenant_file
APX-VND-027,Accenture,supply_chain,,Chief Merchandising Officer,"Data, Analytics and AI",23040000,2026-09-15,,,,low,APX-EVID-013,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,28,tenant_file
APX-VND-028,Deloitte,data_ai,,Chief Supply Chain Officer,Cloud Platform and SRE,23880000,2026-10-15,,,,medium,APX-EVID-014,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,29,tenant_file
APX-VND-029,Infosys,security,,Chief Marketing Officer,Cybersecurity,24720000,2026-11-15,,,,low,APX-EVID-001,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,30,tenant_file
APX-VND-030,TCS,services,,CFO,Service Management and End User Tech,25560000,2026-12-15,,,,low,APX-EVID-002,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,31,tenant_file
APX-VND-031,EPAM,commerce,,Chief Risk Officer,Store Systems and POS,26400000,2026-07-15,,,,high,APX-EVID-003,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,32,tenant_file
APX-VND-032,Capgemini,erp,,CIO,Digital Commerce Engineering,27240000,2026-08-15,,,,low,APX-EVID-004,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,33,tenant_file
APX-VND-033,SAS,supply_chain,,CHRO,Merchandising and Planning Systems,28080000,2026-09-15,,,,low,APX-EVID-005,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,34,tenant_file
APX-VND-034,Tableau,data_ai,,Chief Procurement Officer,Supply Chain Platforms,28920000,2026-10-15,,,,medium,APX-EVID-006,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,35,tenant_file
APX-VND-035,Power BI,security,,Chief Real Estate Officer,Customer Data and Loyalty Platforms,29760000,2026-11-15,,,,low,APX-EVID-007,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,36,tenant_file
APX-VND-036,Narvar,services,,SVP Private Brands,ERP and Corporate Systems,30600000,2026-12-15,,,,high,APX-EVID-008,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,37,tenant_file
APX-VND-037,Riskified,commerce,,COO,"Data, Analytics and AI",31440000,2026-07-15,,,,medium,APX-EVID-009,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,38,tenant_file
APX-VND-038,Forter,erp,,Chief Digital Officer,Cloud Platform and SRE,32280000,2026-08-15,,,,low,APX-EVID-010,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,39,tenant_file
APX-VND-039,Stripe,supply_chain,,Chief Merchandising Officer,Cybersecurity,33120000,2026-09-15,,,,low,APX-EVID-011,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,40,tenant_file
APX-VND-040,Adyen,data_ai,,Chief Supply Chain Officer,Service Management and End User Tech,33960000,2026-10-15,,,,medium,APX-EVID-012,,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,41,tenant_file
