system_id,system_name,vendor,version,deployment_model,domain,owner_person_id,annual_cost_usd,renewal_date,business_criticality,technical_debt_rating,data_sensitivity,integration_count,description,scope
system:meridian:epic-hyperspace,Epic Hyperspace,Epic,2025 May,Hosted,Inpatient EHR,person:meridian:maya-ramos,9200000,2027-06-30,Critical,Medium,Restricted,84,Primary EHR access layer for inpatient clinicians; Epic consolidation 80% complete.,provider
system:meridian:epic-ambulatory,Epic Ambulatory,Epic,2025 May,Hosted,Ambulatory EHR,person:meridian:maya-ramos,6800000,2027-06-30,Critical,Low,Restricted,76,Ambulatory documentation and orders across 280 clinics.,provider
system:meridian:epic-mychart,Epic MyChart,Epic,2025 May,Hosted,Patient portal,person:meridian:jessica-toth,2100000,2027-06-30,High,Medium,Restricted,29,Patient portal with adoption gaps in lower-income and Hawaii markets.,provider
system:meridian:epic-cogito,Epic Cogito,Epic,2025 May,Hosted,Clinical analytics,person:meridian:jordan-mckenzie,3900000,2027-06-30,Critical,Low,Restricted,41,Analytics spine for clinical operations and quality reporting.,provider
system:meridian:epic-bridges,Epic Bridges,Epic,2025 May,Hosted,Interfaces,person:meridian:linda-howard,1800000,2027-06-30,Critical,Medium,Restricted,112,Interface engine with Hawaii Cerner bridge fragility visible.,shared
system:meridian:epic-healthy-planet,Epic Healthy Planet,Epic,2025 May,Hosted,Population health,person:meridian:priya-sharma,2600000,2027-06-30,Critical,Low,Restricted,38,Provider-side population health supporting value-based care.,shared
system:meridian:epic-beacon,Epic Beacon,Epic,2025 May,Hosted,Oncology,person:meridian:maya-ramos,1450000,2027-06-30,High,Low,Restricted,17,Oncology module across tertiary centers.,provider
system:meridian:epic-stork,Epic Stork,Epic,2025 May,Hosted,Women and infants,person:meridian:maya-ramos,940000,2027-06-30,High,Low,Restricted,14,OB workflow and perinatal documentation.,provider
system:meridian:epic-cosmos,Epic Cosmos,Epic,2025 May,Cloud,Research data network,person:meridian:jordan-mckenzie,1200000,2027-06-30,High,Low,Confidential,11,Research and comparative data network; clinical AI governance reviews all secondary-use patterns.,shared
system:meridian:cerner-powerchart-hawaii,Cerner Millennium PowerChart,Oracle Cerner,2018.01,Hosted,Hawaii EHR remnant,person:meridian:vacant-vp-applications,3100000,TBD,Critical,High,Restricted,33,Kona Coast remnant; visible artifact of paused Hawaii consolidation.,provider
system:meridian:healthedge-healthrules,HealthEdge HealthRules Payer,HealthEdge,2025.2,SaaS,Plan core admin,person:meridian:owen-li,3200000,2026-12-31,Critical,Medium,Restricted,44,Claims and core admin for MA and Medicaid managed care.,plan
system:meridian:dst-commercial-admin,DST Health Solutions,SS&C,legacy,Hosted,Commercial core admin,person:meridian:owen-li,1800000,2026-10-31,High,High,Restricted,23,Commercial admin sunset planned; data lineage risk persists.,plan
system:meridian:innovaccer-pop-health,Innovaccer Population Health,Innovaccer,2026.1,SaaS,Population health and care management,person:meridian:priya-sharma,5200000,2026-08-31,Critical,Low,Restricted,52,Strategically loaded renewal; bridge between provider Epic and plan claims.,shared
system:meridian:atlas-data-platform,Atlas Internal Data Platform,Meridian custom,3.4,AWS/Snowflake,Provider-plan data platform,person:meridian:jordan-mckenzie,6400000,,Critical,Medium,Restricted,67,Custom platform combining Epic Cosmos and claims data; politics exceed technology difficulty.,shared
system:meridian:zeomega-jiva,ZeOmega Jiva,ZeOmega,2025.4,SaaS,Utilization and care management,person:meridian:priya-sharma,2100000,2027-03-31,High,Medium,Restricted,28,Plan care-management workflow.,plan
system:meridian:cohere-prior-auth,Cohere Health Prior Authorization,Cohere Health,2026.1,SaaS,Prior authorization,person:meridian:david-henderson,1400000,2026-11-30,Critical,Medium,Restricted,19,Re-engaged after DENIALS-2024; politically sensitive.,shared
system:meridian:snowflake,Snowflake Data Cloud,Snowflake,Enterprise,SaaS,Data warehouse,person:meridian:jordan-mckenzie,4800000,2026-12-31,Critical,Low,Restricted,71,Enterprise warehouse with provider and plan partitions.,shared
system:meridian:aws,AWS,Amazon Web Services,EDP 2023,Cloud,Cloud platform,person:meridian:samuel-ito,11000000,2026-09-30,Critical,Medium,Restricted,89,Primary cloud platform under EDP renewal.,shared
system:meridian:microsoft-365,Microsoft 365,Microsoft,E5,SaaS,Productivity,person:meridian:wei-zhang,8000000,2027-05-31,Critical,Low,Confidential,49,Enterprise productivity and Teams; Copilot governance under AI council.,shared
system:meridian:workday-hcm,Workday HCM,Workday,2026R1,SaaS,HR,person:meridian:margaret-liu,6200000,2026-09-30,Critical,Low,Confidential,36,"HR, payroll, talent, and workforce data.",shared
system:meridian:workday-finance,Workday Financial Management,Workday,2026R1,SaaS,Finance,person:meridian:david-park,5600000,2026-09-30,Critical,Low,Confidential,31,"Finance, procurement, and planning.",shared
system:meridian:servicenow,ServiceNow ITSM,ServiceNow,Vancouver,SaaS,IT service management,person:meridian:linda-howard,3600000,2027-02-28,High,Low,Confidential,25,"ITSM and CMDB, uneven application ownership due to VP vacancy.",shared
system:meridian:okta,Okta,Okta,2026,SaaS,Identity,person:meridian:daniel-reyes,2400000,2027-04-30,Critical,Low,Restricted,57,Enterprise SSO except clinical edge cases with Imprivata.,shared
system:meridian:imprivata,Imprivata OneSign,Imprivata,7.x,Hybrid,Clinical SSO,person:meridian:daniel-reyes,1700000,2026-07-31,Critical,Medium,Restricted,19,Clinical workstation SSO; downtime procedures under review.,provider
system:meridian:salesforce-health-cloud,Salesforce Health Cloud,Salesforce,Spring 2026,SaaS,Member/patient engagement,person:meridian:jessica-toth,2600000,2027-01-31,High,Medium,Restricted,22,Patient/member portal integration point with provider-plan sharing constraints.,shared
system:meridian:ge-pacs,Imaging System,GE HealthCare,2025,SaaS,Imaging,person:meridian:linda-howard,206000,2026-02-02,Medium,Low,Confidential,4,GE HealthCare platform supporting Imaging; scope=provider; generated to enrich graph coverage.,provider
system:meridian:mckesson-radiology,Radiology System,McKesson,2025,SaaS,Radiology,person:meridian:jordan-mckenzie,292000,2026-03-03,Medium,Low,Confidential,5,McKesson platform supporting Radiology; scope=provider; generated to enrich graph coverage.,provider
system:meridian:philips-cardiology,Cardiology System,Philips,2025,Hybrid,Cardiology,person:meridian:kavita-patel,378000,2026-04-04,High,Low,Confidential,6,Philips platform supporting Cardiology; scope=provider; generated to enrich graph coverage.,provider
system:meridian:sunquest-lab,Lab System,Sunquest,2025,SaaS,Lab,,464000,2026-05-05,Medium,Medium,Restricted,7,Sunquest platform supporting Lab; scope=provider; generated to enrich graph coverage.,provider
system:meridian:omnicell,Pharmacy System,Omnicell,2025,SaaS,Pharmacy,person:meridian:vacant-vp-applications,550000,2026-06-06,Medium,Low,Restricted,8,Omnicell platform supporting Pharmacy; scope=provider; generated to enrich graph coverage.,provider
system:meridian:willow-pharmacy,Pharmacy System,Epic,2025,Hybrid,Pharmacy,person:meridian:linda-howard,636000,2026-07-07,High,Low,Restricted,9,Epic platform supporting Pharmacy; scope=provider; generated to enrich graph coverage.,provider
