mapping_id,application_id,application_name,business_function,process_supported,fit_score,pain_point,move_relevance
MER-MAP-001,MER-APP-001,Epic Hyperspace,Ambulatory and Primary Care,Longitudinal patient/member 360,54,Data must be manually reconciled before decision use,Databricks lakehouse migration
MER-MAP-002,MER-APP-002,Epic MyChart,Hospital Operations,Prior authorization automation foundation,61,Workflow is locked in legacy package screens,prior auth automation
MER-MAP-003,MER-APP-003,Epic Cadence,Health Plan Operations,Call center next-best-action,68,Controls are strong but evidence is not machine-readable,call center optimization
MER-MAP-004,MER-APP-004,Epic Resolute PB,Pharmacy Services,HEDIS and STAR provider performance,75,Real-time signal not available to front-line role,quality/provider performance
MER-MAP-005,MER-APP-005,Epic Resolute HB,Revenue Cycle and Coding,Cost-of-care and margin by population,82,Data must be manually reconciled before decision use,cost transparency
MER-MAP-006,MER-APP-006,Epic Healthy Planet,Member and Patient Contact Center,Payment integrity and leakage detection,89,Workflow is locked in legacy package screens,Databricks lakehouse migration
MER-MAP-007,MER-APP-007,Epic Cogito,"Quality, STAR and HEDIS",Automated close and financial reporting,54,Controls are strong but evidence is not machine-readable,prior auth automation
MER-MAP-008,MER-APP-008,Epic Clarity,Finance and Actuarial,Clinical documentation ambient AI,61,Real-time signal not available to front-line role,call center optimization
MER-MAP-009,MER-APP-009,Epic Caboodle,Population Health and VBC,Data product governance and semantic layer,68,Data must be manually reconciled before decision use,quality/provider performance
MER-MAP-010,MER-APP-010,Epic Cosmos connector,"Data, Analytics and AI",FHIR and interoperability operations,75,Workflow is locked in legacy package screens,cost transparency
MER-MAP-011,MER-APP-011,Epic Beaker,"Cybersecurity, Privacy and Compliance",Longitudinal patient/member 360,82,Controls are strong but evidence is not machine-readable,Databricks lakehouse migration
MER-MAP-012,MER-APP-012,Epic Willow,Digital and IT,Prior authorization automation foundation,89,Real-time signal not available to front-line role,prior auth automation
MER-MAP-013,MER-APP-013,HealthRules Payor,Provider Network Management,Call center next-best-action,54,Data must be manually reconciled before decision use,call center optimization
MER-MAP-014,MER-APP-014,Facets legacy claims,Clinical Informatics,HEDIS and STAR provider performance,61,Workflow is locked in legacy package screens,quality/provider performance
MER-MAP-015,MER-APP-015,QNXT Medicare Advantage,Enterprise Transformation Office,Cost-of-care and margin by population,68,Controls are strong but evidence is not machine-readable,cost transparency
MER-MAP-016,MER-APP-016,TriZetto provider pricing,Ambulatory and Primary Care,Payment integrity and leakage detection,75,Real-time signal not available to front-line role,Databricks lakehouse migration
MER-MAP-017,MER-APP-017,Evolent care management,Hospital Operations,Automated close and financial reporting,82,Data must be manually reconciled before decision use,prior auth automation
MER-MAP-018,MER-APP-018,InterQual authorization,Health Plan Operations,Clinical documentation ambient AI,89,Workflow is locked in legacy package screens,call center optimization
MER-MAP-019,MER-APP-019,MHK quality platform,Pharmacy Services,Data product governance and semantic layer,54,Controls are strong but evidence is not machine-readable,quality/provider performance
MER-MAP-020,MER-APP-020,Optum payment integrity,Revenue Cycle and Coding,FHIR and interoperability operations,61,Real-time signal not available to front-line role,cost transparency
MER-MAP-021,MER-APP-021,Change Healthcare EDI gateway,Member and Patient Contact Center,Longitudinal patient/member 360,68,Data must be manually reconciled before decision use,Databricks lakehouse migration
MER-MAP-022,MER-APP-022,Availity provider portal,"Quality, STAR and HEDIS",Prior authorization automation foundation,75,Workflow is locked in legacy package screens,prior auth automation
MER-MAP-023,MER-APP-023,Genesys Cloud CX,Finance and Actuarial,Call center next-best-action,82,Controls are strong but evidence is not machine-readable,call center optimization
MER-MAP-024,MER-APP-024,Salesforce Health Cloud,Population Health and VBC,HEDIS and STAR provider performance,89,Real-time signal not available to front-line role,quality/provider performance
MER-MAP-025,MER-APP-025,Twilio Flex SMS,"Data, Analytics and AI",Cost-of-care and margin by population,54,Data must be manually reconciled before decision use,cost transparency
MER-MAP-026,MER-APP-026,Verint workforce management,"Cybersecurity, Privacy and Compliance",Payment integrity and leakage detection,61,Workflow is locked in legacy package screens,Databricks lakehouse migration
MER-MAP-027,MER-APP-027,NICE call recording,Digital and IT,Automated close and financial reporting,68,Controls are strong but evidence is not machine-readable,prior auth automation
MER-MAP-028,MER-APP-028,Sprinklr digital service,Provider Network Management,Clinical documentation ambient AI,75,Real-time signal not available to front-line role,call center optimization
MER-MAP-029,MER-APP-029,Medallia experience signals,Clinical Informatics,Data product governance and semantic layer,82,Data must be manually reconciled before decision use,quality/provider performance
MER-MAP-030,MER-APP-030,Luma Health scheduling,Enterprise Transformation Office,FHIR and interoperability operations,89,Workflow is locked in legacy package screens,cost transparency
MER-MAP-031,MER-APP-031,Oracle EDW clinical mart,Ambulatory and Primary Care,Longitudinal patient/member 360,54,Controls are strong but evidence is not machine-readable,Databricks lakehouse migration
MER-MAP-032,MER-APP-032,Teradata claims mart,Hospital Operations,Prior authorization automation foundation,61,Real-time signal not available to front-line role,prior auth automation
MER-MAP-033,MER-APP-033,Hadoop raw zone,Health Plan Operations,Call center next-best-action,68,Data must be manually reconciled before decision use,call center optimization
MER-MAP-034,MER-APP-034,Informatica PowerCenter,Pharmacy Services,HEDIS and STAR provider performance,75,Workflow is locked in legacy package screens,quality/provider performance
MER-MAP-035,MER-APP-035,Tableau Server,Revenue Cycle and Coding,Cost-of-care and margin by population,82,Controls are strong but evidence is not machine-readable,cost transparency
MER-MAP-036,MER-APP-036,BusinessObjects,Member and Patient Contact Center,Payment integrity and leakage detection,89,Real-time signal not available to front-line role,Databricks lakehouse migration
MER-MAP-037,MER-APP-037,SAS Grid,"Quality, STAR and HEDIS",Automated close and financial reporting,54,Data must be manually reconciled before decision use,prior auth automation
MER-MAP-038,MER-APP-038,Databricks AWS Lakehouse,Finance and Actuarial,Clinical documentation ambient AI,61,Workflow is locked in legacy package screens,call center optimization
MER-MAP-039,MER-APP-039,Unity Catalog,Population Health and VBC,Data product governance and semantic layer,68,Controls are strong but evidence is not machine-readable,quality/provider performance
MER-MAP-040,MER-APP-040,dbt semantic layer,"Data, Analytics and AI",FHIR and interoperability operations,75,Real-time signal not available to front-line role,cost transparency
MER-MAP-041,MER-APP-041,Collibra catalog,"Cybersecurity, Privacy and Compliance",Longitudinal patient/member 360,82,Data must be manually reconciled before decision use,Databricks lakehouse migration
MER-MAP-042,MER-APP-042,MuleSoft API analytics,Digital and IT,Prior authorization automation foundation,89,Workflow is locked in legacy package screens,prior auth automation
MER-MAP-043,MER-APP-043,Workday Financials,Provider Network Management,Call center next-best-action,54,Controls are strong but evidence is not machine-readable,call center optimization
MER-MAP-044,MER-APP-044,Workday HCM,Clinical Informatics,HEDIS and STAR provider performance,61,Real-time signal not available to front-line role,quality/provider performance
MER-MAP-045,MER-APP-045,Oracle Hyperion Planning,Enterprise Transformation Office,Cost-of-care and margin by population,68,Data must be manually reconciled before decision use,cost transparency
MER-MAP-046,MER-APP-046,BlackLine close,Ambulatory and Primary Care,Payment integrity and leakage detection,75,Workflow is locked in legacy package screens,Databricks lakehouse migration
MER-MAP-047,MER-APP-047,Coupa procurement,Hospital Operations,Automated close and financial reporting,82,Controls are strong but evidence is not machine-readable,prior auth automation
MER-MAP-048,MER-APP-048,Kyriba treasury,Health Plan Operations,Clinical documentation ambient AI,89,Real-time signal not available to front-line role,call center optimization
MER-MAP-049,MER-APP-049,ServiceNow SPM,Pharmacy Services,Data product governance and semantic layer,54,Data must be manually reconciled before decision use,quality/provider performance
MER-MAP-050,MER-APP-050,Adaptive planning,Revenue Cycle and Coding,FHIR and interoperability operations,61,Workflow is locked in legacy package screens,cost transparency
MER-MAP-051,MER-APP-051,Okta IAM,Member and Patient Contact Center,Longitudinal patient/member 360,68,Controls are strong but evidence is not machine-readable,Databricks lakehouse migration
MER-MAP-052,MER-APP-052,CrowdStrike Falcon,"Quality, STAR and HEDIS",Prior authorization automation foundation,75,Real-time signal not available to front-line role,prior auth automation
MER-MAP-053,MER-APP-053,Zscaler ZIA/ZPA,Finance and Actuarial,Call center next-best-action,82,Data must be manually reconciled before decision use,call center optimization
MER-MAP-054,MER-APP-054,Palo Alto Prisma,Population Health and VBC,HEDIS and STAR provider performance,89,Workflow is locked in legacy package screens,quality/provider performance
MER-MAP-055,MER-APP-055,Splunk Cloud,"Data, Analytics and AI",Cost-of-care and margin by population,54,Controls are strong but evidence is not machine-readable,cost transparency
MER-MAP-056,MER-APP-056,Proofpoint,"Cybersecurity, Privacy and Compliance",Payment integrity and leakage detection,61,Real-time signal not available to front-line role,Databricks lakehouse migration
MER-MAP-057,MER-APP-057,ServiceNow IRM,Digital and IT,Automated close and financial reporting,68,Data must be manually reconciled before decision use,prior auth automation
MER-MAP-058,MER-APP-058,BigID discovery,Provider Network Management,Clinical documentation ambient AI,75,Workflow is locked in legacy package screens,call center optimization
MER-MAP-059,MER-APP-059,Meridian regional workflow app 59,Clinical Informatics,Data product governance and semantic layer,82,Controls are strong but evidence is not machine-readable,quality/provider performance
MER-MAP-060,MER-APP-060,Meridian regional workflow app 60,Enterprise Transformation Office,FHIR and interoperability operations,89,Real-time signal not available to front-line role,cost transparency
MER-MAP-061,MER-APP-061,Meridian regional workflow app 61,Ambulatory and Primary Care,Longitudinal patient/member 360,54,Data must be manually reconciled before decision use,Databricks lakehouse migration
MER-MAP-062,MER-APP-062,Meridian regional workflow app 62,Hospital Operations,Prior authorization automation foundation,61,Workflow is locked in legacy package screens,prior auth automation
MER-MAP-063,MER-APP-063,Meridian regional workflow app 63,Health Plan Operations,Call center next-best-action,68,Controls are strong but evidence is not machine-readable,call center optimization
MER-MAP-064,MER-APP-064,Meridian regional workflow app 64,Pharmacy Services,HEDIS and STAR provider performance,75,Real-time signal not available to front-line role,quality/provider performance
MER-MAP-065,MER-APP-065,Meridian regional workflow app 65,Revenue Cycle and Coding,Cost-of-care and margin by population,82,Data must be manually reconciled before decision use,cost transparency
MER-MAP-066,MER-APP-066,Meridian regional workflow app 66,Member and Patient Contact Center,Payment integrity and leakage detection,89,Workflow is locked in legacy package screens,Databricks lakehouse migration
MER-MAP-067,MER-APP-067,Meridian regional workflow app 67,"Quality, STAR and HEDIS",Automated close and financial reporting,54,Controls are strong but evidence is not machine-readable,prior auth automation
MER-MAP-068,MER-APP-068,Meridian regional workflow app 68,Finance and Actuarial,Clinical documentation ambient AI,61,Real-time signal not available to front-line role,call center optimization
MER-MAP-069,MER-APP-069,Meridian regional workflow app 69,Population Health and VBC,Data product governance and semantic layer,68,Data must be manually reconciled before decision use,quality/provider performance
MER-MAP-070,MER-APP-070,Meridian regional workflow app 70,"Data, Analytics and AI",FHIR and interoperability operations,75,Workflow is locked in legacy package screens,cost transparency
MER-MAP-071,MER-APP-071,Meridian regional workflow app 71,"Cybersecurity, Privacy and Compliance",Longitudinal patient/member 360,82,Controls are strong but evidence is not machine-readable,Databricks lakehouse migration
