metric_id,platform_or_system,metric_name,monthly_volume,peak_volume,growth_rate_pct,sla_target,observed_issue
MER-VOL-001,Epic Hyperspace,claims per month,120000,190000,5,near real time,manual validation before executive use
MER-VOL-002,Epic MyChart,encounters per month,305000,430000,7,daily by 6am,source-to-report lineage not certified
MER-VOL-003,Epic Cadence,pharmacy fills per month,490000,670000,9,monthly close day 3,identity matching incomplete
MER-VOL-004,Epic Resolute PB,call transcripts per month,675000,910000,11,near real time,sufficient for baseline reporting
MER-VOL-005,Epic Resolute HB,prior auth requests per month,860000,1150000,13,daily by 6am,manual validation before executive use
MER-VOL-006,Epic Healthy Planet,HEDIS measure rows per month,1045000,1390000,15,monthly close day 3,source-to-report lineage not certified
MER-VOL-007,Epic Cogito,provider contracts,1230000,1630000,17,near real time,identity matching incomplete
MER-VOL-008,Epic Clarity,GL journal lines,1415000,1870000,19,daily by 6am,sufficient for baseline reporting
MER-VOL-009,Epic Caboodle,FHIR API calls per month,1600000,2110000,5,monthly close day 3,manual validation before executive use
MER-VOL-010,Epic Cosmos connector,clinical notes per month,1785000,2350000,7,near real time,source-to-report lineage not certified
MER-VOL-011,Epic Beaker,payment integrity leads,1970000,2590000,9,daily by 6am,identity matching incomplete
MER-VOL-012,Epic Willow,close reconciliations,2155000,2830000,11,monthly close day 3,sufficient for baseline reporting
