application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id
MER-APP-001,Epic Hyperspace,clinical_ehr,Chief Medical Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,7100000,4708400,19,phi,optimize,MER-EVID-002
MER-APP-002,Epic MyChart,clinical_ehr,Chief Health Plan Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,9000000,4716800,20,phi,extend_to_lakehouse,MER-EVID-003
MER-APP-003,Epic Cadence,clinical_ehr,Chief Digital & Information Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,10900000,4725200,21,phi,optimize,MER-EVID-004
MER-APP-004,Epic Resolute PB,clinical_ehr,CFO,Epic and Clinical Systems,package,on_prem_vmware,production,critical,12800000,4733600,22,phi,extend_to_lakehouse,MER-EVID-005
MER-APP-005,Epic Resolute HB,clinical_ehr,Chief Operating Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,14700000,4742000,23,phi,optimize,MER-EVID-006
MER-APP-006,Epic Healthy Planet,clinical_ehr,Chief Nursing Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,16600000,4750400,24,phi,extend_to_lakehouse,MER-EVID-007
MER-APP-007,Epic Cogito,clinical_ehr,Chief Compliance Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,18500000,4758800,25,phi,optimize,MER-EVID-008
MER-APP-008,Epic Clarity,clinical_ehr,Chief Customer Experience Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,20400000,4767200,26,phi,extend_to_lakehouse,MER-EVID-009
MER-APP-009,Epic Caboodle,clinical_ehr,Chief Medical Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,22300000,4775600,18,phi,optimize,MER-EVID-010
MER-APP-010,Epic Cosmos connector,clinical_ehr,Chief Health Plan Officer,Epic and Clinical Systems,package,on_prem_vmware,production,critical,24200000,4784000,19,phi,extend_to_lakehouse,MER-EVID-011
MER-APP-011,Epic Beaker,clinical_ehr,Chief Digital & Information Officer,Epic and Clinical Systems,package,vendor_hosted,production,critical,26100000,4792400,20,phi,optimize,MER-EVID-012
MER-APP-012,Epic Willow,clinical_ehr,CFO,Epic and Clinical Systems,package,on_prem_vmware,production,critical,28000000,4800800,21,phi,extend_to_lakehouse,MER-EVID-001
MER-APP-013,HealthRules Payor,payer_claims,Chief Operating Officer,Health Plan Core and Claims Platforms,package,on_prem_aix_or_linux,production,critical,28600000,2057300,26,phi_pii_financial,contain_and_integrate,MER-EVID-002
MER-APP-014,Facets legacy claims,payer_claims,Chief Nursing Officer,Health Plan Core and Claims Platforms,package,managed_saas,production,critical,30500000,2069400,27,phi_pii_financial,lakehouse_feed_required,MER-EVID-003
MER-APP-015,QNXT Medicare Advantage,payer_claims,Chief Compliance Officer,Health Plan Core and Claims Platforms,package,on_prem_aix_or_linux,production,critical,32400000,2081500,28,phi_pii_financial,contain_and_integrate,MER-EVID-004
MER-APP-016,TriZetto provider pricing,payer_claims,Chief Customer Experience Officer,Health Plan Core and Claims Platforms,package,managed_saas,production,critical,34300000,2093600,29,phi_pii_financial,lakehouse_feed_required,MER-EVID-005
MER-APP-017,Evolent care management,payer_claims,Chief Medical Officer,Health Plan Core and Claims Platforms,package,on_prem_aix_or_linux,production,critical,36200000,2105700,30,phi_pii_financial,contain_and_integrate,MER-EVID-006
MER-APP-018,InterQual authorization,payer_claims,Chief Health Plan Officer,Health Plan Core and Claims Platforms,package,managed_saas,production,critical,38100000,2117800,22,phi_pii_financial,lakehouse_feed_required,MER-EVID-007
MER-APP-019,MHK quality platform,payer_claims,Chief Digital & Information Officer,Health Plan Core and Claims Platforms,package,on_prem_aix_or_linux,production,critical,40000000,2129900,23,phi_pii_financial,contain_and_integrate,MER-EVID-008
MER-APP-020,Optum payment integrity,payer_claims,CFO,Health Plan Core and Claims Platforms,package,managed_saas,production,critical,41900000,2142000,24,phi_pii_financial,lakehouse_feed_required,MER-EVID-009
MER-APP-021,Change Healthcare EDI gateway,payer_claims,Chief Operating Officer,Health Plan Core and Claims Platforms,package,on_prem_aix_or_linux,production,critical,43800000,2154100,25,phi_pii_financial,contain_and_integrate,MER-EVID-010
MER-APP-022,Availity provider portal,payer_claims,Chief Nursing Officer,Health Plan Core and Claims Platforms,package,managed_saas,production,critical,45700000,2166200,26,phi_pii_financial,lakehouse_feed_required,MER-EVID-011
MER-APP-023,Genesys Cloud CX,contact_center_crm,Chief Compliance Officer,Contact Center and CRM Platforms,saas,managed_saas,production,high,45400000,979600,16,phi_pii,agent_assist_candidate,MER-EVID-012
MER-APP-024,Salesforce Health Cloud,contact_center_crm,Chief Customer Experience Officer,Contact Center and CRM Platforms,saas,managed_saas,production,high,47300000,984800,17,phi_pii,real_time_context_gap,MER-EVID-001
