model_id,model_name,domain,system_id,business_function,model_type,deployment_env,decisioning_impact,sr117_tier,validation_status,last_validation_date,next_validation_date,open_findings,mra_linked,notes
FCF-MDL-001,Fraud Graph Scoring v2,fraud_detection,FCF-APP-DATABRICKS,FCF-BF-RISK,graph_neural_network,production,high,tier_1,current,2025-12-15,2026-12-15,0,false,Gold standard — only fully SR 11-7 current model at First Capital; $26.1M verified value
FCF-MDL-002,Card Transaction Anomaly v4,fraud_detection,FCF-APP-DATABRICKS,FCF-BF-RISK,isolation_forest_ensemble,production,high,tier_1,current,2025-11-01,2026-11-01,0,false,Real-time card transaction scoring; deployed alongside fraud graph
FCF-MDL-003,Credit Bureau Score Adjuster,credit_risk,FCF-APP-NCINO,FCF-BF-COMMBK,logistic_regression,production,high,tier_1,current,2025-08-20,2026-08-20,1,false,1 open finding: CFPB ECOA explainability gap for adverse action notices; remediation in progress
FCF-MDL-010,AML Alert Prioritizer,aml,FCF-APP-NICE-ACTIMIZE,FCF-BF-RISK,xgboost,production,high,tier_1,overdue,2024-01-15,2026-07-15,1,true,SR 11-7 validation overdue; MRM review slot requested Q3 2026; blocking AI scale decisions
FCF-MDL-011,KYC Risk Score,kyc,FCF-APP-FENERGO-KYC,FCF-BF-RISK,logistic_regression,production,high,tier_1,overdue,2024-02-15,2026-08-15,2,true,SR 11-7 validation overdue; MRM review slot requested Q3 2026; blocking AI scale decisions
FCF-MDL-012,Sanctions Name Match,sanctions,FCF-APP-NICE-ACTIMIZE,FCF-BF-RISK,fuzzy_string_match,production,high,tier_1,overdue,2024-03-15,2026-09-15,3,true,SR 11-7 validation overdue; MRM review slot requested Q3 2026; blocking AI scale decisions
FCF-MDL-013,Mortgage Default Predictor,credit_risk,FCF-APP-FIS-HORIZON,FCF-BF-RETAIL,gradient_boosting,production,high,tier_1,overdue,2024-04-15,2026-10-15,1,true,SR 11-7 validation overdue; MRM review slot requested Q3 2026; blocking AI scale decisions
FCF-MDL-014,Commercial Credit PD Model,credit_risk,FCF-APP-NCINO,FCF-BF-COMMBK,scorecard,production,high,tier_1,overdue,2024-05-15,2026-11-15,2,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-015,LTV Estimator v3,credit_risk,FCF-APP-FIS-HORIZON,FCF-BF-RETAIL,linear_regression,production,high,tier_1,overdue,2024-06-15,2026-12-15,3,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-016,Deposit Attrition Predictor,deposit,FCF-APP-SALESFORCE-FSC,FCF-BF-RETAIL,survival_model,production,high,tier_1,overdue,2023-07-15,2026-07-15,1,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-017,Interest Rate Sensitivity,market_risk,FCF-APP-MUREX-TREASURY,FCF-BF-TREASURY,var_model,production,high,tier_1,overdue,2023-08-15,2026-08-15,2,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-018,Liquidity Stress Model,liquidity,FCF-APP-MUREX-TREASURY,FCF-BF-TREASURY,stress_test_scenario,production,high,tier_1,overdue,2023-09-15,2026-09-15,3,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-019,Collections Propensity,collections,FCF-APP-PEGA-CASE,FCF-BF-OPS,propensity_model,production,high,tier_1,overdue,2023-10-15,2026-10-15,1,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-020,Branch Staffing Optimizer,workforce,FCF-APP-WORKDAY-HCM,FCF-BF-HR,staffing_algorithm,production,high,tier_1,overdue,2023-11-15,2026-11-15,2,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-021,FedNow Fraud Pre-Screen,fraud_detection,FCF-APP-FEDNOW-RTP,FCF-BF-OPS,rule_based_ml,production,high,tier_1,overdue,2023-12-15,2026-12-15,3,false,SR 11-7 validation overdue; MRM review slot requested Q4 2026; blocking AI scale decisions
FCF-MDL-030,Analytics Model 1,marketing_analytics,FCF-APP-SNOWFLAKE,FCF-BF-DIGITAL,clustering,production,low,tier_2,expiring_soon,2025-01-01,2026-01-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-031,Analytics Model 2,ops_analytics,FCF-APP-DATABRICKS,FCF-BF-OPS,time_series,production,low,tier_2,current,2025-02-01,2026-02-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-032,Analytics Model 3,data_quality,FCF-APP-SALESFORCE-FSC,FCF-BF-FINANCE,regression,production,low,tier_2,current,2025-03-01,2026-03-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-033,Analytics Model 4,reporting,FCF-APP-SNOWFLAKE,FCF-BF-TECH,classification,production,low,tier_2,current,2025-04-01,2026-04-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-034,Analytics Model 5,forecasting,FCF-APP-DATABRICKS,FCF-BF-RETAIL,nlp,production,low,tier_2,current,2025-05-01,2026-05-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-035,Analytics Model 6,segmentation,FCF-APP-SALESFORCE-FSC,FCF-BF-COMMBK,recommendation,production,low,tier_2,expiring_soon,2025-06-01,2026-06-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-036,Analytics Model 7,marketing_analytics,FCF-APP-SNOWFLAKE,FCF-BF-DIGITAL,clustering,production,low,tier_2,current,2025-07-01,2026-07-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-037,Analytics Model 8,ops_analytics,FCF-APP-DATABRICKS,FCF-BF-OPS,time_series,production,low,tier_2,current,2025-08-01,2026-08-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-038,Analytics Model 9,data_quality,FCF-APP-SALESFORCE-FSC,FCF-BF-FINANCE,regression,production,low,tier_2,current,2025-09-01,2026-09-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-039,Analytics Model 10,reporting,FCF-APP-SNOWFLAKE,FCF-BF-TECH,classification,production,low,tier_2,current,2025-10-01,2026-10-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-040,Analytics Model 11,forecasting,FCF-APP-DATABRICKS,FCF-BF-RETAIL,nlp,production,low,tier_2,expiring_soon,2025-11-01,2026-11-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-041,Analytics Model 12,segmentation,FCF-APP-SALESFORCE-FSC,FCF-BF-COMMBK,recommendation,production,low,tier_2,current,2025-12-01,2026-12-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-042,Analytics Model 13,marketing_analytics,FCF-APP-SNOWFLAKE,FCF-BF-DIGITAL,clustering,production,low,tier_2,current,2025-01-01,2026-01-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-043,Analytics Model 14,ops_analytics,FCF-APP-DATABRICKS,FCF-BF-OPS,time_series,production,low,tier_2,current,2025-02-01,2026-02-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-044,Analytics Model 15,data_quality,FCF-APP-SALESFORCE-FSC,FCF-BF-FINANCE,regression,production,low,tier_2,current,2025-03-01,2026-03-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-045,Analytics Model 16,reporting,FCF-APP-SNOWFLAKE,FCF-BF-TECH,classification,production,low,tier_2,expiring_soon,2025-04-01,2026-04-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-046,Analytics Model 17,forecasting,FCF-APP-DATABRICKS,FCF-BF-RETAIL,nlp,production,low,tier_2,current,2025-05-01,2026-05-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-047,Analytics Model 18,segmentation,FCF-APP-SALESFORCE-FSC,FCF-BF-COMMBK,recommendation,production,low,tier_2,current,2025-06-01,2026-06-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-048,Analytics Model 19,marketing_analytics,FCF-APP-SNOWFLAKE,FCF-BF-DIGITAL,clustering,production,low,tier_2,current,2025-07-01,2026-07-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-049,Analytics Model 20,ops_analytics,FCF-APP-DATABRICKS,FCF-BF-OPS,time_series,production,low,tier_2,current,2025-08-01,2026-08-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-050,Analytics Model 21,data_quality,FCF-APP-SALESFORCE-FSC,FCF-BF-FINANCE,regression,production,low,tier_2,expiring_soon,2025-09-01,2026-09-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-051,Analytics Model 22,reporting,FCF-APP-SNOWFLAKE,FCF-BF-TECH,classification,production,low,tier_2,current,2025-10-01,2026-10-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-052,Analytics Model 23,forecasting,FCF-APP-DATABRICKS,FCF-BF-RETAIL,nlp,production,low,tier_2,current,2025-11-01,2026-11-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-053,Analytics Model 24,segmentation,FCF-APP-SALESFORCE-FSC,FCF-BF-COMMBK,recommendation,production,low,tier_2,current,2025-12-01,2026-12-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-054,Analytics Model 25,marketing_analytics,FCF-APP-SNOWFLAKE,FCF-BF-DIGITAL,clustering,production,low,tier_2,current,2025-01-01,2026-01-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-055,Analytics Model 26,ops_analytics,FCF-APP-DATABRICKS,FCF-BF-OPS,time_series,production,low,tier_2,expiring_soon,2025-02-01,2026-02-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-056,Analytics Model 27,data_quality,FCF-APP-SALESFORCE-FSC,FCF-BF-FINANCE,regression,production,low,tier_2,current,2025-03-01,2026-03-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-057,Analytics Model 28,reporting,FCF-APP-SNOWFLAKE,FCF-BF-TECH,classification,production,low,tier_2,current,2025-04-01,2026-04-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-058,Analytics Model 29,forecasting,FCF-APP-DATABRICKS,FCF-BF-RETAIL,nlp,production,low,tier_2,current,2025-05-01,2026-05-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-059,Analytics Model 30,segmentation,FCF-APP-SALESFORCE-FSC,FCF-BF-COMMBK,recommendation,production,low,tier_2,current,2025-06-01,2026-06-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-060,Analytics Model 31,marketing_analytics,FCF-APP-SNOWFLAKE,FCF-BF-DIGITAL,clustering,production,low,tier_2,expiring_soon,2025-07-01,2026-07-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
FCF-MDL-061,Analytics Model 32,ops_analytics,FCF-APP-DATABRICKS,FCF-BF-OPS,time_series,production,low,tier_2,current,2025-08-01,2026-08-01,0,false,Tier 2 analytics model; lower decisioning impact; standard review cycle
