initiative_id,title,posture,fy26_budget_usd,ytd_actuals_usd,ytd_burn_rate_pct,fte_labor_usd,vendor_tools_usd,infra_usd,external_si_usd,projected_year_end_usd,variance_usd,variance_pct,notes
FCF-INIT-001,FedNow and RTP Modernization,Restructure,18600000,9860000,53,4200000,2400000,1800000,1460000,19800000,-1200000,-6,Over budget by 6%; sanctions screening remediation adding $1.2M unplanned cost
FCF-INIT-002,AML Case Triage Automation,Restructure,8900000,4100000,46,2200000,980000,420000,500000,8200000,700000,8,Under-spending due to MRM blockage — pilot paused; budget underspend is a warning sign not a win
FCF-INIT-003,Core Banking Future Decision,Hold,14000000,2800000,20,1400000,0,0,1400000,6200000,7800000,56,HOLD — spending only on migration study and legal review; large underspend expected
FCF-INIT-004,Fraud Graph Analytics v2,Continue,7300000,4020000,55,1800000,1200000,820000,200000,7100000,200000,3,On track; ACH+wire expansion adding modest infra cost; ROI clearly positive
FCF-INIT-005,Digital Account Opening Recovery,Continue,4100000,2050000,50,1200000,480000,200000,170000,4200000,-100000,-2,On budget; CFPB legal review causing 6-week delay but no budget impact yet
FCF-INIT-006,Commercial Credit Memo AI,Continue,3400000,1020000,30,680000,220000,80000,40000,3100000,300000,9,Under-spending; MRM validation delay pushing costs to H2
FCF-INIT-007,Branch Queue Vision AI,Kill,1900000,1120000,59,280000,420000,120000,300000,1640000,260000,14,KILL — $420K camera lease termination cost; $1.12M sunk; stop further spend immediately
FCF-INIT-008,Contact Center Sentiment AI,Kill,2400000,1200000,50,200000,800000,60000,140000,2000000,400000,17,KILL — vendor minimum term through Q3; $400K savings vs budget if terminated at contract break
FCF-INIT-009,Wealth Advisor Copilot Shadow,Kill,3100000,1550000,50,800000,480000,120000,150000,2900000,200000,6,KILL — FINRA blocker unresolvable in 2026; terminate and redeploy budget to proven ROI initiatives
FCF-INIT-010,M365 Copilot Controlled Rollout,Continue,3800000,2280000,60,600000,1400000,80000,200000,3900000,-100000,-3,"On budget; expansion from 1,200 to 3,000 seats in H2 will push full-year spend ~$100K over"
FCF-INIT-011,Mortgage Document Intelligence,Continue,2800000,840000,30,480000,220000,80000,60000,2600000,200000,7,Under-spending; MRM validation in H2 will consume remaining budget
FCF-INIT-012,Model Risk Evidence Automation,Continue,1600000,800000,50,480000,180000,60000,80000,1580000,20000,1,On budget; delivering strong ROI relative to spend
