persona_id,persona_name,business_area,population_count,ai_relevance,work_context
MER-PER-001,Primary care physician,Ambulatory,6700,High,"Clinical documentation, inbox, care gaps, longitudinal patient history"
MER-PER-002,Care manager,Population Health,2100,High,"Care gaps, risk panels, patient outreach, chronic condition programs"
MER-PER-003,Utilization management nurse,Health Plan,890,High,"Prior authorization, medical necessity, policy evidence, appeals"
MER-PER-004,Claims examiner,Claims,1450,High,"Adjudication exceptions, payment integrity, edits, provider disputes"
MER-PER-005,Contact center agent,Member Services,3300,High,"Intent detection, benefits, claims status, next-best-action"
MER-PER-006,Provider quality analyst,Quality,520,High,"HEDIS, STAR, attribution, provider benchmarking, measure closure"
MER-PER-007,Revenue cycle coder,Revenue Cycle,1250,High,"Charge capture, CDI, denials, coding audit, compliance"
MER-PER-008,Actuary,Finance,210,Medium,"Product margin, capitation, risk adjustment, cost-of-care"
MER-PER-009,Financial analyst,Finance,640,Medium,"GL, close, provider contract accruals, reconciliation"
MER-PER-010,Data engineer,Data Platform,310,High,"FHIR, EDI, claims, clinical, pharmacy pipelines, quality rules"
MER-PER-011,Clinical informaticist,Clinical Informatics,380,High,"Epic workflows, order sets, CDS safety, physician adoption"
MER-PER-012,Privacy analyst,Compliance,160,High,"HIPAA, minimum necessary, PHI approvals, model review"
MER-PER-013,Cloud platform engineer,AWS Lakehouse,220,High,"Databricks on AWS, Unity Catalog, jobs, networking, FinOps"
MER-PER-014,Provider contracting manager,Network,260,Medium,"Contract terms, attribution, leakage, provider scorecards"
