app_id,name,vendor,category,business_owner,it_owner,deployment,lifecycle_stage,criticality,run_cost_fy25_usd,primary_dataclass,integration_count,last_modernization_review,ai_eligibility_score,notes
MR-APP-EPIC-HYPERSPACE,Epic Hyperspace,Epic,clinical core,CMIO,TEAM-MR-EPIC-CLINICAL,on_prem,invest,critical,13000000,phi,128,2025-01-15,0.55,Primary clinician workspace across seven hospitals
MR-APP-EPIC-HYPERDRIVE,Epic Hyperdrive,Epic,clinical core,CMIO,TEAM-MR-EPIC-CLINICAL,on_prem,invest,critical,6100000,phi,74,2025-02-15,0.62,Browser modernization path; phased rollout through FY26
MR-APP-EPIC-BEDROCK,Epic Bedrock,Epic,clinical core,CDIO,TEAM-MR-EPIC-CLINICAL,on_prem,maintain,critical,5300000,phi,92,2025-03-15,0.42,Foundation configuration and security build
MR-APP-EPIC-COSMOS,Epic Cosmos,Epic,clinical core,CMIO,TEAM-MR-DATA-AI,cloud,invest,high,2700000,phi,34,2025-04-15,0.82,Cohort insights and research discovery pilot
MR-APP-MYCHART,MyChart,Epic,patient experience,Chief Experience Officer,TEAM-MR-DIGITAL,hybrid,invest,critical,3700000,phi,65,2025-05-15,0.74,Digital front door anchor integrated with Luma
MR-APP-BEAKER,Epic Beaker,Epic,clinical core,CMIO,TEAM-MR-EPIC-ANC,on_prem,invest,critical,4600000,phi,70,2025-06-15,0.49,Target platform for Sunquest consolidation
MR-APP-WILLOW,Epic Willow,Epic,clinical core,Chief Pharmacy Officer,TEAM-MR-EPIC-ANC,on_prem,maintain,critical,2100000,phi,48,2025-07-15,0.44,Inpatient and outpatient pharmacy workflows
MR-APP-CUPID,Epic Cupid,Epic,clinical core,Chief Cardiologist,TEAM-MR-EPIC-ANC,on_prem,maintain,high,600000,phi,33,2025-08-15,0.5,Cardiology documentation and workflows
MR-APP-STORK,Epic Stork,Epic,clinical core,Women and Children Service Line,TEAM-MR-EPIC-CLINICAL,on_prem,maintain,high,650000,phi,24,2025-09-15,0.43,OB workflows
MR-APP-ASAP,Epic ASAP,Epic,clinical core,COO,TEAM-MR-EPIC-OR-ED,on_prem,invest,critical,2450000,phi,51,2025-10-15,0.69,ED throughput and queue-prediction dependency
MR-APP-OPTIME,Epic OpTime,Epic,clinical core,COO,TEAM-MR-EPIC-OR-ED,on_prem,maintain,critical,2050000,phi,45,2025-11-15,0.46,OR scheduling and perioperative workflows
MR-APP-ANESTHESIA,Epic Anesthesia,Epic,clinical core,Chief Anesthesiologist,TEAM-MR-EPIC-OR-ED,on_prem,maintain,high,200000,phi,20,2025-12-15,0.4,Perioperative anesthesia record
MR-APP-RADIANT,Epic Radiant,Epic,clinical core,Chief Radiologist,TEAM-MR-EPIC-ANC,on_prem,maintain,critical,1150000,phi,42,2025-01-15,0.45,Radiology orders and reporting workflow
MR-APP-COGITO,Epic Cogito,Epic,clinical core,VP Data and AI,TEAM-MR-DATA-AI,on_prem,invest,critical,3350000,phi,58,2025-02-15,0.78,Reporting workbench and data mart layer
MR-APP-RESOLUTE-HB,Epic Resolute HB,Epic,revenue cycle,CFO,TEAM-MR-EPIC-RC,on_prem,maintain,critical,2550000,phi,44,2025-03-15,0.61,Hospital billing and revenue integrity source
MR-APP-RESOLUTE-PB,Epic Resolute PB,Epic,revenue cycle,CFO,TEAM-MR-EPIC-RC,on_prem,maintain,critical,2150000,phi,39,2025-04-15,0.61,Professional billing
