integration_id,source_system,target_system,interface_type,protocol_or_standard,cadence,data_domain,avg_daily_volume,latency_sla_minutes,failure_rate_30d_pct,owning_team,control_gap,evidence_id
MER-INT-0001,Epic Resolute PB,HealthRules Payor,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,248200,15,0.43,Epic and Clinical Systems,none_reported,MER-EVID-002
MER-INT-0002,Epic Clarity,Change Healthcare EDI gateway,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,256400,15,0.64,Epic and Clinical Systems,none_reported,MER-EVID-003
MER-INT-0003,Epic Willow,Medallia experience signals,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,264600,15,0.85,Epic and Clinical Systems,none_reported,MER-EVID-004
MER-INT-0004,TriZetto provider pricing,SAS Grid,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,272800,15,1.06,Health Plan Core and Claims Platforms,none_reported,MER-EVID-005
MER-INT-0005,Optum payment integrity,Oracle Hyperion Planning,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,281000,15,1.27,Health Plan Core and Claims Platforms,none_reported,MER-EVID-006
MER-INT-0006,Salesforce Health Cloud,Zscaler ZIA/ZPA,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,289200,15,0.22,Contact Center and CRM Platforms,none_reported,MER-EVID-007
MER-INT-0007,Sprinklr digital service,Meridian regional workflow app 61,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,297400,15,0.43,Contact Center and CRM Platforms,none_reported,MER-EVID-008
MER-INT-0008,Teradata claims mart,Meridian regional workflow app 69,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,305600,15,0.64,Data Platform Migration Office,none_reported,MER-EVID-009
MER-INT-0009,BusinessObjects,Meridian regional workflow app 77,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,313800,15,0.85,Data Platform Migration Office,interface_ack_not_linked_to_data_quality_rule,MER-EVID-010
MER-INT-0010,dbt semantic layer,Meridian regional workflow app 85,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,322000,15,1.06,Data Platform Migration Office,none_reported,MER-EVID-011
MER-INT-0011,Workday HCM,Epic Hyperspace,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,330200,15,1.27,"Finance, ERP and Reporting",none_reported,MER-EVID-012
MER-INT-0012,Kyriba treasury,Epic Caboodle,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,338400,15,0.22,"Finance, ERP and Reporting",none_reported,MER-EVID-001
MER-INT-0013,CrowdStrike Falcon,Evolent care management,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,346600,15,0.43,"Security, Privacy and Resilience",none_reported,MER-EVID-002
MER-INT-0014,Proofpoint,Twilio Flex SMS,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,354800,15,0.64,"Security, Privacy and Resilience",none_reported,MER-EVID-003
MER-INT-0015,Meridian regional workflow app 60,Hadoop raw zone,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,363000,15,0.85,Meridian platform services,none_reported,MER-EVID-004
MER-INT-0016,Meridian regional workflow app 64,Collibra catalog,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,371200,15,1.06,Meridian platform services,none_reported,MER-EVID-005
MER-INT-0017,Meridian regional workflow app 68,ServiceNow SPM,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,379400,15,1.27,Meridian platform services,none_reported,MER-EVID-006
MER-INT-0018,Meridian regional workflow app 72,ServiceNow IRM,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,387600,15,0.22,Meridian platform services,interface_ack_not_linked_to_data_quality_rule,MER-EVID-007
MER-INT-0019,Meridian regional workflow app 76,Meridian regional workflow app 65,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,395800,15,0.43,Meridian platform services,none_reported,MER-EVID-008
MER-INT-0020,Meridian regional workflow app 80,Meridian regional workflow app 73,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,404000,15,0.64,Meridian platform services,none_reported,MER-EVID-009
MER-INT-0021,Meridian regional workflow app 84,Meridian regional workflow app 81,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,412200,15,0.85,Meridian platform services,none_reported,MER-EVID-010
MER-INT-0022,Meridian regional workflow app 88,Meridian regional workflow app 89,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,420400,15,1.06,Meridian platform services,none_reported,MER-EVID-011
MER-INT-0023,Meridian regional workflow app 92,Epic Resolute HB,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,428600,15,1.27,Meridian platform services,none_reported,MER-EVID-012
MER-INT-0024,Epic Resolute PB,HealthRules Payor,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,436800,15,0.22,Epic and Clinical Systems,none_reported,MER-EVID-001
MER-INT-0025,Epic Clarity,Change Healthcare EDI gateway,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,445000,15,0.43,Epic and Clinical Systems,none_reported,MER-EVID-002
MER-INT-0026,Epic Willow,Medallia experience signals,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,453200,15,0.64,Epic and Clinical Systems,none_reported,MER-EVID-003
MER-INT-0027,TriZetto provider pricing,SAS Grid,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,461400,15,0.85,Health Plan Core and Claims Platforms,interface_ack_not_linked_to_data_quality_rule,MER-EVID-004
MER-INT-0028,Optum payment integrity,Oracle Hyperion Planning,HL7,HL7 v2 ADT/ORM/ORU,near_real_time,clinical,469600,15,1.06,Health Plan Core and Claims Platforms,none_reported,MER-EVID-005
MER-INT-0029,Meridian regional workflow app 88,Twilio Flex SMS,FHIR API,FHIR R4,near_real_time,interoperability,267900,10,1.23,Meridian platform services,none_reported,MER-EVID-006
MER-INT-0030,Meridian regional workflow app 92,Hadoop raw zone,FHIR API,FHIR R4,near_real_time,interoperability,273000,10,0.18,Meridian platform services,none_reported,MER-EVID-007
MER-INT-0031,Epic Resolute PB,Collibra catalog,FHIR API,FHIR R4,near_real_time,interoperability,278100,10,0.39,Epic and Clinical Systems,none_reported,MER-EVID-008
MER-INT-0032,Epic Clarity,ServiceNow SPM,FHIR API,FHIR R4,near_real_time,interoperability,283200,10,0.60,Epic and Clinical Systems,scope_and_consent_controls_need_unification,MER-EVID-009
MER-INT-0033,Epic Willow,ServiceNow IRM,FHIR API,FHIR R4,near_real_time,interoperability,288300,10,0.81,Epic and Clinical Systems,none_reported,MER-EVID-010
MER-INT-0034,TriZetto provider pricing,Meridian regional workflow app 65,FHIR API,FHIR R4,near_real_time,interoperability,293400,10,1.02,Health Plan Core and Claims Platforms,none_reported,MER-EVID-011
MER-INT-0035,Optum payment integrity,Meridian regional workflow app 73,FHIR API,FHIR R4,near_real_time,interoperability,298500,10,1.23,Health Plan Core and Claims Platforms,none_reported,MER-EVID-012
MER-INT-0036,Salesforce Health Cloud,Meridian regional workflow app 81,FHIR API,FHIR R4,near_real_time,interoperability,303600,10,0.18,Contact Center and CRM Platforms,none_reported,MER-EVID-001
MER-INT-0037,Sprinklr digital service,Meridian regional workflow app 89,FHIR API,FHIR R4,near_real_time,interoperability,308700,10,0.39,Contact Center and CRM Platforms,none_reported,MER-EVID-002
MER-INT-0038,Teradata claims mart,Epic Resolute HB,FHIR API,FHIR R4,near_real_time,interoperability,313800,10,0.60,Data Platform Migration Office,none_reported,MER-EVID-003
MER-INT-0039,BusinessObjects,HealthRules Payor,FHIR API,FHIR R4,near_real_time,interoperability,318900,10,0.81,Data Platform Migration Office,none_reported,MER-EVID-004
