layer,feed_name,client_owner_group,source_path,source_systems,native_grain,row_count,sha256,status
1_client_intake,ap_invoice_lines.csv,finance_ops_ap,source_system_extracts/ap_invoice_lines.csv,SAP S/4HANA,InvoiceLine,96,786a8e9f048abbd1b259b6355a944c02209ad921c696de1e6159242e4619f274,copied_from_reviewed_synthetic_package
1_client_intake,approval_decisions.csv,source_workflow,source_system_extracts/approval_decisions.csv,,ApprovalDecision,12,d8bf1d5470a630501bdcbc23df80f498c65d8c4d015212057084798850aae99f,copied_from_reviewed_synthetic_package
1_client_intake,calculation_inputs.csv,source_optimizer,source_system_extracts/calculation_inputs.csv,AbarVa Source workflow; SAP Fieldglass; SAP S/4HANA; Salesforce Admin; ServiceNow,CalculationInput,64,d762ed82734c9e401a17899a9151fbc552eec4b14a89c128433c5cb8240935d9,copied_from_reviewed_synthetic_package
1_client_intake,calculation_outputs.csv,source_optimizer,source_system_extracts/calculation_outputs.csv,,CalculationOutput,24,7480e6e75b2e69cf5651313c3b4dbd6541774dfd825aca5046ff5c5dbb31c640,copied_from_reviewed_synthetic_package
1_client_intake,case_lifecycle_events.csv,source_workflow,source_system_extracts/case_lifecycle_events.csv,,CaseLifecycleEvent,48,37ae7258e2620f15e2b16cd0c6abc19fdbcf9c1ec216c8e54a758a91c24232d5,copied_from_reviewed_synthetic_package
1_client_intake,cloud_billing_export.csv,finops,source_system_extracts/cloud_billing_export.csv,Azure Cost Management,CloudBillingLine,72,088b0659939976122c36784659f41e65b715d5d1b78dddb3f2b82140e5c41235,copied_from_reviewed_synthetic_package
1_client_intake,commercial_learning_patterns.csv,procurement_excellence,source_system_extracts/commercial_learning_patterns.csv,,CommercialLearningPattern,16,6181f168e5a118dd16798fc3189bc802d18198072261ab72e0758346bcbd9c46,copied_from_reviewed_synthetic_package
1_client_intake,contract_document_inventory.csv,legal_ops,source_system_extracts/contract_document_inventory.csv,SharePoint contract repository,ContractDocument,30,e56f016974ec4a4cc7a79b1405fdbeb31e60237e98555146f7aedea5f484edc5,copied_from_reviewed_synthetic_package
1_client_intake,contract_evidence_applicability.csv,source_governance,source_system_extracts/contract_evidence_applicability.csv,,EvidenceApplicability,46,f406dbe10911edcb47dc5c6f6d4c2edfeb09f1c269596f0baaa478433189f1ba,copied_from_reviewed_synthetic_package
1_client_intake,contract_pricing_schedule.csv,procurement_ops,source_system_extracts/contract_pricing_schedule.csv,Icertis Contract Intelligence,PricingLine,16,f4ab765ab0f00488007e40e748505c36c89b32fd1c017a8901e5be4a650538c3,copied_from_reviewed_synthetic_package
1_client_intake,contract_register.csv,procurement_ops,source_system_extracts/contract_register.csv,Icertis Contract Intelligence,Contract,2,67a686d4c5f0841bc13d8c72deb1d7d9f1808c401e5d9932c328ff181a62c1c2,copied_from_reviewed_synthetic_package
1_client_intake,document_clause_extractions.csv,legal_ops,source_system_extracts/document_clause_extractions.csv,Document extraction pipeline,DocumentClause,120,2647c15810b03a1f1b6877c8a53f6ef00a23115eb555faff7e31eab59ad20a53,copied_from_reviewed_synthetic_package
1_client_intake,evidence_entity_links.csv,data_steward,source_system_extracts/evidence_entity_links.csv,,EvidenceLink,27,3ad851a8003565a7489910276e26a8561c8537e7742e65ae10421ca2fcf5cb9e,copied_from_reviewed_synthetic_package
1_client_intake,fact_assertions.csv,data_steward,source_system_extracts/fact_assertions.csv,,FactAssertion,20,4392c8b9e109a3276c6f989920196c2c4b64ccf36c75fcd81cb67b49b9f3efc2,copied_from_reviewed_synthetic_package
1_client_intake,fact_conflicts.csv,data_steward,source_system_extracts/fact_conflicts.csv,,FactConflict,7,175b59f8c99de69fae9402e968dfd7fd763a9a3b0e80db084612c2b043694c10,copied_from_reviewed_synthetic_package
1_client_intake,finance_realization_period.csv,fpna,source_system_extracts/finance_realization_period.csv,Anaplan IT Finance Value Tracker,FinanceRealizationPeriod,8,8e10988856186c60ae48a41038743adce824daf7ab9a7c723598b009b15c4b6a,copied_from_reviewed_synthetic_package
1_client_intake,new_event_controls_from_lessons.csv,procurement_excellence,source_system_extracts/new_event_controls_from_lessons.csv,,NewEventControl,16,4452dd966977469b7ecba23d73c53d9f2192626ab94ff26ec5991383eafe7d2f,copied_from_reviewed_synthetic_package
1_client_intake,optimization_opportunities.csv,source_optimizer,source_system_extracts/optimization_opportunities.csv,,Opportunity,8,cd456072422a62942c372722dc707e69bb39d61c4feb289ec8d7099596abb423,copied_from_reviewed_synthetic_package
1_client_intake,po_line_extract.csv,procurement_ops,source_system_extracts/po_line_extract.csv,Coupa,PurchaseOrderLine,16,a48a51a109b54ba523488c536c673789e90999c6b955a32de276dded1642f364,copied_from_reviewed_synthetic_package
1_client_intake,renewal_negotiation_history.csv,strategic_sourcing,source_system_extracts/renewal_negotiation_history.csv,AbarVa Source workflow; SAP Ariba Strategic Sourcing,RenewalNegotiationEvent,32,bfd173343211f6c31c91544b8ded9ad2e040434f62ac41ba74606c947b3356e9,copied_from_reviewed_synthetic_package
1_client_intake,reviewer_decisions.csv,source_reviewer,source_system_extracts/reviewer_decisions.csv,,ReviewerDecision,23,aa2fd674c5a324a32622abfa763d6a062b1dce31cb065cd60a0607d5418e0f24,copied_from_reviewed_synthetic_package
1_client_intake,sla_event_extract.csv,service_management,source_system_extracts/sla_event_extract.csv,ServiceNow,SlaEvent,72,f5e2635299b18ea0740bfb50b7c23ae9e09f572f736db6bf0170df6a2f22333c,copied_from_reviewed_synthetic_package
1_client_intake,supplier_master.csv,vendor_management,source_system_extracts/supplier_master.csv,Ariba SLP; SAP Vendor Master,VendorSupplier,6,d057c358b0647a72dea21c5264dfa5c2e7bd42003e681f50e9a121cbb4ce4339,copied_from_reviewed_synthetic_package
1_client_intake,usage_entitlement_detail.csv,platform_admin,source_system_extracts/usage_entitlement_detail.csv,Microsoft Entra ID and M365 Admin Center; Salesforce Admin,UsageEntitlement,288,bfae642f6d409392fdc0009723958590a3a24a9194f92499d110e201b53e1955,copied_from_reviewed_synthetic_package
1_client_intake,vms_work_order_rate_card.csv,vms_owner,source_system_extracts/vms_work_order_rate_card.csv,SAP Fieldglass,VmsRateCardLine,48,80289a11d3097436112797393dd3bc3154f0c56b2c3c60ff169464b9d6b6c047,copied_from_reviewed_synthetic_package
1_client_intake,depth_review.csv,source_governance,review/depth_review.csv,,DepthReview,48,a5091447f9257e0fe662acada081bd75db7c1d2068c8d68137a4b688e26e7996,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-MSA_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-MSA_Salesforce_SYNTHETIC.md,SharePoint contract repository,master_services_agreement,,3707ca2c715be273f8bd01550fe6119da6cc9fd69c52cdaab57d1c080ae07c63,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-SOW-CORE_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-SOW-CORE_Salesforce_SYNTHETIC.md,SharePoint contract repository,statement_of_work_core,,c178f016eb9898e6e461e32b9ee9e564c666167304f2c75580ee5ea2441a3e62,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-SOW-TRANSITION_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-SOW-TRANSITION_Salesforce_SYNTHETIC.md,SharePoint contract repository,statement_of_work_transition,,d6a1b8d06502c75c7a79300be9d09eb7fdcf82c811f0938a8267258d64f5ba0f,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-ORDER-BASE_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-ORDER-BASE_Salesforce_SYNTHETIC.md,SharePoint contract repository,order_form_base,,3d36212debc18275673d3c4c6d1909d38ef1ffcaccd098e5cf9e760ed86705b8,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-ORDER-TRUEUP_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-ORDER-TRUEUP_Salesforce_SYNTHETIC.md,SharePoint contract repository,order_form_true_up,,3e886fe6784a703ebfe2fa87cc824eae2b4cd74af05bf173fb9fa24bd0f728f3,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-AMEND-001_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-AMEND-001_Salesforce_SYNTHETIC.md,SharePoint contract repository,amendment_pricing,,8feb01da78a17395fca0fd31e68272beb9f16f1c5d21650095ebfde3d0f60401,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-AMEND-002_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-AMEND-002_Salesforce_SYNTHETIC.md,SharePoint contract repository,amendment_service_scope,,8d56e9255b3703d55935f6b755d5856de7801a9fe486afda4c1b689a29c57289,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-PRICING-EXHIBIT_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-PRICING-EXHIBIT_Salesforce_SYNTHETIC.md,SharePoint contract repository,pricing_exhibit,,68ecbcae126bcc34f155336625ccbccf56bc857699916782d26c603e0793abe8,copied_from_reviewed_synthetic_package
1_client_intake,DOC-CTR-090-SLA-SCHEDULE_Salesforce_SYNTHETIC.md,legal_ops,documents/DOC-CTR-090-SLA-SCHEDULE_Salesforce_SYNTHETIC.md,SharePoint contract repository,service_level_schedule,,a75580dfa47e3596efa4192d40f4f226ad9800b6f5c972651d1d001f051e9915,copied_from_reviewed_synthetic_package
