vendor,type,annual_usd,renewal_date,owner,data_class,ai_usage_clauses,exit_terms,notes
Epic,license,28500000,2026-01-10,CDIO,confidential,requires_baa_and_prompt_logging_limits,90_day_module_removal_with_transition_support,Renewal pressure: next six months.
Workday,managed_service,11200000,2026-02-11,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Renewal pressure: next six months.
Microsoft,saas,17600000,2026-03-12,CISO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Renewal pressure: next six months.
Innovaccer,clinical_platform,5700000,2026-04-13,CMIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Renewal pressure: next six months.
Nuance/Microsoft,advisory,8400000,2026-05-14,Chief Radiologist,phi,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Renewal pressure: next six months.
Abridge,license,1375000,2026-06-15,VP VBC,phi,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Renewal pressure: next six months.
Suki,managed_service,1560000,2026-07-16,CDIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Renewal pressure: next six months.
Augmedix,saas,1745000,2026-08-17,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Renewal pressure: next six months.
Sectra,clinical_platform,1930000,2026-09-18,CISO,phi,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Renewal pressure: next six months.
Visage Imaging,advisory,2115000,2026-10-19,CMIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Renewal pressure: next six months.
GE Healthcare,license,2300000,2026-11-20,Chief Radiologist,phi,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Renewal pressure: next six months.
Philips,managed_service,2485000,2026-12-21,VP VBC,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Tempus,saas,2670000,2026-01-22,CDIO,confidential,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Optum,clinical_platform,2855000,2026-02-23,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Change Healthcare,advisory,3040000,2026-03-24,CISO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Symplr,license,3225000,2026-04-25,CMIO,confidential,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
QGenda,managed_service,3410000,2026-05-26,Chief Radiologist,phi,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
HealthStream,saas,3595000,2026-06-27,VP VBC,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Press Ganey,clinical_platform,3780000,2026-07-10,CDIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Luma Health,advisory,3965000,2026-08-11,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Twilio,license,4150000,2026-09-12,CISO,phi,requires_baa_and_prompt_logging_limits,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
ServiceNow,managed_service,4335000,2026-10-13,CMIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Splunk,saas,4520000,2026-11-14,Chief Radiologist,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
CrowdStrike,clinical_platform,4705000,2026-12-15,VP VBC,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Zscaler,advisory,4890000,2026-01-16,CDIO,confidential,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Okta,license,5075000,2026-02-17,CFO,phi,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
AWS,managed_service,5260000,2026-03-18,CISO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Azure,saas,5445000,2026-04-19,CMIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Confluent,clinical_platform,5630000,2026-05-20,Chief Radiologist,phi,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Cribl,advisory,5815000,2026-06-21,VP VBC,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Pure Storage,license,6000000,2026-07-22,CDIO,confidential,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
Cisco,managed_service,6185000,2026-08-23,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
VMware,saas,6370000,2026-09-24,CISO,phi,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Citrix,clinical_platform,6555000,2026-10-25,CMIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Deloitte,advisory,6740000,2026-11-26,Chief Radiologist,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
KPMG,license,6925000,2026-12-27,VP VBC,phi,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
Cognizant,managed_service,7110000,2026-01-10,CDIO,confidential,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Pythian,saas,7295000,2026-02-11,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Tegria,clinical_platform,7480000,2026-03-12,CISO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Caradigm,advisory,7665000,2026-04-13,CMIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Waystar,license,7850000,2026-05-14,Chief Radiologist,phi,requires_baa_and_prompt_logging_limits,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
Experian Health,managed_service,8035000,2026-06-15,VP VBC,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Phreesia,saas,8220000,2026-07-16,CDIO,confidential,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Advarra,clinical_platform,8405000,2026-08-17,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Roche,advisory,8590000,2026-09-18,CISO,phi,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Aidoc,license,8775000,2026-10-19,CMIO,confidential,standard_baa_or_dpa,90_day_module_removal_with_transition_support,Meridian healthcare vendor substrate contract.
Rad AI,managed_service,8960000,2026-11-20,Chief Radiologist,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Stryker,saas,9145000,2026-12-21,VP VBC,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Spok,clinical_platform,9330000,2026-01-22,CDIO,confidential,requires_baa_and_prompt_logging_limits,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
Hippocratic AI,advisory,9515000,2026-02-23,CFO,phi,standard_baa_or_dpa,standard_annual_renewal_notice,Meridian healthcare vendor substrate contract.
