vendor,relationship_health,delivery_score,commercial_risk,security_posture,notes
Epic,green,62,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Workday,amber,63,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Microsoft,green,64,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Innovaccer,red,65,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Nuance/Microsoft,green,66,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Abridge,amber,67,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Suki,green,68,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Augmedix,red,69,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Sectra,green,70,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Visage Imaging,amber,71,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
GE Healthcare,green,72,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Philips,red,73,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Tempus,green,74,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Optum,amber,75,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Change Healthcare,green,76,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Symplr,red,77,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
QGenda,green,78,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
HealthStream,amber,79,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Press Ganey,green,80,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Luma Health,red,81,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Twilio,green,82,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
ServiceNow,amber,83,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Splunk,green,84,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
CrowdStrike,red,85,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Zscaler,green,86,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Okta,amber,87,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
AWS,green,88,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Azure,red,89,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Confluent,green,90,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Cribl,amber,91,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Pure Storage,green,92,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Cisco,red,93,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
VMware,green,94,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Citrix,amber,95,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Deloitte,green,62,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
KPMG,red,63,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Cognizant,green,64,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Pythian,amber,65,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Tegria,green,66,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Caradigm,red,67,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Waystar,green,68,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Experian Health,amber,69,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Phreesia,green,70,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Advarra,red,71,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Roche,green,72,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Aidoc,amber,73,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
Rad AI,green,74,medium,dpa_only,Scorecard created for Packet 19 Meridian substrate.
Stryker,red,75,high,needs_prompt_logging_review,Scorecard created for Packet 19 Meridian substrate.
Spok,green,76,low,baa_current,Scorecard created for Packet 19 Meridian substrate.
Hippocratic AI,amber,77,medium,baa_review,Scorecard created for Packet 19 Meridian substrate.
